Cut off Probability: 0.000000
Placas analisadas:
image = 301; x_g = 1100; y_g = 457; probability = 0.190400
image = 484; x_g = 356; y_g = 275; probability = 0.976400
image = 485; x_g = 241; y_g = 385; probability = 0.874300
image = 486; x_g = 438; y_g = 254; probability = 0.979500
image = 490; x_g = 856; y_g = 273; probability = 0.072700
image = 494; x_g = 1162; y_g = 453; probability = 0.638300
image = 496; x_g = 530; y_g = 245; probability = 0.912100
image = 496; x_g = 532; y_g = 285; probability = 0.912100
image = 499; x_g = 1033; y_g = 282; probability = 0.176700
image = 500; x_g = 976; y_g = 278; probability = 0.975700
image = 501; x_g = 619; y_g = 233; probability = 0.097800
image = 501; x_g = 953; y_g = 233; probability = 0.037100
image = 505; x_g = 1072; y_g = 300; probability = 0.021500
image = 512; x_g = 1159; y_g = 290; probability = 0.896700
image = 512; x_g = 250; y_g = 296; probability = 0.965800
image = 513; x_g = 170; y_g = 272; probability = 0.660000
image = 514; x_g = 400; y_g = 271; probability = 0.976400
image = 514; x_g = 1187; y_g = 290; probability = 0.968400
image = 515; x_g = 295; y_g = 402; probability = 0.886400
image = 517; x_g = 308; y_g = 341; probability = 0.654400
image = 518; x_g = 475; y_g = 250; probability = 0.912100
image = 519; x_g = 481; y_g = 243; probability = 0.715900
image = 520; x_g = 408; y_g = 264; probability = 0.931300
image = 521; x_g = 391; y_g = 211; probability = 0.766600
image = 521; x_g = 961; y_g = 220; probability = 0.597000
image = 523; x_g = 479; y_g = 262; probability = 0.912100
image = 523; x_g = 1308; y_g = 267; probability = 0.959300
image = 524; x_g = 214; y_g = 243; probability = 0.975200
image = 524; x_g = 1245; y_g = 246; probability = 0.897000
image = 527; x_g = 374; y_g = 365; probability = 0.735400
image = 527; x_g = 889; y_g = 359; probability = 0.606300
image = 528; x_g = 186; y_g = 365; probability = 0.803300
image = 528; x_g = 1006; y_g = 441; probability = 0.559200
image = 530; x_g = 1027; y_g = 383; probability = 0.729500
image = 530; x_g = 443; y_g = 382; probability = 0.949300
image = 531; x_g = 494; y_g = 347; probability = 0.414300
image = 531; x_g = 920; y_g = 358; probability = 0.306500
image = 542; x_g = 854; y_g = 348; probability = 0.000100
image = 544; x_g = 753; y_g = 352; probability = 0.116200
image = 551; x_g = 952; y_g = 321; probability = 0.844700
image = 552; x_g = 546; y_g = 264; probability = 0.278700
image = 552; x_g = 823; y_g = 267; probability = 0.753500
image = 552; x_g = 546; y_g = 280; probability = 0.033800
image = 560; x_g = 1069; y_g = 597; probability = 0.474600
image = 565; x_g = 748; y_g = 447; probability = 0.002600
image = 566; x_g = 140; y_g = 365; probability = 0.803300
image = 566; x_g = 672; y_g = 388; probability = 0.596500
image = 570; x_g = 898; y_g = 368; probability = 0.445700
image = 599; x_g = 711; y_g = 335; probability = 0.100100
