00340.ppm;827;543;851;567;14
00341.ppm;923;465;997;533;13
00343.ppm;802;531;829;558;15
00343.ppm;483;507;512;536;15
00344.ppm;799;413;879;494;12
00346.ppm;291;541;321;571;5
00346.ppm;883;542;911;570;5
00347.ppm;913;545;970;597;30
00348.ppm;952;524;990;562;5
00349.ppm;53;455;114;514;10
00349.ppm;1244;465;1312;534;10
00350.ppm;475;543;508;576;10
00350.ppm;1092;542;1125;573;10
00351.ppm;511;533;538;560;5
00352.ppm;969;549;996;576;6
00352.ppm;528;553;555;580;6
00353.ppm;836;554;860;578;10
00353.ppm;456;559;477;581;10
00355.ppm;474;537;507;570;10
00356.ppm;946;520;1004;573;30
00356.ppm;249;499;310;555;30
00357.ppm;1095;524;1130;560;10
00357.ppm;463;528;500;565;10
00358.ppm;316;490;374;549;8
00359.ppm;879;559;903;583;8
00359.ppm;467;560;492;585;8
00360.ppm;1032;484;1076;528;8
00360.ppm;253;502;296;545;8
00362.ppm;252;470;370;574;30
00363.ppm;407;483;450;526;8
00363.ppm;409;525;453;568;10
00366.ppm;517;530;540;553;8
00366.ppm;518;553;541;576;10
00366.ppm;988;550;1014;573;8
00366.ppm;988;574;1015;597;10
00367.ppm;1028;501;1068;541;8
00367.ppm;1028;542;1071;583;10
00367.ppm;230;488;274;530;8
00367.ppm;235;533;276;573;10
00368.ppm;382;460;431;510;8
00368.ppm;378;509;431;561;10
00369.ppm;521;544;542;564;8
00369.ppm;520;564;543;585;10
00369.ppm;874;532;895;551;8
00369.ppm;875;550;896;571;10
00370.ppm;880;536;904;559;8
00370.ppm;880;558;907;584;10
00370.ppm;440;531;467;554;8
00370.ppm;442;553;468;578;10
00371.ppm;316;521;372;577;5
00372.ppm;974;486;1017;529;4
00373.ppm;164;517;195;548;4
00373.ppm;819;511;853;545;4
00374.ppm;999;527;1031;560;13
00374.ppm;671;563;696;589;12
00375.ppm;1229;521;1255;545;13
00376.ppm;266;487;309;530;6
00376.ppm;989;510;1031;552;6
00377.ppm;1133;504;1172;543;8
00377.ppm;239;490;278;531;8
00377.ppm;1133;543;1172;582;10
00377.ppm;236;532;277;573;10
00378.ppm;23;362;142;480;10
00378.ppm;22;242;145;362;8
00379.ppm;186;458;232;504;8
00379.ppm;1064;488;1112;536;10
00379.ppm;185;503;232;550;10
00379.ppm;1062;442;1109;489;8
00380.ppm;551;559;575;583;10
00380.ppm;953;564;976;587;10
00380.ppm;952;540;975;563;8
00380.ppm;551;535;575;559;8
00382.ppm;445;490;485;530;8
00382.ppm;446;529;485;568;10
00382.ppm;1209;496;1248;535;8
00382.ppm;1211;533;1250;572;10
00383.ppm;527;546;561;575;30
00383.ppm;988;542;1021;571;30
00384.ppm;1199;416;1263;480;8
00384.ppm;1202;479;1267;544;10
00385.ppm;977;529;1016;568;8
00385.ppm;267;531;307;571;8
00386.ppm;555;561;580;586;10
00386.ppm;977;550;1000;573;10
00387.ppm;411;499;477;563;30
00387.ppm;1185;484;1251;547;30
00388.ppm;1274;497;1346;561;13
00390.ppm;455;502;503;550;8
00390.ppm;1219;494;1265;541;8
00391.ppm;1260;502;1304;551;6
00391.ppm;198;508;247;558;6
00392.ppm;358;443;423;512;7
00393.ppm;278;484;373;571;23
00395.ppm;201;519;241;561;6
00395.ppm;903;519;938;555;6
00396.ppm;192;484;238;531;7
00396.ppm;998;468;1046;516;7
00397.ppm;949;559;983;593;10
00397.ppm;947;524;982;559;4
00398.ppm;769;517;796;540;26
00398.ppm;771;538;795;560;4
00398.ppm;772;558;796;582;10
00400.ppm;1236;480;1290;528;26
00401.ppm;420;496;461;537;4
00401.ppm;1122;497;1163;538;4
00402.ppm;1094;500;1132;538;42
00403.ppm;568;563;591;587;42
00403.ppm;940;558;966;584;42
00403.ppm;568;540;592;564;4
00403.ppm;939;532;965;559;4
00404.ppm;335;415;396;476;4
00404.ppm;1255;415;1312;472;4
00405.ppm;1255;470;1309;525;4
00405.ppm;355;444;411;499;4
00405.ppm;1249;397;1317;470;12
00406.ppm;520;554;551;581;18
00406.ppm;852;544;879;570;18
00406.ppm;1046;503;1097;551;30
00406.ppm;284;514;333;559;30
00408.ppm;128;463;212;539;18
00408.ppm;1132;479;1210;549;18
00410.ppm;367;615;423;671;38
00411.ppm;185;602;238;662;38
00411.ppm;110;557;139;588;17
00411.ppm;496;552;529;587;17
00412.ppm;1002;499;1047;545;7
00413.ppm;1038;480;1084;529;3
00414.ppm;1032;421;1078;468;3
00415.ppm;827;549;849;571;9
00416.ppm;813;505;851;543;3
00417.ppm;29;448;129;539;18
00418.ppm;455;537;488;566;22
00418.ppm;460;563;482;585;8
00419.ppm;979;489;1025;537;7
00420.ppm;828;542;851;565;3
00420.ppm;361;548;383;570;3
00421.ppm;946;554;976;581;13
00422.ppm;599;567;624;591;23
00423.ppm;365;469;451;547;25
00423.ppm;1151;445;1245;533;25
00425.ppm;302;503;342;543;5
00425.ppm;900;500;941;541;5
00425.ppm;302;543;342;583;10
00425.ppm;903;541;944;582;10
00426.ppm;1077;391;1197;502;25
00427.ppm;294;383;388;479;5
00428.ppm;325;548;353;576;7
00428.ppm;937;543;966;572;7
00430.ppm;929;414;1008;488;13
00431.ppm;275;527;314;564;8
00431.ppm;1141;496;1179;536;8
00432.ppm;237;560;263;586;8
00432.ppm;942;512;970;540;8
00433.ppm;510;529;566;583;25
00434.ppm;167;194;257;286;5
00435.ppm;834;535;862;564;9
00436.ppm;794;531;816;553;5
00438.ppm;533;559;554;580;41
00438.ppm;841;556;862;577;41
00439.ppm;1194;504;1251;564;8
00440.ppm;1243;492;1324;562;23
00441.ppm;1063;531;1112;580;8
00443.ppm;817;550;847;578;18
00443.ppm;823;579;843;598;8
00443.ppm;470;551;502;578;18
00443.ppm;477;578;497;596;8
00444.ppm;379;528;427;573;20
00444.ppm;964;531;1009;573;20
00444.ppm;389;569;419;600;7
00444.ppm;972;572;1001;601;7
00445.ppm;1021;498;1066;544;5
00445.ppm;213;519;254;561;5
00446.ppm;401;507;441;544;17
00446.ppm;767;497;803;530;17
00446.ppm;774;568;807;601;38
00447.ppm;1182;418;1268;495;13
00448.ppm;581;598;602;620;38
00449.ppm;212;468;254;507;13
00449.ppm;812;448;853;486;13
00450.ppm;1104;359;1181;429;11
00451.ppm;790;558;819;585;11
00452.ppm;876;543;914;578;25
00453.ppm;1215;332;1302;407;28
00453.ppm;895;497;922;524;11
00453.ppm;224;407;279;457;28
00455.ppm;1094;362;1184;442;11
00456.ppm;421;414;476;470;3
00457.ppm;1243;418;1301;475;2
00457.ppm;517;466;554;504;2
00458.ppm;989;493;1018;525;12
00459.ppm;877;515;912;548;25
00459.ppm;884;548;909;573;1
00460.ppm;829;456;859;484;12
00460.ppm;831;481;862;512;33
00461.ppm;1231;264;1302;331;12
00463.ppm;555;628;585;659;38
00465.ppm;1241;315;1331;395;13
00466.ppm;1215;399;1267;443;13
00466.ppm;514;468;548;497;13
00466.ppm;1226;440;1263;475;35
00466.ppm;519;494;543;518;34
00467.ppm;1132;501;1168;537;3
00468.ppm;1128;506;1165;544;3
00470.ppm;823;489;847;513;1
00470.ppm;904;514;938;549;13
00470.ppm;1135;218;1248;331;12
00471.ppm;789;491;817;520;12
00472.ppm;880;500;925;544;12
00473.ppm;507;532;540;565;10
00473.ppm;1152;506;1184;538;10
00474.ppm;1242;549;1274;581;7
00474.ppm;514;569;545;600;7
00475.ppm;1233;468;1310;543;7
00476.ppm;163;518;199;555;7
00476.ppm;1152;523;1187;558;7
00477.ppm;298;506;338;546;5
00478.ppm;921;470;963;512;5
00478.ppm;218;483;258;523;5
00479.ppm;982;498;1025;539;13
00479.ppm;990;539;1020;569;40
00480.ppm;1055;444;1103;492;2
00481.ppm;908;502;944;535;18
00482.ppm;732;526;768;564;12
00482.ppm;260;528;296;570;17
00482.ppm;283;564;303;590;17
00482.ppm;1055;566;1071;587;13 
00483.ppm;150;510;203;563;7
00483.ppm;1182;531;1232;583;7
00484.ppm;339;509;372;542;16
00484.ppm;1002;529;1035;563;16
00485.ppm;203;377;278;454;16
00486.ppm;410;519;465;574;7
00487.ppm;625;606;644;625;38
00488.ppm;494;611;516;633;38
00490.ppm;842;516;870;539;13
00490.ppm;644;596;668;620;38
00490.ppm;847;536;867;556;40
00491.ppm;430;568;488;637;38
00492.ppm;893;528;923;557;11
00493.ppm;910;450;966;501;18
00494.ppm;1113;300;1211;395;1
00496.ppm;511;494;552;536;8
00496.ppm;509;535;550;576;10
00497.ppm;392;611;425;651;38
00498.ppm;249;586;298;634;38
00498.ppm;248;482;292;526;17
00499.ppm;1009;497;1056;539;13
00500.ppm;952;499;1000;546;5
00501.ppm;943;557;962;577;4
00501.ppm;610;558;628;577;4
00501.ppm;120;282;227;386;17
00501.ppm;107;637;216;748;38
00502.ppm;57;556;85;584;17
00502.ppm;579;555;606;582;17
00502.ppm;558;577;592;611;38
00503.ppm;354;579;423;650;38
00504.ppm;379;595;410;627;38
00505.ppm;1052;480;1092;521;12
00507.ppm;878;473;933;524;11
00507.ppm;657;587;673;605;38
00508.ppm;865;495;908;534;11
00509.ppm;833;487;877;527;11
00512.ppm;230;486;270;522;5
00512.ppm;1139;490;1179;530;5
00513.ppm;142;501;197;556;7
00514.ppm;381;511;418;548;10
00514.ppm;1168;491;1206;530;10
00515.ppm;257;361;333;435;3
00516.ppm;240;275;298;333;34
00517.ppm;271;422;345;496;10
00518.ppm;451;526;499;574;7
00519.ppm;454;531;507;584;7
00520.ppm;380;507;436;565;10
00521.ppm;377;574;405;604;7
00521.ppm;946;565;976;595;7
00523.ppm;1285;512;1330;555;10
00523.ppm;455;515;502;562;10
00524.ppm;187;530;241;584;7
00524.ppm;1219;528;1271;580;7
00527.ppm;874;426;904;456;10
00527.ppm;359;420;389;450;10
00528.ppm;985;339;1026;380;7
00528.ppm;166;415;205;455;7
00530.ppm;425;401;460;435;10
00530.ppm;1010;401;1043;434;10
00531.ppm;484;443;504;463;10
00531.ppm;909;431;931;453;10
00536.ppm;27;428;57;458;17
00536.ppm;327;452;353;478;17
00536.ppm;724;479;740;495;38
00542.ppm;842;440;866;464;12
00544.ppm;1054;297;1122;358;11
00544.ppm;990;425;1028;459;25
00544.ppm;744;438;762;458;1
00545.ppm;213;435;247;474;15
00548.ppm;775;432;811;468;14
00548.ppm;782;469;807;494;36
00551.ppm;937;465;966;493;16
00552.ppm;537;512;554;529;8
00552.ppm;538;528;554;544;10
00552.ppm;814;508;832;526;8
00552.ppm;815;525;831;541;10
00554.ppm;947;472;984;507;18
00556.ppm;1195;499;1253;557;38
00557.ppm;273;462;317;502;23
00557.ppm;458;461;506;508;13
00560.ppm;1039;173;1099;233;3
00564.ppm;755;368;799;408;11
00565.ppm;731;336;764;370;12
00566.ppm;655;395;689;429;9
00566.ppm;124;419;156;451;9
00566.ppm;461;489;481;508;38
00567.ppm;1050;409;1109;460;22
00570.ppm;881;416;914;449;9
00571.ppm;1287;361;1308;384;17
00575.ppm;403;474;435;506;38
00593.ppm;584;510;608;534;38
00599.ppm;700;454;722;476;9
