p = 1.000000; confidence = 0.940000; image = 5; scale_factor = 0.979780; x = 864; y = 282
p = 1.000000; confidence = 0.960000; image = 233; scale_factor = 0.680400; x = 803; y = 444
p = 1.000000; confidence = 0.900000; image = 233; scale_factor = 0.816480; x = 803; y = 441
p = 1.000000; confidence = 0.900000; image = 234; scale_factor = 0.472500; x = 1158; y = 499
p = 1.000000; confidence = 0.960000; image = 234; scale_factor = 0.567000; x = 1155; y = 501
p = 1.000000; confidence = 0.920000; image = 234; scale_factor = 0.567000; x = 1154; y = 508
p = 1.000000; confidence = 0.950000; image = 234; scale_factor = 0.567000; x = 1161; y = 508
p = 1.000000; confidence = 0.920000; image = 238; scale_factor = 1.175730; x = 1082; y = 400
p = 1.000000; confidence = 0.920000; image = 238; scale_factor = 1.175730; x = 1085; y = 400
p = 1.000000; confidence = 0.930000; image = 246; scale_factor = 0.816480; x = 1112; y = 435
p = 1.000000; confidence = 0.960000; image = 246; scale_factor = 0.979780; x = 391; y = 402
p = 1.000000; confidence = 0.990000; image = 246; scale_factor = 0.979780; x = 392; y = 399
p = 1.000000; confidence = 0.960000; image = 246; scale_factor = 0.979780; x = 1111; y = 429
p = 1.000000; confidence = 0.940000; image = 246; scale_factor = 0.979780; x = 1108; y = 428
p = 1.000000; confidence = 0.970000; image = 246; scale_factor = 0.979780; x = 1110; y = 429
p = 1.000000; confidence = 0.920000; image = 247; scale_factor = 1.410880; x = 1157; y = 381
p = 1.000000; confidence = 0.920000; image = 247; scale_factor = 1.693050; x = 1158; y = 382
p = 1.000000; confidence = 0.900000; image = 248; scale_factor = 0.979780; x = 555; y = 360
p = 1.000000; confidence = 0.900000; image = 248; scale_factor = 1.175730; x = 547; y = 365
p = 1.000000; confidence = 0.910000; image = 248; scale_factor = 1.693050; x = 536; y = 373
p = 1.000000; confidence = 0.910000; image = 248; scale_factor = 1.693050; x = 544; y = 366
p = 1.000000; confidence = 0.900000; image = 254; scale_factor = 0.472500; x = 1221; y = 502
p = 1.000000; confidence = 0.920000; image = 260; scale_factor = 0.393750; x = 1132; y = 607
p = 1.000000; confidence = 0.910000; image = 260; scale_factor = 0.393750; x = 1134; y = 610
p = 1.000000; confidence = 0.900000; image = 260; scale_factor = 0.393750; x = 1135; y = 610
p = 1.000000; confidence = 0.900000; image = 270; scale_factor = 1.693050; x = 1038; y = 348
p = 1.000000; confidence = 0.900000; image = 270; scale_factor = 1.693050; x = 1040; y = 348
p = 1.000000; confidence = 0.930000; image = 271; scale_factor = 0.816480; x = 1294; y = 398
p = 1.000000; confidence = 0.920000; image = 271; scale_factor = 0.816480; x = 1294; y = 395
p = 1.000000; confidence = 0.920000; image = 271; scale_factor = 0.816480; x = 1292; y = 400
p = 1.000000; confidence = 0.900000; image = 271; scale_factor = 0.816480; x = 1289; y = 396
p = 1.000000; confidence = 0.940000; image = 271; scale_factor = 0.979780; x = 394; y = 371
p = 1.000000; confidence = 0.960000; image = 271; scale_factor = 0.979780; x = 393; y = 372
p = 1.000000; confidence = 0.940000; image = 272; scale_factor = 0.979780; x = 955; y = 375
p = 1.000000; confidence = 0.930000; image = 272; scale_factor = 0.979780; x = 955; y = 375
p = 1.000000; confidence = 0.920000; image = 276; scale_factor = 1.410880; x = 478; y = 317
p = 1.000000; confidence = 0.930000; image = 281; scale_factor = 0.816480; x = 1150; y = 221
p = 1.000000; confidence = 0.910000; image = 281; scale_factor = 0.816480; x = 1152; y = 221
p = 1.000000; confidence = 0.920000; image = 281; scale_factor = 0.979780; x = 495; y = 237
p = 1.000000; confidence = 0.970000; image = 281; scale_factor = 0.979780; x = 497; y = 235
p = 1.000000; confidence = 0.960000; image = 281; scale_factor = 0.979780; x = 1150; y = 220
p = 1.000000; confidence = 0.940000; image = 281; scale_factor = 0.979780; x = 1154; y = 220
p = 1.000000; confidence = 0.970000; image = 281; scale_factor = 0.979780; x = 1148; y = 219
p = 1.000000; confidence = 0.920000; image = 282; scale_factor = 0.472500; x = 278; y = 213
p = 1.000000; confidence = 0.940000; image = 282; scale_factor = 0.472500; x = 278; y = 215
p = 1.000000; confidence = 0.910000; image = 282; scale_factor = 0.472500; x = 282; y = 218
p = 1.000000; confidence = 0.900000; image = 282; scale_factor = 0.472500; x = 278; y = 224
p = 1.000000; confidence = 0.940000; image = 284; scale_factor = 0.979780; x = 871; y = 307
p = 1.000000; confidence = 0.910000; image = 284; scale_factor = 0.979780; x = 870; y = 304
p = 1.000000; confidence = 0.930000; image = 286; scale_factor = 1.410880; x = 827; y = 270
p = 1.000000; confidence = 0.910000; image = 286; scale_factor = 1.410880; x = 828; y = 270
p = 1.000000; confidence = 0.910000; image = 289; scale_factor = 1.410880; x = 701; y = 259
p = 1.000000; confidence = 0.920000; image = 291; scale_factor = 2.031660; x = 757; y = 239
p = 1.000000; confidence = 0.970000; image = 294; scale_factor = 0.816480; x = 1113; y = 250
p = 1.000000; confidence = 0.910000; image = 294; scale_factor = 0.816480; x = 1116; y = 253
p = 1.000000; confidence = 0.920000; image = 294; scale_factor = 1.175730; x = 405; y = 260
p = 1.000000; confidence = 0.930000; image = 294; scale_factor = 1.175730; x = 402; y = 259
p = 1.000000; confidence = 0.930000; image = 294; scale_factor = 1.175730; x = 404; y = 259
p = 1.000000; confidence = 0.960000; image = 295; scale_factor = 0.680400; x = 991; y = 358
p = 1.000000; confidence = 0.930000; image = 295; scale_factor = 0.680400; x = 988; y = 361
p = 1.000000; confidence = 0.960000; image = 295; scale_factor = 0.680400; x = 994; y = 360
