p = 0.923600; confidence = 0.650000; image = 2; scale_factor = 0.979780; x = 456; y = 245
p = 0.928100; confidence = 0.910000; image = 61; scale_factor = 1.175730; x = 1154; y = 383
p = 0.928100; confidence = 0.910000; image = 61; scale_factor = 1.175730; x = 1154; y = 383
p = 0.928100; confidence = 0.920000; image = 61; scale_factor = 1.175730; x = 1153; y = 384
p = 0.928100; confidence = 0.910000; image = 61; scale_factor = 1.175730; x = 1154; y = 384
p = 0.949900; confidence = 0.900000; image = 64; scale_factor = 0.979780; x = 864; y = 347
p = 0.949900; confidence = 0.900000; image = 64; scale_factor = 0.979780; x = 865; y = 347
p = 0.936100; confidence = 0.930000; image = 69; scale_factor = 0.680400; x = 920; y = 377
p = 0.936100; confidence = 0.930000; image = 69; scale_factor = 0.680400; x = 917; y = 379
p = 0.949900; confidence = 0.920000; image = 71; scale_factor = 0.979780; x = 864; y = 384
p = 0.949900; confidence = 0.900000; image = 71; scale_factor = 0.979780; x = 868; y = 388
p = 0.936100; confidence = 0.920000; image = 80; scale_factor = 0.680400; x = 926; y = 376
p = 0.922800; confidence = 0.890000; image = 86; scale_factor = 0.816480; x = 396; y = 344
p = 0.922800; confidence = 0.860000; image = 86; scale_factor = 0.816480; x = 392; y = 344
p = 0.963000; confidence = 0.920000; image = 86; scale_factor = 0.979780; x = 393; y = 340
p = 0.941100; confidence = 0.900000; image = 91; scale_factor = 1.693050; x = 479; y = 298
p = 0.941100; confidence = 0.920000; image = 91; scale_factor = 1.693050; x = 480; y = 298
p = 0.973800; confidence = 0.920000; image = 93; scale_factor = 0.816480; x = 1002; y = 395
p = 0.934800; confidence = 0.860000; image = 93; scale_factor = 0.816480; x = 1008; y = 393
p = 0.934800; confidence = 0.870000; image = 93; scale_factor = 0.816480; x = 1005; y = 396
p = 0.960200; confidence = 0.900000; image = 101; scale_factor = 0.680400; x = 1067; y = 377
p = 0.930200; confidence = 0.760000; image = 101; scale_factor = 0.816480; x = 1069; y = 377
p = 0.930200; confidence = 0.760000; image = 101; scale_factor = 0.816480; x = 1070; y = 384
p = 0.957600; confidence = 0.920000; image = 107; scale_factor = 0.816480; x = 925; y = 398
p = 0.930200; confidence = 0.790000; image = 119; scale_factor = 0.816480; x = 953; y = 388
p = 0.934800; confidence = 0.820000; image = 119; scale_factor = 0.816480; x = 952; y = 392
p = 0.923300; confidence = 0.860000; image = 119; scale_factor = 0.979780; x = 954; y = 386
p = 0.949900; confidence = 0.920000; image = 119; scale_factor = 0.979780; x = 950; y = 389
p = 0.957500; confidence = 0.910000; image = 130; scale_factor = 0.680400; x = 492; y = 333
p = 0.957500; confidence = 0.920000; image = 130; scale_factor = 0.680400; x = 491; y = 335
p = 0.957500; confidence = 0.900000; image = 130; scale_factor = 0.680400; x = 491; y = 333
p = 0.925700; confidence = 0.740000; image = 130; scale_factor = 0.816480; x = 492; y = 344
p = 0.928200; confidence = 0.660000; image = 130; scale_factor = 0.979780; x = 1066; y = 268
p = 0.928200; confidence = 0.680000; image = 130; scale_factor = 0.979780; x = 1066; y = 265
p = 0.964800; confidence = 0.800000; image = 130; scale_factor = 0.979780; x = 1070; y = 267
p = 0.962200; confidence = 0.740000; image = 130; scale_factor = 0.979780; x = 1073; y = 267
p = 0.950400; confidence = 0.830000; image = 130; scale_factor = 1.175730; x = 1064; y = 262
p = 0.950400; confidence = 0.870000; image = 130; scale_factor = 1.175730; x = 1073; y = 264
p = 0.980300; confidence = 0.900000; image = 130; scale_factor = 1.175730; x = 1065; y = 266
p = 0.980300; confidence = 0.920000; image = 130; scale_factor = 1.175730; x = 1068; y = 267
p = 0.925700; confidence = 0.770000; image = 133; scale_factor = 0.816480; x = 525; y = 360
p = 0.925700; confidence = 0.790000; image = 133; scale_factor = 0.816480; x = 524; y = 356
p = 0.925700; confidence = 0.780000; image = 133; scale_factor = 0.816480; x = 524; y = 360
p = 0.928200; confidence = 0.670000; image = 133; scale_factor = 0.979780; x = 954; y = 261
p = 0.939300; confidence = 0.740000; image = 133; scale_factor = 0.979780; x = 951; y = 264
p = 0.928200; confidence = 0.660000; image = 133; scale_factor = 0.979780; x = 953; y = 261
p = 0.966800; confidence = 0.900000; image = 133; scale_factor = 0.979780; x = 525; y = 354
p = 0.967900; confidence = 0.930000; image = 133; scale_factor = 1.175730; x = 951; y = 261
p = 0.967900; confidence = 0.940000; image = 133; scale_factor = 1.175730; x = 950; y = 261
p = 0.967900; confidence = 0.930000; image = 133; scale_factor = 1.175730; x = 951; y = 261
p = 0.938500; confidence = 0.800000; image = 140; scale_factor = 0.567000; x = 519; y = 261
p = 0.934100; confidence = 0.760000; image = 140; scale_factor = 0.567000; x = 515; y = 259
p = 0.980900; confidence = 0.930000; image = 140; scale_factor = 0.680400; x = 513; y = 267
p = 0.980900; confidence = 0.970000; image = 140; scale_factor = 0.680400; x = 512; y = 263
p = 0.970100; confidence = 0.940000; image = 140; scale_factor = 0.680400; x = 1188; y = 260
p = 0.926200; confidence = 0.840000; image = 140; scale_factor = 0.680400; x = 1197; y = 264
p = 0.951900; confidence = 0.800000; image = 140; scale_factor = 0.680400; x = 506; y = 272
p = 0.970100; confidence = 0.950000; image = 140; scale_factor = 0.680400; x = 1189; y = 263
p = 0.968300; confidence = 0.890000; image = 140; scale_factor = 0.816480; x = 514; y = 258
p = 0.965900; confidence = 0.770000; image = 140; scale_factor = 0.816480; x = 517; y = 261
p = 0.968300; confidence = 0.830000; image = 140; scale_factor = 0.816480; x = 516; y = 261
p = 0.923600; confidence = 0.620000; image = 140; scale_factor = 0.979780; x = 502; y = 260
p = 0.956400; confidence = 0.920000; image = 142; scale_factor = 0.979780; x = 980; y = 229
p = 0.956400; confidence = 0.900000; image = 142; scale_factor = 0.979780; x = 979; y = 228
p = 0.956400; confidence = 0.900000; image = 142; scale_factor = 0.979780; x = 981; y = 229
p = 0.934000; confidence = 0.890000; image = 146; scale_factor = 0.680400; x = 259; y = 311
p = 0.973400; confidence = 0.920000; image = 146; scale_factor = 0.680400; x = 259; y = 308
p = 0.926200; confidence = 0.830000; image = 146; scale_factor = 0.680400; x = 1157; y = 241
p = 0.926200; confidence = 0.810000; image = 146; scale_factor = 0.680400; x = 1166; y = 245
p = 0.934000; confidence = 0.850000; image = 146; scale_factor = 0.680400; x = 260; y = 313
p = 0.973400; confidence = 0.900000; image = 146; scale_factor = 0.680400; x = 257; y = 310
p = 0.921000; confidence = 0.710000; image = 146; scale_factor = 0.680400; x = 1160; y = 286
p = 0.933900; confidence = 0.930000; image = 149; scale_factor = 0.680400; x = 322; y = 226
p = 0.933900; confidence = 0.950000; image = 149; scale_factor = 0.680400; x = 323; y = 224
p = 0.933900; confidence = 0.900000; image = 149; scale_factor = 0.680400; x = 328; y = 227
p = 0.934800; confidence = 0.830000; image = 152; scale_factor = 0.816480; x = 962; y = 325
p = 0.934800; confidence = 0.800000; image = 152; scale_factor = 0.816480; x = 955; y = 321
p = 0.934800; confidence = 0.810000; image = 152; scale_factor = 0.816480; x = 962; y = 322
p = 0.948600; confidence = 0.740000; image = 155; scale_factor = 0.816480; x = 868; y = 267
p = 0.943300; confidence = 0.880000; image = 155; scale_factor = 0.979780; x = 867; y = 265
p = 0.943300; confidence = 0.890000; image = 155; scale_factor = 0.979780; x = 868; y = 265
p = 0.943300; confidence = 0.890000; image = 155; scale_factor = 0.979780; x = 869; y = 265
p = 0.943300; confidence = 0.870000; image = 155; scale_factor = 0.979780; x = 866; y = 265
p = 0.967900; confidence = 0.950000; image = 155; scale_factor = 1.175730; x = 867; y = 265
p = 0.920900; confidence = 0.880000; image = 155; scale_factor = 1.175730; x = 868; y = 271
p = 0.967900; confidence = 0.940000; image = 155; scale_factor = 1.175730; x = 865; y = 265
p = 0.962000; confidence = 0.740000; image = 158; scale_factor = 0.816480; x = 393; y = 241
p = 0.962000; confidence = 0.720000; image = 158; scale_factor = 0.816480; x = 391; y = 269
p = 0.968100; confidence = 0.780000; image = 158; scale_factor = 0.816480; x = 997; y = 263
p = 0.958100; confidence = 0.830000; image = 158; scale_factor = 0.979780; x = 392; y = 241
p = 0.956400; confidence = 0.900000; image = 158; scale_factor = 0.979780; x = 999; y = 231
p = 0.958100; confidence = 0.860000; image = 158; scale_factor = 0.979780; x = 387; y = 266
p = 0.958100; confidence = 0.840000; image = 158; scale_factor = 0.979780; x = 388; y = 269
p = 0.964800; confidence = 0.860000; image = 158; scale_factor = 0.979780; x = 996; y = 261
p = 0.986100; confidence = 0.900000; image = 158; scale_factor = 0.979780; x = 999; y = 262
p = 0.946900; confidence = 0.760000; image = 158; scale_factor = 1.175730; x = 1000; y = 260
p = 0.950400; confidence = 0.880000; image = 160; scale_factor = 1.175730; x = 1035; y = 246
p = 0.950400; confidence = 0.830000; image = 160; scale_factor = 1.175730; x = 1039; y = 243
p = 0.953000; confidence = 0.710000; image = 166; scale_factor = 0.816480; x = 270; y = 279
p = 0.920900; confidence = 0.810000; image = 173; scale_factor = 1.175730; x = 892; y = 272
p = 0.952000; confidence = 0.810000; image = 174; scale_factor = 0.816480; x = 945; y = 267
p = 0.977300; confidence = 0.940000; image = 174; scale_factor = 0.979780; x = 947; y = 265
p = 0.977300; confidence = 0.940000; image = 174; scale_factor = 0.979780; x = 947; y = 265
p = 0.977300; confidence = 0.970000; image = 174; scale_factor = 0.979780; x = 944; y = 267
p = 0.977300; confidence = 0.960000; image = 174; scale_factor = 0.979780; x = 944; y = 268
p = 0.920900; confidence = 0.880000; image = 174; scale_factor = 1.175730; x = 942; y = 272
p = 0.927900; confidence = 0.810000; image = 175; scale_factor = 0.680400; x = 903; y = 295
p = 0.927900; confidence = 0.820000; image = 175; scale_factor = 0.680400; x = 911; y = 297
p = 0.927900; confidence = 0.810000; image = 175; scale_factor = 0.680400; x = 906; y = 294
p = 0.948600; confidence = 0.720000; image = 175; scale_factor = 0.816480; x = 907; y = 287
p = 0.943300; confidence = 0.860000; image = 176; scale_factor = 0.979780; x = 877; y = 279
p = 0.943300; confidence = 0.820000; image = 176; scale_factor = 0.979780; x = 879; y = 278
p = 0.943300; confidence = 0.850000; image = 176; scale_factor = 0.979780; x = 877; y = 281
p = 0.943300; confidence = 0.860000; image = 176; scale_factor = 0.979780; x = 878; y = 278
p = 0.920900; confidence = 0.800000; image = 176; scale_factor = 1.175730; x = 878; y = 274
p = 0.920900; confidence = 0.840000; image = 176; scale_factor = 1.175730; x = 878; y = 277
p = 0.939000; confidence = 0.620000; image = 217; scale_factor = 0.816480; x = 1053; y = 313
p = 0.946900; confidence = 0.740000; image = 217; scale_factor = 1.175730; x = 1057; y = 316
p = 0.922800; confidence = 0.840000; image = 246; scale_factor = 0.816480; x = 389; y = 399
p = 0.922800; confidence = 0.810000; image = 246; scale_factor = 0.816480; x = 395; y = 399
p = 0.963000; confidence = 0.990000; image = 246; scale_factor = 0.979780; x = 392; y = 399
p = 0.922800; confidence = 0.830000; image = 271; scale_factor = 0.816480; x = 393; y = 375
p = 0.922800; confidence = 0.820000; image = 271; scale_factor = 0.816480; x = 394; y = 370
p = 0.931700; confidence = 0.930000; image = 271; scale_factor = 0.816480; x = 1294; y = 398
p = 0.931700; confidence = 0.920000; image = 271; scale_factor = 0.816480; x = 1294; y = 395
p = 0.922800; confidence = 0.870000; image = 271; scale_factor = 0.816480; x = 391; y = 374
p = 0.931700; confidence = 0.900000; image = 271; scale_factor = 0.816480; x = 1289; y = 396
p = 0.963000; confidence = 0.940000; image = 271; scale_factor = 0.979780; x = 394; y = 371
p = 0.963000; confidence = 0.960000; image = 271; scale_factor = 0.979780; x = 393; y = 372
p = 0.930200; confidence = 0.720000; image = 272; scale_factor = 0.816480; x = 958; y = 376
p = 0.930200; confidence = 0.730000; image = 272; scale_factor = 0.816480; x = 958; y = 373
p = 0.923300; confidence = 0.890000; image = 272; scale_factor = 0.979780; x = 956; y = 375
p = 0.923300; confidence = 0.880000; image = 272; scale_factor = 0.979780; x = 956; y = 376
p = 0.968900; confidence = 0.940000; image = 272; scale_factor = 0.979780; x = 955; y = 375
p = 0.968900; confidence = 0.930000; image = 272; scale_factor = 0.979780; x = 955; y = 375
p = 0.943300; confidence = 0.740000; image = 276; scale_factor = 1.175730; x = 479; y = 319
p = 0.943300; confidence = 0.750000; image = 276; scale_factor = 1.175730; x = 479; y = 319
p = 0.960300; confidence = 0.920000; image = 276; scale_factor = 1.410880; x = 478; y = 317
p = 0.939300; confidence = 0.930000; image = 281; scale_factor = 0.816480; x = 1150; y = 221
p = 0.939300; confidence = 0.910000; image = 281; scale_factor = 0.816480; x = 1152; y = 221
p = 0.953500; confidence = 0.920000; image = 281; scale_factor = 0.979780; x = 495; y = 237
p = 0.953500; confidence = 0.970000; image = 281; scale_factor = 0.979780; x = 497; y = 235
p = 0.928500; confidence = 0.960000; image = 281; scale_factor = 0.979780; x = 1150; y = 220
p = 0.928500; confidence = 0.940000; image = 281; scale_factor = 0.979780; x = 1154; y = 220
p = 0.928500; confidence = 0.970000; image = 281; scale_factor = 0.979780; x = 1148; y = 219
p = 0.948600; confidence = 0.760000; image = 284; scale_factor = 0.816480; x = 870; y = 271
p = 0.952000; confidence = 0.880000; image = 284; scale_factor = 0.816480; x = 872; y = 307
p = 0.939300; confidence = 0.780000; image = 284; scale_factor = 0.979780; x = 867; y = 275
p = 0.943300; confidence = 0.870000; image = 284; scale_factor = 0.979780; x = 870; y = 271
p = 0.977300; confidence = 0.940000; image = 284; scale_factor = 0.979780; x = 871; y = 307
p = 0.977300; confidence = 0.910000; image = 284; scale_factor = 0.979780; x = 870; y = 304
p = 0.920900; confidence = 0.840000; image = 286; scale_factor = 1.175730; x = 828; y = 272
p = 0.940200; confidence = 0.930000; image = 286; scale_factor = 1.410880; x = 827; y = 270
p = 0.940200; confidence = 0.910000; image = 286; scale_factor = 1.410880; x = 828; y = 270
p = 0.926200; confidence = 0.810000; image = 294; scale_factor = 0.680400; x = 1113; y = 254
p = 0.921000; confidence = 0.790000; image = 294; scale_factor = 0.680400; x = 1111; y = 248
p = 0.927800; confidence = 0.630000; image = 294; scale_factor = 0.816480; x = 401; y = 260
p = 0.980400; confidence = 0.970000; image = 294; scale_factor = 0.816480; x = 1113; y = 250
p = 0.927800; confidence = 0.630000; image = 294; scale_factor = 0.816480; x = 401; y = 258
p = 0.980400; confidence = 0.910000; image = 294; scale_factor = 0.816480; x = 1116; y = 253
p = 0.955000; confidence = 0.770000; image = 294; scale_factor = 0.979780; x = 403; y = 260
p = 0.942000; confidence = 0.820000; image = 294; scale_factor = 0.979780; x = 1105; y = 250
p = 0.942000; confidence = 0.870000; image = 294; scale_factor = 0.979780; x = 1116; y = 247
p = 0.958100; confidence = 0.800000; image = 294; scale_factor = 0.979780; x = 402; y = 260
p = 0.942000; confidence = 0.840000; image = 294; scale_factor = 0.979780; x = 1115; y = 254
p = 0.976400; confidence = 0.920000; image = 294; scale_factor = 1.175730; x = 405; y = 260
p = 0.976400; confidence = 0.930000; image = 294; scale_factor = 1.175730; x = 402; y = 259
p = 0.976400; confidence = 0.930000; image = 294; scale_factor = 1.175730; x = 404; y = 259
p = 0.934000; confidence = 0.860000; image = 295; scale_factor = 0.680400; x = 218; y = 294
p = 0.934000; confidence = 0.870000; image = 295; scale_factor = 0.680400; x = 218; y = 292
p = 0.960200; confidence = 0.960000; image = 295; scale_factor = 0.680400; x = 991; y = 358
p = 0.934000; confidence = 0.860000; image = 295; scale_factor = 0.680400; x = 218; y = 297
p = 0.934000; confidence = 0.860000; image = 295; scale_factor = 0.680400; x = 215; y = 297
p = 0.960200; confidence = 0.930000; image = 295; scale_factor = 0.680400; x = 988; y = 361
p = 0.960200; confidence = 0.960000; image = 295; scale_factor = 0.680400; x = 994; y = 360
p = 0.953000; confidence = 0.710000; image = 295; scale_factor = 0.816480; x = 212; y = 288
p = 0.953000; confidence = 0.740000; image = 295; scale_factor = 0.816480; x = 220; y = 299
p = 0.953000; confidence = 0.750000; image = 295; scale_factor = 0.816480; x = 222; y = 302
p = 0.934800; confidence = 0.820000; image = 295; scale_factor = 0.816480; x = 998; y = 365
p = 0.948600; confidence = 0.730000; image = 298; scale_factor = 0.816480; x = 831; y = 274
p = 0.948600; confidence = 0.790000; image = 298; scale_factor = 0.816480; x = 833; y = 276
p = 0.952000; confidence = 0.800000; image = 298; scale_factor = 0.816480; x = 832; y = 275
p = 0.958100; confidence = 0.830000; image = 298; scale_factor = 0.979780; x = 341; y = 280
p = 0.955000; confidence = 0.770000; image = 298; scale_factor = 0.979780; x = 344; y = 274
p = 0.943300; confidence = 0.840000; image = 298; scale_factor = 0.979780; x = 832; y = 273
p = 0.958100; confidence = 0.840000; image = 298; scale_factor = 0.979780; x = 340; y = 280
p = 0.958100; confidence = 0.820000; image = 298; scale_factor = 0.979780; x = 341; y = 277
p = 0.943300; confidence = 0.840000; image = 298; scale_factor = 0.979780; x = 832; y = 273
p = 0.943300; confidence = 0.860000; image = 298; scale_factor = 0.979780; x = 836; y = 271
p = 0.936900; confidence = 0.760000; image = 298; scale_factor = 1.175730; x = 339; y = 275
