# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 24
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00260.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00023.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00003.ppm
image = 00003; scale_factor = 0.31250; x =  313; y = 313; confidence = 0.01; MISS
image = 00003; scale_factor = 0.76538; x =  541; y = 225; confidence = 0.24; MISS
image = 00003; scale_factor = 0.76538; x =  664; y = 262; confidence = 0.36; MISS
image = 00003; scale_factor = 0.76538; x =  789; y = 244; confidence = 0.56; MISS
image = 00003; scale_factor = 0.76538; x =  913; y = 255; confidence = 0.05; MISS
image = 00003; scale_factor = 0.76538; x = 1035; y = 284; confidence = 0.18; MISS
image = 00003; scale_factor = 0.76538; x = 1199; y = 259; confidence = 0.32; MISS
image = 00003; scale_factor = 0.76538; x = 1321; y = 267; confidence = 0.11; MISS
image = 00003; scale_factor = 0.76538; x =   77; y = 360; confidence = 0.40; MISS
image = 00003; scale_factor = 0.76538; x =  195; y = 396; confidence = 0.04; MISS
image = 00003; scale_factor = 0.76538; x =  409; y = 406; confidence = 0.31; MISS
image = 00003; scale_factor = 0.76538; x =  550; y = 359; confidence = 0.36; MISS
image = 00003; scale_factor = 0.76538; x =  652; y = 355; confidence = 0.36; MISS
image = 00003; scale_factor = 0.76538; x =  777; y = 385; confidence = 0.32; MISS
image = 00003; scale_factor = 0.76538; x =  913; y = 377; confidence = 0.03; MISS
image = 00003; scale_factor = 0.76538; x = 1000; y = 404; confidence = 0.07; MISS
image = 00003; scale_factor = 0.76538; x = 1272; y = 318; confidence = 0.49; MISS
image = 00003; scale_factor = 0.76538; x = 1272; y = 314; confidence = 0.47; MISS
image = 00003; scale_factor = 0.76538; x =  131; y = 528; confidence = 0.18; MISS
image = 00003; scale_factor = 0.76538; x =  284; y = 509; confidence = 0.40; MISS
image = 00003; scale_factor = 0.76538; x =  421; y = 524; confidence = 0.13; MISS
image = 00003; scale_factor = 0.76538; x =  476; y = 562; confidence = 0.26; MISS
image = 00003; scale_factor = 0.76538; x =  666; y = 575; confidence = 0.41; MISS
image = 00003; scale_factor = 0.76538; x =  823; y = 474; confidence = 0.55; MISS
image = 00003; scale_factor = 0.76538; x =  939; y = 525; confidence = 0.20; MISS
image = 00003; scale_factor = 0.76538; x = 1049; y = 521; confidence = 0.19; MISS
image = 00003; scale_factor = 0.76538; x = 1179; y = 516; confidence = 0.28; MISS
image = 00003; scale_factor = 0.76538; x = 1310; y = 524; confidence = 0.19; MISS
image = 00003; scale_factor = 0.76538; x =  148; y = 646; confidence = 0.30; MISS
image = 00003; scale_factor = 0.76538; x =  262; y = 655; confidence = 0.25; MISS
image = 00003; scale_factor = 0.76538; x =  371; y = 622; confidence = 0.27; MISS
image = 00003; scale_factor = 0.76538; x =  444; y = 590; confidence = 0.16; MISS
image = 00003; scale_factor = 0.76538; x =  684; y = 668; confidence = 0.24; MISS
image = 00003; scale_factor = 0.76538; x =  794; y = 642; confidence = 0.25; MISS
image = 00003; scale_factor = 0.76538; x =  930; y = 652; confidence = 0.54; MISS
image = 00003; scale_factor = 0.76538; x = 1010; y = 693; confidence = 0.64; MISS
image = 00003; scale_factor = 0.76538; x = 1159; y = 668; confidence = 0.49; MISS
image = 00003; scale_factor = 0.76538; x = 1307; y = 655; confidence = 0.29; MISS
image = 00003; scale_factor = 0.76538; x =  128; y = 765; confidence = 0.34; MISS
image = 00003; scale_factor = 0.76538; x =  177; y = 765; confidence = 0.46; MISS
image = 00003; scale_factor = 0.76538; x =  267; y = 786; confidence = 0.01; MISS
image = 00003; scale_factor = 0.76538; x =  524; y = 786; confidence = 0.00; MISS
image = 00003; scale_factor = 0.76538; x =  675; y = 706; confidence = 0.25; MISS
image = 00003; scale_factor = 0.76538; x =  849; y = 744; confidence = 0.09; MISS
image = 00003; scale_factor = 0.76538; x =  850; y = 745; confidence = 0.16; MISS
image = 00003; scale_factor = 0.76538; x = 1013; y = 692; confidence = 0.66; MISS
image = 00003; scale_factor = 0.76538; x = 1179; y = 779; confidence = 0.10; MISS
image = 00003; scale_factor = 0.76538; x = 1260; y = 793; confidence = 0.04; MISS
image = 00003; scale_factor = 1.19782; x =   76; y =  85; confidence = 0.07; MISS
image = 00003; scale_factor = 1.19782; x =  203; y =  90; confidence = 0.16; MISS
image = 00003; scale_factor = 1.19782; x =  295; y =  46; confidence = 0.13; MISS
image = 00003; scale_factor = 1.19782; x =  363; y =  79; confidence = 0.35; MISS
image = 00003; scale_factor = 1.19782; x =  407; y =  75; confidence = 0.23; MISS
image = 00003; scale_factor = 1.19782; x =  509; y =  71; confidence = 0.20; MISS
image = 00003; scale_factor = 1.19782; x =  588; y =  92; confidence = 0.21; MISS
image = 00003; scale_factor = 1.19782; x =  641; y =  77; confidence = 0.02; MISS
image = 00003; scale_factor = 1.19782; x =  759; y =  71; confidence = 0.16; MISS
image = 00003; scale_factor = 1.19782; x =  846; y = 130; confidence = 0.05; MISS
image = 00003; scale_factor = 1.19782; x =  916; y =  90; confidence = 0.13; MISS
image = 00003; scale_factor = 1.19782; x =  978; y = 115; confidence = 0.40; MISS
image = 00003; scale_factor = 1.19782; x = 1097; y =  41; confidence = 0.34; MISS
image = 00003; scale_factor = 1.19782; x = 1160; y =  88; confidence = 0.24; MISS
image = 00003; scale_factor = 1.19782; x = 1282; y =  33; confidence = 0.47; MISS
image = 00003; scale_factor = 1.19782; x = 1281; y =  33; confidence = 0.43; MISS
image = 00003; scale_factor = 1.19782; x =   98; y = 191; confidence = 0.32; MISS
image = 00003; scale_factor = 1.19782; x =  175; y = 183; confidence = 0.00; MISS
image = 00003; scale_factor = 1.19782; x =  243; y = 169; confidence = 0.44; MISS
image = 00003; scale_factor = 1.19782; x =  334; y = 182; confidence = 0.33; MISS
image = 00003; scale_factor = 1.19782; x =  389; y = 184; confidence = 0.50; MISS
image = 00003; scale_factor = 1.19782; x =  560; y = 179; confidence = 0.31; MISS
image = 00003; scale_factor = 1.19782; x =  579; y = 172; confidence = 0.38; MISS
image = 00003; scale_factor = 1.19782; x =  675; y = 198; confidence = 0.55; MISS
image = 00003; scale_factor = 1.19782; x =  725; y = 180; confidence = 0.46; MISS
image = 00003; scale_factor = 1.19782; x =  815; y = 159; confidence = 0.36; MISS
image = 00003; scale_factor = 1.19782; x =  915; y = 163; confidence = 0.08; MISS
image = 00003; scale_factor = 1.19782; x =  976; y = 151; confidence = 0.22; MISS
image = 00003; scale_factor = 1.19782; x = 1059; y = 182; confidence = 0.19; MISS
image = 00003; scale_factor = 1.19782; x = 1154; y = 118; confidence = 0.30; MISS
image = 00003; scale_factor = 1.19782; x = 1267; y = 178; confidence = 0.25; MISS
image = 00003; scale_factor = 1.19782; x = 1286; y = 154; confidence = 0.29; MISS
image = 00003; scale_factor = 1.19782; x =   80; y = 222; confidence = 0.18; MISS
image = 00003; scale_factor = 1.19782; x =  190; y = 294; confidence = 0.11; MISS
image = 00003; scale_factor = 1.19782; x =  270; y = 201; confidence = 0.15; MISS
image = 00003; scale_factor = 1.19782; x =  324; y = 245; confidence = 0.39; MISS
image = 00003; scale_factor = 1.19782; x =  428; y = 205; confidence = 0.55; MISS
image = 00003; scale_factor = 1.19782; x =  504; y = 238; confidence = 0.55; MISS
image = 00003; scale_factor = 1.19782; x =  562; y = 253; confidence = 0.37; MISS
image = 00003; scale_factor = 1.19782; x =  656; y = 233; confidence = 0.46; MISS
image = 00003; scale_factor = 1.19782; x =  747; y = 254; confidence = 0.30; MISS
image = 00003; scale_factor = 1.19782; x =  856; y = 266; confidence = 0.30; MISS
image = 00003; scale_factor = 1.19782; x =  908; y = 251; confidence = 0.22; MISS
image = 00003; scale_factor = 1.19782; x =  956; y = 280; confidence = 0.41; MISS
image = 00003; scale_factor = 1.19782; x = 1067; y = 209; confidence = 0.29; MISS
image = 00003; scale_factor = 1.19782; x = 1180; y = 247; confidence = 0.28; MISS
image = 00003; scale_factor = 1.19782; x = 1249; y = 245; confidence = 0.00; MISS
image = 00003; scale_factor = 1.19782; x = 1319; y = 245; confidence = 0.26; MISS
image = 00003; scale_factor = 1.19782; x =   87; y = 349; confidence = 0.42; MISS
image = 00003; scale_factor = 1.19782; x =  178; y = 335; confidence = 0.14; MISS
image = 00003; scale_factor = 1.19782; x =  240; y = 331; confidence = 0.45; MISS
image = 00003; scale_factor = 1.19782; x =  300; y = 310; confidence = 0.04; MISS
image = 00003; scale_factor = 1.19782; x =  415; y = 332; confidence = 0.34; MISS
image = 00003; scale_factor = 1.19782; x =  487; y = 310; confidence = 0.08; MISS
image = 00003; scale_factor = 1.19782; x =  598; y = 330; confidence = 0.26; MISS
image = 00003; scale_factor = 1.19782; x =  660; y = 359; confidence = 0.42; MISS
image = 00003; scale_factor = 1.19782; x =  757; y = 340; confidence = 0.76; HIT;  T.S. Type =  4; Width =  23
image = 00003; scale_factor = 1.19782; x =  827; y = 330; confidence = 0.30; MISS
image = 00003; scale_factor = 1.19782; x =  876; y = 356; confidence = 0.41; MISS
image = 00003; scale_factor = 1.19782; x = 1005; y = 332; confidence = 0.21; MISS
image = 00003; scale_factor = 1.19782; x = 1068; y = 333; confidence = 0.01; MISS
image = 00003; scale_factor = 1.19782; x = 1209; y = 287; confidence = 0.31; MISS
image = 00003; scale_factor = 1.19782; x = 1274; y = 328; confidence = 0.38; MISS
image = 00003; scale_factor = 1.19782; x = 1302; y = 354; confidence = 0.33; MISS
image = 00003; scale_factor = 1.19782; x =   90; y = 427; confidence = 0.10; MISS
image = 00003; scale_factor = 1.19782; x =  198; y = 432; confidence = 0.39; MISS
image = 00003; scale_factor = 1.19782; x =  286; y = 437; confidence = 0.32; MISS
image = 00003; scale_factor = 1.19782; x =  352; y = 404; confidence = 0.43; MISS
image = 00003; scale_factor = 1.19782; x =  418; y = 413; confidence = 0.31; MISS
image = 00003; scale_factor = 1.19782; x =  543; y = 388; confidence = 0.49; MISS
image = 00003; scale_factor = 1.19782; x =  560; y = 430; confidence = 0.40; MISS
image = 00003; scale_factor = 1.19782; x =  668; y = 413; confidence = 0.29; MISS
image = 00003; scale_factor = 1.19782; x =  747; y = 418; confidence = 0.23; MISS
image = 00003; scale_factor = 1.19782; x =  832; y = 403; confidence = 0.43; MISS
image = 00003; scale_factor = 1.19782; x =  927; y = 418; confidence = 0.21; MISS
image = 00003; scale_factor = 1.19782; x =  992; y = 415; confidence = 0.09; MISS
image = 00003; scale_factor = 1.19782; x = 1014; y = 402; confidence = 0.22; MISS
image = 00003; scale_factor = 1.19782; x = 1145; y = 492; confidence = 0.40; MISS
image = 00003; scale_factor = 1.19782; x = 1220; y = 362; confidence = 0.36; MISS
image = 00003; scale_factor = 1.19782; x = 1297; y = 352; confidence = 0.38; MISS
image = 00003; scale_factor = 1.19782; x =   85; y = 508; confidence = 0.25; MISS
image = 00003; scale_factor = 1.19782; x =  149; y = 544; confidence = 0.36; MISS
image = 00003; scale_factor = 1.19782; x =  249; y = 498; confidence = 0.25; MISS
image = 00003; scale_factor = 1.19782; x =  404; y = 524; confidence = 0.33; MISS
image = 00003; scale_factor = 1.19782; x =  408; y = 456; confidence = 0.48; MISS
image = 00003; scale_factor = 1.19782; x =  497; y = 494; confidence = 0.35; MISS
image = 00003; scale_factor = 1.19782; x =  528; y = 469; confidence = 0.09; MISS
image = 00003; scale_factor = 1.19782; x =  656; y = 499; confidence = 0.32; MISS
image = 00003; scale_factor = 1.19782; x =  781; y = 500; confidence = 0.46; MISS
image = 00003; scale_factor = 1.19782; x =  821; y = 478; confidence = 0.56; MISS
image = 00003; scale_factor = 1.19782; x =  939; y = 528; confidence = 0.73; MISS
image = 00003; scale_factor = 1.19782; x =  941; y = 526; confidence = 0.64; MISS
image = 00003; scale_factor = 1.19782; x = 1098; y = 504; confidence = 0.22; MISS
image = 00003; scale_factor = 1.19782; x = 1169; y = 510; confidence = 0.48; MISS
image = 00003; scale_factor = 1.19782; x = 1172; y = 507; confidence = 0.46; MISS
image = 00003; scale_factor = 1.19782; x = 1325; y = 515; confidence = 0.51; MISS
image = 00003; scale_factor = 1.19782; x =   82; y = 588; confidence = 0.25; MISS
image = 00003; scale_factor = 1.19782; x =  168; y = 585; confidence = 0.13; MISS
image = 00003; scale_factor = 1.19782; x =  246; y = 579; confidence = 0.20; MISS
image = 00003; scale_factor = 1.19782; x =  348; y = 583; confidence = 0.20; MISS
image = 00003; scale_factor = 1.19782; x =  394; y = 588; confidence = 0.42; MISS
image = 00003; scale_factor = 1.19782; x =  473; y = 549; confidence = 0.50; MISS
image = 00003; scale_factor = 1.19782; x =  641; y = 588; confidence = 0.22; MISS
image = 00003; scale_factor = 1.19782; x =  663; y = 584; confidence = 0.19; MISS
image = 00003; scale_factor = 1.19782; x =  753; y = 564; confidence = 0.46; MISS
image = 00003; scale_factor = 1.19782; x =  836; y = 575; confidence = 0.37; MISS
image = 00003; scale_factor = 1.19782; x =  905; y = 575; confidence = 0.44; MISS
image = 00003; scale_factor = 1.19782; x =  995; y = 590; confidence = 0.49; MISS
image = 00003; scale_factor = 1.19782; x = 1062; y = 591; confidence = 0.30; MISS
image = 00003; scale_factor = 1.19782; x = 1177; y = 594; confidence = 0.16; MISS
image = 00003; scale_factor = 1.19782; x = 1243; y = 579; confidence = 0.28; MISS
image = 00003; scale_factor = 1.19782; x = 1340; y = 518; confidence = 0.62; MISS
image = 00003; scale_factor = 1.19782; x =   56; y = 694; confidence = 0.09; MISS
image = 00003; scale_factor = 1.19782; x =  166; y = 664; confidence = 0.26; MISS
image = 00003; scale_factor = 1.19782; x =  247; y = 666; confidence = 0.50; MISS
image = 00003; scale_factor = 1.19782; x =  331; y = 671; confidence = 0.15; MISS
image = 00003; scale_factor = 1.19782; x =  395; y = 594; confidence = 0.19; MISS
image = 00003; scale_factor = 1.19782; x =  457; y = 596; confidence = 0.29; MISS
image = 00003; scale_factor = 1.19782; x =  643; y = 677; confidence = 0.05; MISS
image = 00003; scale_factor = 1.19782; x =  663; y = 660; confidence = 0.21; MISS
image = 00003; scale_factor = 1.19782; x =  745; y = 654; confidence = 0.20; MISS
image = 00003; scale_factor = 1.19782; x =  837; y = 673; confidence = 0.14; MISS
image = 00003; scale_factor = 1.19782; x =  925; y = 645; confidence = 0.39; MISS
image = 00003; scale_factor = 1.19782; x =  998; y = 668; confidence = 0.18; MISS
image = 00003; scale_factor = 1.19782; x = 1081; y = 690; confidence = 0.36; MISS
image = 00003; scale_factor = 1.19782; x = 1189; y = 660; confidence = 0.38; MISS
image = 00003; scale_factor = 1.19782; x = 1257; y = 673; confidence = 0.33; MISS
image = 00003; scale_factor = 1.19782; x = 1346; y = 681; confidence = 0.40; MISS
image = 00003; scale_factor = 1.19782; x =   61; y = 763; confidence = 0.63; MISS
image = 00003; scale_factor = 1.19782; x =  184; y = 749; confidence = 0.41; MISS
image = 00003; scale_factor = 1.19782; x =  242; y = 756; confidence = 0.18; MISS
image = 00003; scale_factor = 1.19782; x =  309; y = 708; confidence = 0.27; MISS
image = 00003; scale_factor = 1.19782; x =  415; y = 747; confidence = 0.00; MISS
image = 00003; scale_factor = 1.19782; x =  498; y = 747; confidence = 0.00; MISS
image = 00003; scale_factor = 1.19782; x =  651; y = 712; confidence = 0.00; MISS
image = 00003; scale_factor = 1.19782; x =  681; y = 749; confidence = 0.16; MISS
image = 00003; scale_factor = 1.19782; x =  773; y = 725; confidence = 0.44; MISS
image = 00003; scale_factor = 1.19782; x =  835; y = 742; confidence = 0.29; MISS
image = 00003; scale_factor = 1.19782; x =  930; y = 750; confidence = 0.24; MISS
image = 00003; scale_factor = 1.19782; x =  972; y = 747; confidence = 0.18; MISS
image = 00003; scale_factor = 1.19782; x = 1081; y = 757; confidence = 0.33; MISS
image = 00003; scale_factor = 1.19782; x = 1160; y = 747; confidence = 0.26; MISS
image = 00003; scale_factor = 1.19782; x = 1246; y = 736; confidence = 0.40; MISS
image = 00003; scale_factor = 1.19782; x = 1350; y = 740; confidence = 0.13; MISS
image = 00003; scale_factor = 1.87460; x =   62; y =  29; confidence = 0.09; MISS
image = 00003; scale_factor = 1.87460; x =  128; y =  58; confidence = 0.13; MISS
image = 00003; scale_factor = 1.87460; x =  144; y =  53; confidence = 0.11; MISS
image = 00003; scale_factor = 1.87460; x =  210; y =  48; confidence = 0.00; MISS
image = 00003; scale_factor = 1.87460; x =  277; y =  27; confidence = 0.14; MISS
image = 00003; scale_factor = 1.87460; x =  319; y =  53; confidence = 0.26; MISS
image = 00003; scale_factor = 1.87460; x =  359; y =  78; confidence = 0.38; MISS
image = 00003; scale_factor = 1.87460; x =  425; y =  55; confidence = 0.00; MISS
image = 00003; scale_factor = 1.87460; x =  492; y =  41; confidence = 0.14; MISS
image = 00003; scale_factor = 1.87460; x =  535; y =  38; confidence = 0.01; MISS
image = 00003; scale_factor = 1.87460; x =  587; y =  21; confidence = 0.12; MISS
image = 00003; scale_factor = 1.87460; x =  632; y =  67; confidence = 0.37; MISS
image = 00003; scale_factor = 1.87460; x =  707; y =  30; confidence = 0.56; MISS
image = 00003; scale_factor = 1.87460; x =  757; y =  28; confidence = 0.14; MISS
image = 00003; scale_factor = 1.87460; x =  779; y =  69; confidence = 0.06; MISS
image = 00003; scale_factor = 1.87460; x =  859; y =  45; confidence = 0.01; MISS
image = 00003; scale_factor = 1.87460; x =  889; y =  42; confidence = 0.18; MISS
image = 00003; scale_factor = 1.87460; x =  950; y =  65; confidence = 0.22; MISS
image = 00003; scale_factor = 1.87460; x = 1007; y =  50; confidence = 0.06; MISS
image = 00003; scale_factor = 1.87460; x = 1062; y =  54; confidence = 0.37; MISS
image = 00003; scale_factor = 1.87460; x = 1099; y =  58; confidence = 0.52; MISS
image = 00003; scale_factor = 1.87460; x = 1162; y =  48; confidence = 0.33; MISS
image = 00003; scale_factor = 1.87460; x = 1220; y =  38; confidence = 0.38; MISS
image = 00003; scale_factor = 1.87460; x = 1280; y =  33; confidence = 0.57; MISS
image = 00003; scale_factor = 1.87460; x = 1326; y =  53; confidence = 0.05; MISS
image = 00003; scale_factor = 1.87460; x =   59; y = 113; confidence = 0.07; MISS
image = 00003; scale_factor = 1.87460; x =   91; y = 124; confidence = 0.02; MISS
image = 00003; scale_factor = 1.87460; x =  180; y = 107; confidence = 0.28; MISS
image = 00003; scale_factor = 1.87460; x =  206; y = 135; confidence = 0.30; MISS
image = 00003; scale_factor = 1.87460; x =  280; y = 106; confidence = 0.20; MISS
image = 00003; scale_factor = 1.87460; x =  342; y = 129; confidence = 0.32; MISS
image = 00003; scale_factor = 1.87460; x =  359; y =  78; confidence = 0.36; MISS
image = 00003; scale_factor = 1.87460; x =  423; y = 115; confidence = 0.36; MISS
image = 00003; scale_factor = 1.87460; x =  486; y = 151; confidence = 0.08; MISS
image = 00003; scale_factor = 1.87460; x =  529; y = 112; confidence = 0.04; MISS
image = 00003; scale_factor = 1.87460; x =  593; y =  78; confidence = 0.02; MISS
image = 00003; scale_factor = 1.87460; x =  661; y =  72; confidence = 0.03; MISS
image = 00003; scale_factor = 1.87460; x =  719; y = 110; confidence = 0.22; MISS
image = 00003; scale_factor = 1.87460; x =  733; y = 123; confidence = 0.31; MISS
image = 00003; scale_factor = 1.87460; x =  796; y = 116; confidence = 0.02; MISS
image = 00003; scale_factor = 1.87460; x =  869; y =  88; confidence = 0.15; MISS
image = 00003; scale_factor = 1.87460; x =  914; y = 116; confidence = 0.35; MISS
image = 00003; scale_factor = 1.87460; x =  954; y = 106; confidence = 0.28; MISS
image = 00003; scale_factor = 1.87460; x =  983; y = 115; confidence = 0.40; MISS
image = 00003; scale_factor = 1.87460; x = 1046; y = 121; confidence = 0.40; MISS
image = 00003; scale_factor = 1.87460; x = 1118; y =  94; confidence = 0.12; MISS
image = 00003; scale_factor = 1.87460; x = 1152; y = 117; confidence = 0.23; MISS
image = 00003; scale_factor = 1.87460; x = 1237; y =  97; confidence = 0.06; MISS
image = 00003; scale_factor = 1.87460; x = 1285; y = 106; confidence = 0.34; MISS
image = 00003; scale_factor = 1.87460; x = 1287; y = 106; confidence = 0.31; MISS
image = 00003; scale_factor = 1.87460; x =   33; y = 165; confidence = 0.34; MISS
image = 00003; scale_factor = 1.87460; x =  105; y = 182; confidence = 0.33; MISS
image = 00003; scale_factor = 1.87460; x =  135; y = 177; confidence = 0.28; MISS
image = 00003; scale_factor = 1.87460; x =  211; y = 161; confidence = 0.11; MISS
image = 00003; scale_factor = 1.87460; x =  246; y = 186; confidence = 0.41; MISS
image = 00003; scale_factor = 1.87460; x =  317; y = 159; confidence = 0.00; MISS
image = 00003; scale_factor = 1.87460; x =  384; y = 181; confidence = 0.51; MISS
image = 00003; scale_factor = 1.87460; x =  425; y = 159; confidence = 0.20; MISS
image = 00003; scale_factor = 1.87460; x =  485; y = 160; confidence = 0.18; MISS
image = 00003; scale_factor = 1.87460; x =  550; y = 175; confidence = 0.21; MISS
image = 00003; scale_factor = 1.87460; x =  584; y = 154; confidence = 0.19; MISS
image = 00003; scale_factor = 1.87460; x =  636; y = 156; confidence = 0.07; MISS
image = 00003; scale_factor = 1.87460; x =  688; y = 158; confidence = 0.10; MISS
image = 00003; scale_factor = 1.87460; x =  762; y = 157; confidence = 0.19; MISS
image = 00003; scale_factor = 1.87460; x =  783; y = 156; confidence = 0.32; MISS
image = 00003; scale_factor = 1.87460; x =  845; y = 159; confidence = 0.17; MISS
image = 00003; scale_factor = 1.87460; x =  901; y = 153; confidence = 0.12; MISS
image = 00003; scale_factor = 1.87460; x =  933; y = 139; confidence = 0.41; MISS
image = 00003; scale_factor = 1.87460; x = 1001; y = 145; confidence = 0.46; MISS
image = 00003; scale_factor = 1.87460; x = 1051; y = 159; confidence = 0.17; MISS
