# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 57
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00018.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00018.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00056.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00071.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00085.ppm
delta = 89
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00089.ppm
scale_factor = 1.12; image = 00093; x =   95; y =  71; confidence = 0.57; MISS
scale_factor = 1.12; image = 00097; x =  712; y = 279; confidence = 0.11; MISS
scale_factor = 1.12; image = 00097; x =  797; y = 315; confidence = 0.42; MISS
scale_factor = 1.12; image = 00097; x =  918; y = 286; confidence = 0.42; MISS
scale_factor = 1.12; image = 00097; x =  940; y = 264; confidence = 0.37; MISS
scale_factor = 1.12; image = 00097; x = 1076; y = 287; confidence = 0.05; MISS
scale_factor = 1.12; image = 00097; x = 1159; y = 271; confidence = 0.15; MISS
scale_factor = 1.12; image = 00097; x = 1255; y = 250; confidence = 0.49; MISS
scale_factor = 1.12; image = 00097; x = 1318; y = 271; confidence = 0.28; MISS
scale_factor = 1.12; image = 00097; x =  105; y = 340; confidence = 0.33; MISS
scale_factor = 1.12; image = 00097; x =  186; y = 355; confidence = 0.30; MISS
scale_factor = 1.12; image = 00097; x =  299; y = 397; confidence = 0.43; MISS
scale_factor = 1.12; image = 00093; x =  354; y = 373; confidence = 0.81; HIT ***
scale_factor = 1.12; image = 00097; x =  444; y = 358; confidence = 0.18; MISS
scale_factor = 1.12; image = 00097; x =  524; y = 365; confidence = 0.38; MISS
scale_factor = 1.12; image = 00097; x =  656; y = 301; confidence = 0.46; MISS
scale_factor = 1.12; image = 00097; x =  690; y = 359; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  789; y = 352; confidence = 0.22; MISS
scale_factor = 1.12; image = 00097; x =  892; y = 362; confidence = 0.40; MISS
scale_factor = 1.12; image = 00097; x =  981; y = 377; confidence = 0.30; MISS
scale_factor = 1.12; image = 00097; x = 1073; y = 351; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x = 1156; y = 344; confidence = 0.26; MISS
scale_factor = 1.12; image = 00097; x = 1245; y = 330; confidence = 0.41; MISS
scale_factor = 1.12; image = 00097; x = 1345; y = 375; confidence = 0.41; MISS
scale_factor = 1.12; image = 00097; x =   89; y = 446; confidence = 0.10; MISS
scale_factor = 1.12; image = 00097; x =  188; y = 445; confidence = 0.32; MISS
scale_factor = 1.12; image = 00097; x =  278; y = 488; confidence = 0.42; MISS
scale_factor = 1.12; image = 00093; x =  362; y = 392; confidence = 0.50; HIT ***
scale_factor = 1.12; image = 00097; x =  394; y = 452; confidence = 0.39; MISS
scale_factor = 1.12; image = 00097; x =  534; y = 445; confidence = 0.22; MISS
scale_factor = 1.12; image = 00097; x =  623; y = 445; confidence = 0.30; MISS
scale_factor = 1.12; image = 00097; x =  677; y = 459; confidence = 0.12; MISS
scale_factor = 1.12; image = 00097; x =  844; y = 447; confidence = 0.34; MISS
scale_factor = 1.12; image = 00097; x =  888; y = 481; confidence = 0.12; MISS
scale_factor = 1.12; image = 00097; x =  989; y = 430; confidence = 0.31; MISS
scale_factor = 1.12; image = 00093; x = 1084; y = 423; confidence = 0.59; HIT ***
scale_factor = 1.12; image = 00097; x = 1162; y = 447; confidence = 0.05; MISS
scale_factor = 1.12; image = 00097; x = 1242; y = 449; confidence = 0.21; MISS
scale_factor = 1.12; image = 00097; x = 1308; y = 442; confidence = 0.13; MISS
scale_factor = 1.12; image = 00097; x =   31; y = 520; confidence = 0.09; MISS
scale_factor = 1.12; image = 00097; x =  128; y = 516; confidence = 0.44; MISS
scale_factor = 1.12; image = 00097; x =  278; y = 490; confidence = 0.42; MISS
scale_factor = 1.12; image = 00097; x =  377; y = 481; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  450; y = 483; confidence = 0.34; MISS
scale_factor = 1.12; image = 00097; x =  534; y = 546; confidence = 0.17; MISS
scale_factor = 1.12; image = 00097; x =  611; y = 522; confidence = 0.03; MISS
scale_factor = 1.12; image = 00097; x =  684; y = 491; confidence = 0.11; MISS
scale_factor = 1.12; image = 00097; x =  849; y = 529; confidence = 0.09; MISS
scale_factor = 1.12; image = 00097; x =  886; y = 519; confidence = 0.31; MISS
scale_factor = 1.12; image = 00097; x =  965; y = 517; confidence = 0.32; MISS
scale_factor = 1.12; image = 00097; x = 1055; y = 497; confidence = 0.11; MISS
scale_factor = 1.12; image = 00097; x = 1169; y = 526; confidence = 0.45; MISS
scale_factor = 1.12; image = 00097; x = 1244; y = 530; confidence = 0.33; MISS
scale_factor = 1.12; image = 00097; x = 1297; y = 474; confidence = 0.29; MISS
scale_factor = 1.12; image = 00097; x =   53; y = 627; confidence = 0.38; MISS
scale_factor = 1.12; image = 00097; x =  153; y = 588; confidence = 0.06; MISS
scale_factor = 1.12; image = 00097; x =  253; y = 601; confidence = 0.14; MISS
scale_factor = 1.12; image = 00097; x =  293; y = 597; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  526; y = 587; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  555; y = 567; confidence = 0.04; MISS
scale_factor = 1.12; image = 00097; x =  557; y = 569; confidence = 0.14; MISS
scale_factor = 1.12; image = 00097; x =  711; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  800; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  871; y = 542; confidence = 0.05; MISS
scale_factor = 1.12; image = 00097; x =  938; y = 560; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x = 1108; y = 556; confidence = 0.02; MISS
scale_factor = 1.12; image = 00097; x = 1112; y = 554; confidence = 0.04; MISS
scale_factor = 1.12; image = 00097; x = 1284; y = 552; confidence = 0.04; MISS
scale_factor = 1.12; image = 00097; x = 1345; y = 572; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =   86; y = 687; confidence = 0.23; MISS
scale_factor = 1.12; image = 00097; x =  177; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  266; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  355; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  444; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  533; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  622; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  711; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  800; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  937; y = 748; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  936; y = 748; confidence = 0.01; MISS
scale_factor = 1.12; image = 00097; x = 1067; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x = 1156; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x = 1245; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x = 1334; y = 624; confidence = 0.00; MISS
### Current Image = 00093; Traffic signs searched =    2; Traffic signs found =    2; Best confidence = 0.814708; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00109.ppm
scale_factor = 1.12; image = 00116; x =   84; y =  77; confidence = 0.54; MISS
scale_factor = 1.12; image = 00116; x =  154; y =  97; confidence = 0.51; MISS
scale_factor = 1.12; image = 00116; x =  305; y =  18; confidence = 0.48; MISS
scale_factor = 1.12; image = 00116; x =  400; y =  21; confidence = 0.86; MISS
scale_factor = 1.12; image = 00116; x =  464; y =  88; confidence = 0.45; MISS
scale_factor = 1.12; image = 00116; x =  489; y =  86; confidence = 0.82; MISS
scale_factor = 1.12; image = 00116; x =  590; y = 132; confidence = 0.63; MISS
scale_factor = 1.12; image = 00116; x =  672; y = 115; confidence = 0.36; MISS
scale_factor = 1.12; image = 00116; x =  781; y = 113; confidence = 0.27; MISS
scale_factor = 1.12; image = 00116; x =  904; y = 100; confidence = 0.41; MISS
scale_factor = 1.12; image = 00116; x =  956; y = 152; confidence = 0.64; MISS
scale_factor = 1.12; image = 00116; x = 1019; y =  49; confidence = 0.18; MISS
scale_factor = 1.12; image = 00116; x = 1149; y = 116; confidence = 0.45; MISS
scale_factor = 1.12; image = 00116; x = 1227; y = 133; confidence = 0.30; MISS
scale_factor = 1.12; image = 00116; x = 1269; y = 140; confidence = 0.33; MISS
scale_factor = 1.12; image = 00116; x =   93; y = 148; confidence = 0.61; MISS
scale_factor = 1.12; image = 00116; x =  188; y = 138; confidence = 0.65; MISS
scale_factor = 1.12; image = 00116; x =  227; y = 123; confidence = 0.37; MISS
scale_factor = 1.12; image = 00116; x =  375; y = 185; confidence = 0.36; MISS
scale_factor = 1.12; image = 00116; x =  456; y = 176; confidence = 0.58; MISS
scale_factor = 1.12; image = 00116; x =  525; y = 178; confidence = 0.34; MISS
scale_factor = 1.12; image = 00116; x =  633; y = 196; confidence = 0.54; MISS
scale_factor = 1.12; image = 00116; x =  676; y = 221; confidence = 0.35; MISS
scale_factor = 1.12; image = 00116; x =  831; y = 210; confidence = 0.45; MISS
scale_factor = 1.12; image = 00116; x =  914; y = 169; confidence = 0.41; MISS
scale_factor = 1.12; image = 00116; x =  979; y = 178; confidence = 0.25; MISS
scale_factor = 1.12; image = 00116; x = 1073; y = 173; confidence = 0.41; MISS
scale_factor = 1.12; image = 00116; x = 1127; y = 194; confidence = 0.41; MISS
scale_factor = 1.12; image = 00116; x = 1239; y = 154; confidence = 0.49; MISS
scale_factor = 1.12; image = 00116; x = 1292; y = 238; confidence = 0.32; MISS
scale_factor = 1.12; image = 00116; x =   48; y = 233; confidence = 0.48; MISS
scale_factor = 1.12; image = 00116; x =  192; y = 254; confidence = 0.69; MISS
scale_factor = 1.12; image = 00116; x =  193; y = 252; confidence = 0.72; MISS
scale_factor = 1.12; image = 00116; x =  326; y = 266; confidence = 0.26; MISS
scale_factor = 1.12; image = 00116; x =  488; y = 267; confidence = 0.37; MISS
scale_factor = 1.12; image = 00116; x =  487; y = 267; confidence = 0.47; MISS
scale_factor = 1.12; image = 00116; x =  656; y = 223; confidence = 0.64; MISS
scale_factor = 1.12; image = 00116; x =  719; y = 251; confidence = 0.32; MISS
scale_factor = 1.12; image = 00116; x =  781; y = 255; confidence = 0.36; MISS
scale_factor = 1.12; image = 00116; x =  899; y = 271; confidence = 0.34; MISS
scale_factor = 1.12; image = 00109; x = 1009; y = 294; confidence = 0.84; HIT ***
scale_factor = 1.12; image = 00116; x = 1080; y = 267; confidence = 0.45; MISS
scale_factor = 1.12; image = 00116; x = 1162; y = 267; confidence = 0.36; MISS
scale_factor = 1.12; image = 00116; x = 1253; y = 264; confidence = 0.03; MISS
scale_factor = 1.12; image = 00116; x = 1344; y = 345; confidence = 0.44; MISS
scale_factor = 1.12; image = 00116; x =   21; y = 322; confidence = 0.19; MISS
scale_factor = 1.12; image = 00116; x =  254; y = 326; confidence = 0.32; MISS
scale_factor = 1.12; image = 00116; x =  271; y = 387; confidence = 0.36; MISS
scale_factor = 1.12; image = 00116; x =  388; y = 365; confidence = 0.44; MISS
scale_factor = 1.12; image = 00116; x =  433; y = 360; confidence = 0.30; MISS
scale_factor = 1.12; image = 00116; x =  457; y = 350; confidence = 0.02; MISS
scale_factor = 1.12; image = 00116; x =  591; y = 350; confidence = 0.20; MISS
scale_factor = 1.12; image = 00116; x =  706; y = 322; confidence = 0.48; MISS
scale_factor = 1.12; image = 00116; x =  768; y = 348; confidence = 0.32; MISS
scale_factor = 1.12; image = 00116; x =  896; y = 357; confidence = 0.29; MISS
scale_factor = 1.12; image = 00109; x = 1002; y = 296; confidence = 0.91; HIT ***
scale_factor = 1.12; image = 00116; x = 1071; y = 356; confidence = 0.26; MISS
scale_factor = 1.12; image = 00116; x = 1155; y = 359; confidence = 0.21; MISS
scale_factor = 1.12; image = 00116; x = 1262; y = 373; confidence = 0.42; MISS
scale_factor = 1.12; image = 00116; x = 1326; y = 356; confidence = 0.29; MISS
scale_factor = 1.12; image = 00116; x =   88; y = 357; confidence = 0.00; MISS
