# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 24
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00023.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00094.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00113.ppm
delta = 140
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00114.ppm
scale_factor = 0.50; image = 00121; x =   97; y = 271; confidence = 0.74; MISS
scale_factor = 0.50; image = 00121; x =  541; y = 417; confidence = 0.36; MISS
scale_factor = 0.50; image = 00121; x =  713; y = 419; confidence = 0.00; MISS
scale_factor = 0.50; image = 00121; x =  801; y = 427; confidence = 0.16; MISS
scale_factor = 0.50; image = 00121; x =  999; y = 481; confidence = 0.04; MISS
scale_factor = 0.50; image = 00114; x = 1201; y = 343; confidence = 0.94; HIT ***
scale_factor = 0.50; image = 00114; x = 1203; y = 341; confidence = 0.92; HIT ***
scale_factor = 0.50; image = 00121; x =   75; y = 587; confidence = 0.70; MISS
scale_factor = 0.50; image = 00121; x =  233; y = 589; confidence = 0.37; MISS
scale_factor = 0.50; image = 00121; x =  395; y = 513; confidence = 0.22; MISS
scale_factor = 0.50; image = 00121; x =  579; y = 445; confidence = 0.09; MISS
scale_factor = 0.50; image = 00121; x =  693; y = 517; confidence = 0.20; MISS
scale_factor = 0.50; image = 00121; x =  823; y = 497; confidence = 0.04; MISS
scale_factor = 0.50; image = 00121; x =  997; y = 479; confidence = 0.04; MISS
scale_factor = 0.50; image = 00121; x = 1159; y = 483; confidence = 0.24; MISS
scale_factor = 0.50; image = 00121; x = 1345; y = 493; confidence = 0.28; MISS
scale_factor = 0.50; image = 00121; x =   79; y = 585; confidence = 0.64; MISS
scale_factor = 0.50; image = 00121; x =  233; y = 589; confidence = 0.36; MISS
scale_factor = 0.50; image = 00121; x =  311; y = 547; confidence = 0.24; MISS
scale_factor = 0.50; image = 00121; x =  631; y = 519; confidence = 0.01; MISS
scale_factor = 0.50; image = 00121; x =  761; y = 523; confidence = 0.05; MISS
scale_factor = 0.50; image = 00121; x =  879; y = 511; confidence = 0.00; MISS
scale_factor = 0.50; image = 00121; x = 1001; y = 507; confidence = 0.12; MISS
scale_factor = 0.50; image = 00121; x = 1159; y = 511; confidence = 0.14; MISS
scale_factor = 0.50; image = 00121; x = 1197; y = 511; confidence = 0.05; MISS
### Current Image = 00114; Traffic signs searched =    1; Traffic signs found =    1; Best confidence = 0.938717; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00134.ppm
scale_factor = 0.50; image = 00146; x =  151; y = 131; confidence = 0.66; MISS
scale_factor = 0.50; image = 00146; x =  163; y = 131; confidence = 0.68; MISS
scale_factor = 0.50; image = 00146; x =  431; y = 135; confidence = 0.52; MISS
scale_factor = 0.50; image = 00146; x =  559; y = 155; confidence = 0.17; MISS
scale_factor = 0.50; image = 00146; x =  661; y = 159; confidence = 0.51; MISS
scale_factor = 0.50; image = 00146; x =  891; y = 115; confidence = 0.51; MISS
scale_factor = 0.50; image = 00146; x =  947; y = 159; confidence = 0.44; MISS
scale_factor = 0.50; image = 00146; x = 1117; y = 169; confidence = 0.36; MISS
scale_factor = 0.50; image = 00146; x = 1327; y = 107; confidence = 0.43; MISS
scale_factor = 0.50; image = 00146; x =  157; y = 267; confidence = 0.49; MISS
scale_factor = 0.50; image = 00146; x =  283; y = 283; confidence = 0.45; MISS
scale_factor = 0.50; image = 00146; x =  389; y = 283; confidence = 0.22; MISS
scale_factor = 0.50; image = 00146; x =  559; y = 279; confidence = 0.38; MISS
scale_factor = 0.50; image = 00146; x =  615; y = 285; confidence = 0.56; MISS
scale_factor = 0.50; image = 00146; x =  851; y = 295; confidence = 0.44; MISS
scale_factor = 0.50; image = 00146; x =  989; y = 225; confidence = 0.65; MISS
scale_factor = 0.50; image = 00146; x = 1241; y = 335; confidence = 0.58; MISS
scale_factor = 0.50; image = 00146; x = 1239; y = 333; confidence = 0.60; MISS
scale_factor = 0.50; image = 00146; x =  155; y = 397; confidence = 0.51; MISS
scale_factor = 0.50; image = 00146; x =  273; y = 437; confidence = 0.28; MISS
scale_factor = 0.50; image = 00146; x =  431; y = 483; confidence = 0.55; MISS
scale_factor = 0.50; image = 00146; x =  583; y = 419; confidence = 0.07; MISS
scale_factor = 0.50; image = 00146; x =  707; y = 445; confidence = 0.01; MISS
scale_factor = 0.50; image = 00146; x =  837; y = 433; confidence = 0.41; MISS
scale_factor = 0.50; image = 00134; x = 1037; y = 463; confidence = 0.91; HIT ***
scale_factor = 0.50; image = 00134; x = 1039; y = 459; confidence = 0.91; HIT ***
scale_factor = 0.50; image = 00146; x = 1259; y = 423; confidence = 0.06; MISS
scale_factor = 0.50; image = 00146; x =  169; y = 545; confidence = 0.41; MISS
scale_factor = 0.50; image = 00146; x =  265; y = 531; confidence = 0.19; MISS
scale_factor = 0.50; image = 00146; x =  485; y = 559; confidence = 0.40; MISS
scale_factor = 0.50; image = 00146; x =  565; y = 531; confidence = 0.09; MISS
scale_factor = 0.50; image = 00146; x =  813; y = 483; confidence = 0.51; MISS
scale_factor = 0.50; image = 00146; x =  939; y = 617; confidence = 0.50; MISS
scale_factor = 0.50; image = 00134; x = 1041; y = 461; confidence = 0.94; HIT ***
scale_factor = 0.50; image = 00134; x = 1039; y = 457; confidence = 0.90; HIT ***
scale_factor = 0.50; image = 00146; x = 1231; y = 579; confidence = 0.54; MISS
scale_factor = 0.50; image = 00146; x =  139; y = 709; confidence = 0.12; MISS
scale_factor = 0.50; image = 00146; x =  265; y = 655; confidence = 0.29; MISS
scale_factor = 0.50; image = 00146; x =  489; y = 635; confidence = 0.43; MISS
scale_factor = 0.50; image = 00146; x =  611; y = 777; confidence = 0.38; MISS
scale_factor = 0.50; image = 00146; x =  721; y = 709; confidence = 0.44; MISS
scale_factor = 0.50; image = 00146; x =  835; y = 687; confidence = 0.16; MISS
scale_factor = 0.50; image = 00146; x =  939; y = 615; confidence = 0.48; MISS
scale_factor = 0.50; image = 00146; x = 1235; y = 579; confidence = 0.54; MISS
scale_factor = 0.50; image = 00146; x = 1231; y = 577; confidence = 0.55; MISS
### Current Image = 00134; Traffic signs searched =    2; Traffic signs found =    2; Best confidence = 0.943764; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00138.ppm
scale_factor = 0.50; image = 00148; x =  151; y = 155; confidence = 0.47; MISS
scale_factor = 0.50; image = 00148; x =  293; y =  63; confidence = 0.50; MISS
scale_factor = 0.50; image = 00148; x =  389; y =  65; confidence = 0.64; MISS
scale_factor = 0.50; image = 00148; x =  613; y =  99; confidence = 0.46; MISS
scale_factor = 0.50; image = 00148; x =  707; y = 139; confidence = 0.27; MISS
scale_factor = 0.50; image = 00148; x =  859; y = 139; confidence = 0.17; MISS
scale_factor = 0.50; image = 00148; x =  957; y = 149; confidence = 0.29; MISS
scale_factor = 0.50; image = 00148; x = 1125; y = 147; confidence = 0.37; MISS
scale_factor = 0.50; image = 00148; x = 1343; y = 133; confidence = 0.43; MISS
scale_factor = 0.50; image = 00148; x =  165; y = 441; confidence = 0.58; MISS
scale_factor = 0.50; image = 00148; x =  381; y = 333; confidence = 0.49; MISS
scale_factor = 0.50; image = 00148; x =  499; y = 275; confidence = 0.60; MISS
scale_factor = 0.50; image = 00148; x =  497; y = 279; confidence = 0.61; MISS
scale_factor = 0.50; image = 00148; x =  733; y = 187; confidence = 0.47; MISS
scale_factor = 0.50; image = 00148; x =  807; y = 289; confidence = 0.43; MISS
scale_factor = 0.50; image = 00148; x =  975; y = 291; confidence = 0.31; MISS
scale_factor = 0.50; image = 00148; x = 1199; y = 291; confidence = 0.54; MISS
scale_factor = 0.50; image = 00148; x = 1271; y = 299; confidence = 0.64; MISS
scale_factor = 0.50; image = 00148; x =  171; y = 437; confidence = 0.55; MISS
scale_factor = 0.50; image = 00148; x =  251; y = 439; confidence = 0.32; MISS
scale_factor = 0.50; image = 00148; x =  501; y = 275; confidence = 0.62; MISS
scale_factor = 0.50; image = 00148; x =  537; y = 397; confidence = 0.48; MISS
scale_factor = 0.50; image = 00148; x =  691; y = 425; confidence = 0.22; MISS
scale_factor = 0.50; image = 00148; x =  839; y = 377; confidence = 0.45; MISS
scale_factor = 0.50; image = 00148; x =  967; y = 453; confidence = 0.53; MISS
scale_factor = 0.50; image = 00148; x = 1095; y = 491; confidence = 0.49; MISS
scale_factor = 0.50; image = 00148; x = 1285; y = 463; confidence = 0.57; MISS
scale_factor = 0.50; image = 00148; x =  159; y = 441; confidence = 0.63; MISS
scale_factor = 0.50; image = 00148; x =  163; y = 435; confidence = 0.62; MISS
scale_factor = 0.50; image = 00148; x =  297; y = 449; confidence = 0.22; MISS
scale_factor = 0.50; image = 00148; x =  527; y = 393; confidence = 0.46; MISS
scale_factor = 0.50; image = 00148; x =  857; y = 547; confidence = 0.49; MISS
scale_factor = 0.50; image = 00148; x =  855; y = 555; confidence = 0.55; MISS
scale_factor = 0.50; image = 00148; x =  951; y = 593; confidence = 0.46; MISS
scale_factor = 0.50; image = 00148; x = 1105; y = 539; confidence = 0.33; MISS
scale_factor = 0.50; image = 00148; x = 1285; y = 459; confidence = 0.47; MISS
scale_factor = 0.50; image = 00138; x =  179; y = 599; confidence = 0.36; HIT ***
scale_factor = 0.50; image = 00138; x =  177; y = 599; confidence = 0.34; HIT ***
scale_factor = 0.50; image = 00148; x =  417; y = 501; confidence = 0.00; MISS
scale_factor = 0.50; image = 00148; x =  557; y = 501; confidence = 0.00; MISS
scale_factor = 0.50; image = 00148; x =  761; y = 719; confidence = 0.50; MISS
scale_factor = 0.50; image = 00148; x =  761; y = 719; confidence = 0.51; MISS
scale_factor = 0.50; image = 00148; x =  985; y = 677; confidence = 0.39; MISS
scale_factor = 0.50; image = 00148; x = 1083; y = 703; confidence = 0.28; MISS
scale_factor = 0.50; image = 00148; x = 1251; y = 727; confidence = 0.43; MISS
### Current Image = 00138; Traffic signs searched =    3; Traffic signs found =    3; Best confidence = 0.356885; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00224.ppm
scale_factor = 0.50; image = 00231; x =  139; y = 139; confidence = 0.47; MISS
scale_factor = 0.50; image = 00231; x =  205; y = 161; confidence = 0.36; MISS
scale_factor = 0.50; image = 00231; x =  403; y = 151; confidence = 0.29; MISS
scale_factor = 0.50; image = 00231; x =  531; y = 103; confidence = 0.61; MISS
scale_factor = 0.50; image = 00231; x =  639; y = 149; confidence = 0.56; MISS
scale_factor = 0.50; image = 00231; x =  855; y = 121; confidence = 0.42; MISS
scale_factor = 0.50; image = 00231; x =  921; y = 253; confidence = 0.61; MISS
scale_factor = 0.50; image = 00231; x = 1149; y = 161; confidence = 0.42; MISS
scale_factor = 0.50; image = 00231; x = 1277; y =  91; confidence = 0.55; MISS
scale_factor = 0.50; image = 00231; x =  189; y = 273; confidence = 0.53; MISS
scale_factor = 0.50; image = 00231; x =  235; y = 293; confidence = 0.52; MISS
scale_factor = 0.50; image = 00231; x =  545; y = 309; confidence = 0.56; MISS
scale_factor = 0.50; image = 00231; x =  547; y = 297; confidence = 0.51; MISS
scale_factor = 0.50; image = 00231; x =  743; y = 311; confidence = 0.51; MISS
scale_factor = 0.50; image = 00231; x =  815; y = 259; confidence = 0.38; MISS
scale_factor = 0.50; image = 00231; x =  921; y = 251; confidence = 0.63; MISS
scale_factor = 0.50; image = 00231; x = 1169; y = 285; confidence = 0.28; MISS
scale_factor = 0.50; image = 00231; x = 1311; y = 383; confidence = 0.60; MISS
scale_factor = 0.50; image = 00231; x =  167; y = 475; confidence = 0.30; MISS
scale_factor = 0.50; image = 00231; x =  219; y = 411; confidence = 0.43; MISS
scale_factor = 0.50; image = 00231; x =  443; y = 455; confidence = 0.35; MISS
scale_factor = 0.50; image = 00231; x =  553; y = 355; confidence = 0.30; MISS
scale_factor = 0.50; image = 00231; x =  825; y = 377; confidence = 0.68; MISS
scale_factor = 0.50; image = 00231; x =  821; y = 377; confidence = 0.65; MISS
scale_factor = 0.50; image = 00224; x =  947; y = 483; confidence = 0.94; HIT ***
scale_factor = 0.50; image = 00231; x = 1159; y = 419; confidence = 0.52; MISS
scale_factor = 0.50; image = 00231; x = 1263; y = 409; confidence = 0.24; MISS
scale_factor = 0.50; image = 00231; x =  169; y = 535; confidence = 0.47; MISS
scale_factor = 0.50; image = 00231; x =  245; y = 573; confidence = 0.48; MISS
scale_factor = 0.50; image = 00231; x =  403; y = 563; confidence = 0.52; MISS
scale_factor = 0.50; image = 00231; x =  585; y = 541; confidence = 0.46; MISS
scale_factor = 0.50; image = 00231; x =  785; y = 435; confidence = 0.59; MISS
scale_factor = 0.50; image = 00224; x =  959; y = 493; confidence = 0.83; HIT ***
scale_factor = 0.50; image = 00224; x =  997; y = 493; confidence = 0.86; HIT ***
scale_factor = 0.50; image = 00224; x =  949; y = 483; confidence = 0.92; HIT ***
scale_factor = 0.50; image = 00231; x = 1229; y = 573; confidence = 0.38; MISS
scale_factor = 0.50; image = 00231; x =  165; y = 707; confidence = 0.50; MISS
scale_factor = 0.50; image = 00231; x =  299; y = 703; confidence = 0.50; MISS
scale_factor = 0.50; image = 00231; x =  393; y = 615; confidence = 0.52; MISS
scale_factor = 0.50; image = 00231; x =  393; y = 615; confidence = 0.51; MISS
scale_factor = 0.50; image = 00231; x =  651; y = 531; confidence = 0.28; MISS
scale_factor = 0.50; image = 00224; x =  955; y = 557; confidence = 0.67; HIT ***
scale_factor = 0.50; image = 00224; x =  953; y = 557; confidence = 0.62; HIT ***
scale_factor = 0.50; image = 00231; x = 1113; y = 703; confidence = 0.53; MISS
scale_factor = 0.50; image = 00231; x = 1279; y = 649; confidence = 0.52; MISS
### Current Image = 00224; Traffic signs searched =    4; Traffic signs found =    4; Best confidence = 0.856525; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00225.ppm
scale_factor = 0.50; image = 00232; x =  133; y = 211; confidence = 0.56; MISS
scale_factor = 0.50; image = 00232; x =  257; y = 139; confidence = 0.41; MISS
scale_factor = 0.50; image = 00232; x =  425; y = 149; confidence = 0.36; MISS
scale_factor = 0.50; image = 00232; x =  463; y =  45; confidence = 0.44; MISS
scale_factor = 0.50; image = 00232; x =  741; y = 115; confidence = 0.65; MISS
scale_factor = 0.50; image = 00232; x =  737; y = 113; confidence = 0.59; MISS
scale_factor = 0.50; image = 00232; x = 1019; y = 163; confidence = 0.41; MISS
scale_factor = 0.50; image = 00232; x = 1015; y = 165; confidence = 0.41; MISS
scale_factor = 0.50; image = 00232; x = 1319; y = 149; confidence = 0.38; MISS
scale_factor = 0.50; image = 00232; x =  183; y = 209; confidence = 0.62; MISS
scale_factor = 0.50; image = 00232; x =  277; y = 257; confidence = 0.52; MISS
scale_factor = 0.50; image = 00232; x =  357; y = 259; confidence = 0.47; MISS
scale_factor = 0.50; image = 00232; x =  563; y = 293; confidence = 0.33; MISS
scale_factor = 0.50; image = 00232; x =  693; y = 223; confidence = 0.44; MISS
scale_factor = 0.50; image = 00232; x =  819; y = 235; confidence = 0.45; MISS
scale_factor = 0.50; image = 00232; x =  995; y = 265; confidence = 0.49; MISS
scale_factor = 0.50; image = 00232; x = 1125; y = 273; confidence = 0.45; MISS
scale_factor = 0.50; image = 00232; x = 1259; y = 279; confidence = 0.16; MISS
scale_factor = 0.50; image = 00232; x =  123; y = 415; confidence = 0.43; MISS
scale_factor = 0.50; image = 00232; x =  251; y = 439; confidence = 0.44; MISS
scale_factor = 0.50; image = 00232; x =  425; y = 425; confidence = 0.42; MISS
scale_factor = 0.50; image = 00232; x =  557; y = 425; confidence = 0.11; MISS
scale_factor = 0.50; image = 00225; x =  877; y = 503; confidence = 0.85; HIT ***
scale_factor = 0.50; image = 00225; x =  887; y = 505; confidence = 0.95; HIT ***
scale_factor = 0.50; image = 00225; x =  893; y = 499; confidence = 0.95; HIT ***
scale_factor = 0.50; image = 00232; x = 1135; y = 445; confidence = 0.17; MISS
scale_factor = 0.50; image = 00232; x = 1247; y = 425; confidence = 0.21; MISS
scale_factor = 0.50; image = 00232; x =  241; y = 521; confidence = 0.53; MISS
scale_factor = 0.50; image = 00232; x =  237; y = 521; confidence = 0.49; MISS
scale_factor = 0.50; image = 00232; x =  393; y = 525; confidence = 0.45; MISS
scale_factor = 0.50; image = 00232; x =  567; y = 567; confidence = 0.33; MISS
scale_factor = 0.50; image = 00232; x =  715; y = 557; confidence = 0.45; MISS
scale_factor = 0.50; image = 00225; x =  877; y = 505; confidence = 0.86; HIT ***
scale_factor = 0.50; image = 00225; x =  895; y = 495; confidence = 0.90; HIT ***
scale_factor = 0.50; image = 00232; x = 1125; y = 571; confidence = 0.42; MISS
scale_factor = 0.50; image = 00232; x = 1271; y = 517; confidence = 0.42; MISS
scale_factor = 0.50; image = 00232; x =   69; y = 567; confidence = 0.32; MISS
scale_factor = 0.50; image = 00232; x =  245; y = 521; confidence = 0.53; MISS
scale_factor = 0.50; image = 00232; x =  373; y = 645; confidence = 0.44; MISS
scale_factor = 0.50; image = 00232; x =  549; y = 519; confidence = 0.29; MISS
scale_factor = 0.50; image = 00232; x =  831; y = 661; confidence = 0.38; MISS
scale_factor = 0.50; image = 00232; x =  889; y = 655; confidence = 0.45; MISS
scale_factor = 0.50; image = 00232; x =  997; y = 663; confidence = 0.53; MISS
scale_factor = 0.50; image = 00232; x = 1149; y = 627; confidence = 0.62; MISS
scale_factor = 0.50; image = 00232; x = 1295; y = 695; confidence = 0.52; MISS
### Current Image = 00225; Traffic signs searched =    5; Traffic signs found =    5; Best confidence = 0.947368; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00226.ppm
scale_factor = 0.50; image = 00232; x =  157; y = 131; confidence = 0.68; MISS
scale_factor = 0.50; image = 00232; x =  217; y = 143; confidence = 0.55; MISS
scale_factor = 0.50; image = 00232; x =  475; y = 181; confidence = 0.59; MISS
scale_factor = 0.50; image = 00232; x =  599; y = 107; confidence = 0.68; MISS
scale_factor = 0.50; image = 00232; x =  699; y = 153; confidence = 0.40; MISS
scale_factor = 0.50; image = 00232; x =  843; y = 165; confidence = 0.15; MISS
scale_factor = 0.50; image = 00232; x =  979; y = 159; confidence = 0.45; MISS
scale_factor = 0.50; image = 00232; x = 1131; y = 177; confidence = 0.51; MISS
scale_factor = 0.50; image = 00232; x = 1273; y = 163; confidence = 0.46; MISS
scale_factor = 0.50; image = 00232; x =  147; y = 271; confidence = 0.25; MISS
scale_factor = 0.50; image = 00232; x =  239; y = 195; confidence = 0.60; MISS
scale_factor = 0.50; image = 00232; x =  393; y = 285; confidence = 0.48; MISS
scale_factor = 0.50; image = 00232; x =  541; y = 349; confidence = 0.48; MISS
scale_factor = 0.50; image = 00232; x =  683; y = 279; confidence = 0.51; MISS
scale_factor = 0.50; image = 00232; x =  933; y = 305; confidence = 0.79; MISS
scale_factor = 0.50; image = 00232; x =  929; y = 303; confidence = 0.74; MISS
scale_factor = 0.50; image = 00232; x = 1147; y = 299; confidence = 0.52; MISS
scale_factor = 0.50; image = 00232; x = 1249; y = 303; confidence = 0.44; MISS
scale_factor = 0.50; image = 00232; x =   91; y = 433; confidence = 0.61; MISS
scale_factor = 0.50; image = 00232; x =  279; y = 415; confidence = 0.18; MISS
scale_factor = 0.50; image = 00232; x =  431; y = 473; confidence = 0.38; MISS
scale_factor = 0.50; image = 00232; x =  541; y = 403; confidence = 0.42; MISS
scale_factor = 0.50; image = 00232; x =  667; y = 491; confidence = 0.37; MISS
scale_factor = 0.50; image = 00232; x =  931; y = 307; confidence = 0.77; MISS
scale_factor = 0.50; image = 00232; x =  933; y = 309; confidence = 0.74; MISS
scale_factor = 0.50; image = 00226; x = 1189; y = 545; confidence = 1.00; HIT ***
scale_factor = 0.50; image = 00226; x = 1191; y = 549; confidence = 0.99; HIT ***
scale_factor = 0.50; image = 00232; x =  235; y = 595; confidence = 0.75; MISS
scale_factor = 0.50; image = 00232; x =  303; y = 545; confidence = 0.55; MISS
scale_factor = 0.50; image = 00232; x =  305; y = 545; confidence = 0.55; MISS
scale_factor = 0.50; image = 00232; x =  593; y = 583; confidence = 0.51; MISS
scale_factor = 0.50; image = 00232; x =  699; y = 559; confidence = 0.00; MISS
scale_factor = 0.50; image = 00232; x =  865; y = 535; confidence = 0.54; MISS
scale_factor = 0.50; image = 00232; x =  945; y = 583; confidence = 0.59; MISS
scale_factor = 0.50; image = 00226; x = 1185; y = 543; confidence = 0.99; HIT ***
scale_factor = 0.50; image = 00226; x = 1193; y = 543; confidence = 0.99; HIT ***
scale_factor = 0.50; image = 00232; x =  233; y = 593; confidence = 0.74; MISS
scale_factor = 0.50; image = 00232; x =  279; y = 699; confidence = 0.18; MISS
scale_factor = 0.50; image = 00232; x =  427; y = 649; confidence = 0.45; MISS
scale_factor = 0.50; image = 00232; x =  621; y = 703; confidence = 0.61; MISS
scale_factor = 0.50; image = 00232; x =  717; y = 713; confidence = 0.56; MISS
scale_factor = 0.50; image = 00232; x =  887; y = 623; confidence = 0.52; MISS
scale_factor = 0.50; image = 00232; x =  983; y = 693; confidence = 0.35; MISS
scale_factor = 0.50; image = 00226; x = 1183; y = 541; confidence = 0.99; HIT ***
scale_factor = 0.50; image = 00226; x = 1183; y = 541; confidence = 0.99; HIT ***
### Current Image = 00226; Traffic signs searched =    6; Traffic signs found =    6; Best confidence = 1.000000; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00228.ppm
scale_factor = 0.50; image = 00233; x =   89; y =  87; confidence = 0.33; MISS
scale_factor = 0.50; image = 00233; x =  311; y = 133; confidence = 0.65; MISS
scale_factor = 0.50; image = 00233; x =  435; y = 187; confidence = 0.59; MISS
scale_factor = 0.50; image = 00233; x =  553; y = 199; confidence = 0.55; MISS
scale_factor = 0.50; image = 00233; x =  809; y = 247; confidence = 0.75; MISS
scale_factor = 0.50; image = 00233; x =  805; y = 249; confidence = 0.73; MISS
scale_factor = 0.50; image = 00233; x =  995; y = 139; confidence = 0.50; MISS
scale_factor = 0.50; image = 00233; x = 1047; y = 157; confidence = 0.73; MISS
scale_factor = 0.50; image = 00233; x = 1229; y =  33; confidence = 0.58; MISS
scale_factor = 0.50; image = 00233; x =  117; y = 305; confidence = 0.43; MISS
scale_factor = 0.50; image = 00233; x =  229; y = 463; confidence = 0.24; MISS
scale_factor = 0.50; image = 00233; x =  327; y = 123; confidence = 0.58; MISS
scale_factor = 0.50; image = 00233; x =  551; y = 265; confidence = 0.43; MISS
scale_factor = 0.50; image = 00233; x =  803; y = 245; confidence = 0.72; MISS
scale_factor = 0.50; image = 00233; x =  803; y = 245; confidence = 0.72; MISS
scale_factor = 0.50; image = 00233; x =  803; y = 241; confidence = 0.70; MISS
scale_factor = 0.50; image = 00233; x = 1123; y = 293; confidence = 0.36; MISS
scale_factor = 0.50; image = 00233; x = 1247; y = 285; confidence = 0.15; MISS
scale_factor = 0.50; image = 00233; x =  113; y = 419; confidence = 0.17; MISS
scale_factor = 0.50; image = 00233; x =  325; y = 375; confidence = 0.42; MISS
scale_factor = 0.50; image = 00233; x =  363; y = 411; confidence = 0.47; MISS
