.wp_visual_search
# Please wait, building network...
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
Locale set to C.
Imagem Treinada = 1
image = 00002; scale_factor =  0.98; confidence =  0.87; x = 165; y = 156; jaccard =  0.92; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00057; scale_factor =  0.99; confidence =  0.51; x = 173; y = 133; jaccard =  0.78; precision =  0.982; recall =  0.982; f =  0.982, HIT
image = 00058; scale_factor =  0.95; confidence =  0.72; x = 171; y = 146; jaccard =  0.79; precision =  0.983; recall =  0.983; f =  0.983, HIT
image = 00059; scale_factor =  0.95; confidence =  0.76; x = 170; y = 154; jaccard =  0.77; precision =  0.983; recall =  0.983; f =  0.983, HIT
image = 00060; scale_factor =  0.95; confidence =  0.78; x = 169; y = 159; jaccard =  0.79; precision =  0.983; recall =  0.983; f =  0.983, HIT
image = 00061; scale_factor =  0.95; confidence =  0.80; x = 166; y = 161; jaccard =  0.79; precision =  0.984; recall =  0.984; f =  0.984, HIT
image = 00062; scale_factor =  0.94; confidence =  0.77; x = 165; y = 160; jaccard =  0.92; precision =  0.984; recall =  0.984; f =  0.984, HIT
image = 00063; scale_factor =  0.94; confidence =  0.74; x = 163; y = 153; jaccard =  0.92; precision =  0.984; recall =  0.984; f =  0.984, HIT
image = 00064; scale_factor =  0.93; confidence =  0.65; x = 162; y = 142; jaccard =  0.92; precision =  0.984; recall =  0.984; f =  0.984, HIT
image = 00065; scale_factor =  0.93; confidence =  0.75; x = 161; y = 129; jaccard =  0.84; precision =  0.985; recall =  0.985; f =  0.985, HIT
image = 00066; scale_factor =  0.91; confidence =  0.54; x = 160; y = 127; jaccard =  0.80; precision =  0.985; recall =  0.985; f =  0.985, HIT
image = 00067; scale_factor =  0.90; confidence =  0.64; x = 153; y = 143; jaccard =  0.57; precision =  0.985; recall =  0.985; f =  0.985, HIT
image = 00068; scale_factor =  0.89; confidence =  0.49; x = 148; y = 165; jaccard =  0.62; precision =  0.985; recall =  0.985; f =  0.985, HIT
image = 00069; scale_factor =  0.89; confidence =  0.64; x = 146; y = 182; jaccard =  0.77; precision =  0.986; recall =  0.986; f =  0.986, HIT
image = 00070; scale_factor =  0.90; confidence =  0.72; x = 144; y = 191; jaccard =  0.79; precision =  0.986; recall =  0.986; f =  0.986, HIT
image = 00071; scale_factor =  0.89; confidence =  0.72; x = 139; y = 197; jaccard =  0.81; precision =  0.986; recall =  0.986; f =  0.986, HIT
image = 00072; scale_factor =  0.89; confidence =  0.66; x = 137; y = 194; jaccard =  0.81; precision =  0.986; recall =  0.986; f =  0.986, HIT
image = 00073; scale_factor =  0.89; confidence =  0.47; x = 133; y = 182; jaccard =  0.62; precision =  0.986; recall =  0.986; f =  0.986, HIT
Imagem Treinada = 61
image = 00074; scale_factor =  0.95; confidence =  0.79; x = -1; y = -1; jaccard =  0.00; precision =  0.973; recall =  0.973; f =  0.973, MISS ***
Imagem Treinada = 61
image = 00074; scale_factor =  0.95; confidence =  0.87; x = -1; y = -1; jaccard =  0.00; precision =  0.960; recall =  0.960; f =  0.960, MISS ***
image = 00074; scale_factor =  0.89; confidence =  0.43; x = 135; y = 166; jaccard =  0.73; precision =  0.961; recall =  0.961; f =  0.961, HIT
image = 00075; scale_factor =  0.88; confidence =  0.52; x = 136; y = 150; jaccard =  0.77; precision =  0.961; recall =  0.961; f =  0.961, HIT
image = 00076; scale_factor =  0.86; confidence =  0.77; x = 140; y = 125; jaccard =  0.81; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00077; scale_factor =  0.88; confidence =  0.55; x = 138; y = 131; jaccard =  0.90; precision =  0.962; recall =  0.962; f =  0.962, HIT
Imagem Treinada = 76
image = 00078; scale_factor =  0.86; confidence =  0.78; x = -1; y = -1; jaccard =  0.00; precision =  0.950; recall =  0.950; f =  0.950, MISS ***
image = 00078; scale_factor =  0.88; confidence =  0.57; x = 141; y = 150; jaccard =  0.85; precision =  0.951; recall =  0.951; f =  0.951, HIT
image = 00079; scale_factor =  0.86; confidence =  0.62; x = 147; y = 167; jaccard =  0.79; precision =  0.951; recall =  0.951; f =  0.951, HIT
image = 00080; scale_factor =  0.84; confidence =  0.75; x = 155; y = 181; jaccard =  0.82; precision =  0.952; recall =  0.952; f =  0.952, HIT
image = 00081; scale_factor =  0.82; confidence =  0.72; x = 161; y = 192; jaccard =  0.80; precision =  0.952; recall =  0.952; f =  0.952, HIT
image = 00082; scale_factor =  0.82; confidence =  0.72; x = 166; y = 194; jaccard =  0.84; precision =  0.953; recall =  0.953; f =  0.953, HIT
image = 00083; scale_factor =  0.82; confidence =  0.73; x = 171; y = 193; jaccard =  0.88; precision =  0.953; recall =  0.953; f =  0.953, HIT
image = 00084; scale_factor =  0.83; confidence =  0.71; x = 174; y = 189; jaccard =  0.95; precision =  0.954; recall =  0.954; f =  0.954, HIT
image = 00085; scale_factor =  0.75; confidence =  0.51; x = 178; y = 183; jaccard =  0.93; precision =  0.955; recall =  0.955; f =  0.955, HIT
image = 00086; scale_factor =  0.88; confidence =  0.79; x = 189; y = 157; jaccard =  0.88; precision =  0.955; recall =  0.955; f =  0.955, HIT
image = 00087; scale_factor =  0.88; confidence =  0.85; x = 191; y = 150; jaccard =  0.83; precision =  0.956; recall =  0.956; f =  0.956, HIT
image = 00088; scale_factor =  0.89; confidence =  0.70; x = 192; y = 156; jaccard =  0.81; precision =  0.956; recall =  0.956; f =  0.956, HIT
image = 00089; scale_factor =  0.88; confidence =  0.64; x = 192; y = 173; jaccard =  0.92; precision =  0.957; recall =  0.957; f =  0.957, HIT
image = 00090; scale_factor =  0.86; confidence =  0.75; x = 193; y = 185; jaccard =  0.88; precision =  0.957; recall =  0.957; f =  0.957, HIT
image = 00091; scale_factor =  0.87; confidence =  0.81; x = 197; y = 197; jaccard =  0.81; precision =  0.957; recall =  0.957; f =  0.957, HIT
image = 00092; scale_factor =  0.88; confidence =  0.82; x = 197; y = 198; jaccard =  0.76; precision =  0.958; recall =  0.958; f =  0.958, HIT
image = 00093; scale_factor =  0.87; confidence =  0.79; x = 197; y = 194; jaccard =  0.74; precision =  0.958; recall =  0.958; f =  0.958, HIT
image = 00094; scale_factor =  0.87; confidence =  0.68; x = 197; y = 184; jaccard =  0.78; precision =  0.959; recall =  0.959; f =  0.959, HIT
image = 00095; scale_factor =  0.87; confidence =  0.43; x = 195; y = 168; jaccard =  0.79; precision =  0.959; recall =  0.959; f =  0.959, HIT
image = 00096; scale_factor =  0.88; confidence =  0.68; x = 197; y = 133; jaccard =  0.75; precision =  0.960; recall =  0.960; f =  0.960, HIT
image = 00097; scale_factor =  0.87; confidence =  0.80; x = 194; y = 127; jaccard =  0.83; precision =  0.960; recall =  0.960; f =  0.960, HIT
image = 00098; scale_factor =  0.91; confidence =  0.59; x = 188; y = 138; jaccard =  0.89; precision =  0.960; recall =  0.960; f =  0.960, HIT
image = 00099; scale_factor =  0.92; confidence =  0.68; x = 184; y = 151; jaccard =  0.89; precision =  0.961; recall =  0.961; f =  0.961, HIT
image = 00100; scale_factor =  0.91; confidence =  0.76; x = 181; y = 161; jaccard =  0.89; precision =  0.961; recall =  0.961; f =  0.961, HIT
image = 00101; scale_factor =  0.91; confidence =  0.81; x = 179; y = 170; jaccard =  0.89; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00102; scale_factor =  0.92; confidence =  0.80; x = 178; y = 173; jaccard =  0.80; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00103; scale_factor =  0.91; confidence =  0.79; x = 175; y = 171; jaccard =  0.87; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00104; scale_factor =  0.90; confidence =  0.75; x = 172; y = 166; jaccard =  0.89; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00105; scale_factor =  0.90; confidence =  0.71; x = 171; y = 159; jaccard =  0.80; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00106; scale_factor =  0.92; confidence =  0.87; x = 170; y = 137; jaccard =  0.76; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00107; scale_factor =  0.94; confidence =  0.56; x = 163; y = 144; jaccard =  0.87; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00108; scale_factor =  0.93; confidence =  0.56; x = 156; y = 163; jaccard =  0.76; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00109; scale_factor =  0.88; confidence =  0.68; x = 153; y = 175; jaccard =  0.78; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00110; scale_factor =  0.89; confidence =  0.81; x = 151; y = 182; jaccard =  0.87; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00111; scale_factor =  0.90; confidence =  0.83; x = 147; y = 188; jaccard =  0.83; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00112; scale_factor =  0.90; confidence =  0.78; x = 143; y = 188; jaccard =  0.89; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00113; scale_factor =  0.90; confidence =  0.74; x = 139; y = 183; jaccard =  0.87; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00114; scale_factor =  0.90; confidence =  0.68; x = 137; y = 173; jaccard =  0.92; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00115; scale_factor =  0.91; confidence =  0.54; x = 135; y = 162; jaccard =  0.78; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00116; scale_factor =  0.88; confidence =  0.79; x = 141; y = 138; jaccard =  0.90; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00117; scale_factor =  0.88; confidence =  0.67; x = 138; y = 144; jaccard =  0.83; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00118; scale_factor =  0.88; confidence =  0.65; x = 137; y = 161; jaccard =  0.92; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00119; scale_factor =  0.88; confidence =  0.72; x = 138; y = 170; jaccard =  0.95; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00120; scale_factor =  0.87; confidence =  0.76; x = 142; y = 175; jaccard =  1.00; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00121; scale_factor =  0.86; confidence =  0.78; x = 148; y = 178; jaccard =  0.92; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00122; scale_factor =  0.86; confidence =  0.71; x = 149; y = 175; jaccard =  0.85; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00123; scale_factor =  0.85; confidence =  0.64; x = 151; y = 167; jaccard =  0.90; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00124; scale_factor =  0.85; confidence =  0.45; x = 155; y = 154; jaccard =  0.88; precision =  0.969; recall =  0.969; f =  0.969, HIT
Imagem Treinada = 111
image = 00125; scale_factor =  0.90; confidence =  0.83; x = -1; y = -1; jaccard =  0.00; precision =  0.961; recall =  0.961; f =  0.961, MISS ***
image = 00125; scale_factor =  0.86; confidence =  0.59; x = 164; y = 139; jaccard =  0.88; precision =  0.961; recall =  0.961; f =  0.961, HIT
image = 00126; scale_factor =  0.85; confidence =  0.75; x = 175; y = 124; jaccard =  0.81; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00127; scale_factor =  0.86; confidence =  0.42; x = 180; y = 133; jaccard =  0.95; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00128; scale_factor =  0.85; confidence =  0.56; x = 183; y = 149; jaccard =  0.88; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00129; scale_factor =  0.86; confidence =  0.74; x = 186; y = 162; jaccard =  0.92; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00130; scale_factor =  0.85; confidence =  0.79; x = 187; y = 170; jaccard =  0.90; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00131; scale_factor =  0.84; confidence =  0.79; x = 189; y = 179; jaccard =  0.90; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00132; scale_factor =  0.84; confidence =  0.78; x = 189; y = 179; jaccard =  0.83; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00133; scale_factor =  0.84; confidence =  0.78; x = 189; y = 175; jaccard =  0.75; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00134; scale_factor =  0.86; confidence =  0.70; x = 184; y = 161; jaccard =  0.92; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00135; scale_factor =  0.86; confidence =  0.59; x = 181; y = 149; jaccard =  0.79; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00136; scale_factor =  0.86; confidence =  0.79; x = 180; y = 136; jaccard =  0.95; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00137; scale_factor =  0.86; confidence =  0.55; x = 180; y = 147; jaccard =  0.79; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00138; scale_factor =  0.85; confidence =  0.71; x = 178; y = 160; jaccard =  0.76; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00139; scale_factor =  0.85; confidence =  0.76; x = 178; y = 171; jaccard =  0.80; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00140; scale_factor =  0.85; confidence =  0.80; x = 177; y = 178; jaccard =  0.85; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00141; scale_factor =  0.85; confidence =  0.80; x = 176; y = 183; jaccard =  0.85; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00142; scale_factor =  0.84; confidence =  0.79; x = 175; y = 182; jaccard =  0.90; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00143; scale_factor =  0.84; confidence =  0.76; x = 173; y = 175; jaccard =  0.88; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00144; scale_factor =  0.84; confidence =  0.73; x = 170; y = 164; jaccard =  0.85; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00145; scale_factor =  0.83; confidence =  0.66; x = 171; y = 152; jaccard =  0.80; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00146; scale_factor =  0.83; confidence =  0.70; x = 169; y = 147; jaccard =  0.84; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00147; scale_factor =  0.82; confidence =  0.50; x = 166; y = 161; jaccard =  0.80; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00148; scale_factor =  0.81; confidence =  0.60; x = 165; y = 175; jaccard =  0.81; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00149; scale_factor =  0.81; confidence =  0.75; x = 162; y = 184; jaccard =  0.82; precision =  0.967; recall =  0.967; f =  0.967, HIT
image = 00150; scale_factor =  0.81; confidence =  0.76; x = 156; y = 187; jaccard =  0.86; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00151; scale_factor =  0.82; confidence =  0.76; x = 144; y = 179; jaccard =  0.93; precision =  0.968; recall =  0.968; f =  0.968, HIT
image = 00152; scale_factor =  0.82; confidence =  0.68; x = 142; y = 169; jaccard =  0.86; precision =  0.968; recall =  0.968; f =  0.968, HIT
Imagem Treinada = 141
image = 00153; scale_factor =  0.85; confidence =  0.80; x = -1; y = -1; jaccard =  0.00; precision =  0.962; recall =  0.962; f =  0.962, MISS ***
image = 00153; scale_factor =  0.81; confidence =  0.51; x = 138; y = 152; jaccard =  0.74; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00154; scale_factor =  0.81; confidence =  0.45; x = 136; y = 136; jaccard =  0.77; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00155; scale_factor =  0.81; confidence =  0.59; x = 135; y = 122; jaccard =  0.86; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00156; scale_factor =  0.80; confidence =  0.68; x = 136; y = 116; jaccard =  0.84; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00157; scale_factor =  0.79; confidence =  0.50; x = 138; y = 126; jaccard =  0.72; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00158; scale_factor =  0.78; confidence =  0.68; x = 137; y = 139; jaccard =  0.79; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00159; scale_factor =  0.77; confidence =  0.69; x = 141; y = 146; jaccard =  0.81; precision =  0.963; recall =  0.963; f =  0.963, HIT
image = 00160; scale_factor =  0.77; confidence =  0.76; x = 145; y = 150; jaccard =  0.83; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00161; scale_factor =  0.78; confidence =  0.76; x = 154; y = 150; jaccard =  0.72; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00162; scale_factor =  0.77; confidence =  0.69; x = 161; y = 145; jaccard =  0.79; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00163; scale_factor =  0.77; confidence =  0.47; x = 166; y = 134; jaccard =  0.79; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00164; scale_factor =  0.85; confidence =  0.62; x = 174; y = 121; jaccard =  0.97; precision =  0.964; recall =  0.964; f =  0.964, HIT
image = 00165; scale_factor =  0.85; confidence =  0.75; x = 178; y = 107; jaccard =  0.95; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00166; scale_factor =  0.85; confidence =  0.61; x = 187; y = 106; jaccard =  0.95; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00167; scale_factor =  0.84; confidence =  0.63; x = 191; y = 122; jaccard =  0.95; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00168; scale_factor =  0.81; confidence =  0.72; x = 194; y = 136; jaccard =  0.90; precision =  0.965; recall =  0.965; f =  0.965, HIT
image = 00169; scale_factor =  0.81; confidence =  0.78; x = 199; y = 145; jaccard =  0.88; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00170; scale_factor =  0.81; confidence =  0.84; x = 205; y = 151; jaccard =  0.83; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00171; scale_factor =  0.81; confidence =  0.85; x = 209; y = 154; jaccard =  0.83; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00172; scale_factor =  0.81; confidence =  0.76; x = 210; y = 150; jaccard =  0.79; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00173; scale_factor =  0.81; confidence =  0.75; x = 207; y = 141; jaccard =  0.80; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00174; scale_factor =  0.81; confidence =  0.66; x = 204; y = 129; jaccard =  0.86; precision =  0.966; recall =  0.966; f =  0.966, HIT
image = 00175; scale_factor =  0.85; confidence =  0.81; x = 198; y = 118; jaccard =  0.88; precision =  0.967; recall =  0.967; f =  0.967, HIT
Imagem Treinada = 171
image = 00176; scale_factor =  0.81; confidence =  0.82; x = -1; y = -1; jaccard =  0.00; precision =  0.961; recall =  0.961; f =  0.961, MISS ***
image = 00176; scale_factor =  0.86; confidence =  0.53; x = 181; y = 123; jaccard =  0.83; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00177; scale_factor =  0.86; confidence =  0.54; x = 175; y = 144; jaccard =  0.83; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00178; scale_factor =  0.85; confidence =  0.68; x = 165; y = 164; jaccard =  0.86; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00179; scale_factor =  0.84; confidence =  0.86; x = 162; y = 178; jaccard =  0.84; precision =  0.962; recall =  0.962; f =  0.962, HIT
image = 00180; scale_factor =  0.85; confidence =  0.89; x = 158; y = 186; jaccard =  0.83; precision =  0.962; recall =  0.962; f =  0.962, HIT
