# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 55
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00007.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00007.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00026.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00093.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00107.ppm
delta = 100
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00111.ppm
scale_factor = 1.00; image = 00117; x =  101; y = 101; confidence = 0.37; MISS
scale_factor = 1.00; image = 00117; x =  799; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  958; y = 593; confidence = 0.47; MISS
scale_factor = 1.00; image = 00117; x =  990; y = 587; confidence = 0.39; MISS
scale_factor = 1.00; image = 00117; x = 1100; y = 600; confidence = 0.45; MISS
scale_factor = 1.00; image = 00117; x = 1178; y = 562; confidence = 0.64; MISS
scale_factor = 1.00; image = 00117; x = 1308; y = 590; confidence = 0.55; MISS
scale_factor = 1.00; image = 00117; x =   99; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  199; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  299; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  399; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  499; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  599; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  699; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  799; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  929; y = 647; confidence = 0.42; MISS
scale_factor = 1.00; image = 00117; x =  996; y = 711; confidence = 0.38; MISS
scale_factor = 1.00; image = 00117; x = 1060; y = 724; confidence = 0.50; MISS
scale_factor = 1.00; image = 00117; x = 1194; y = 685; confidence = 0.63; MISS
scale_factor = 1.00; image = 00117; x = 1305; y = 697; confidence = 0.39; MISS
### Current Image = 00111; Traffic signs searched =    1; Traffic signs found =    1; Best confidence = 0.881038; Percentage found = 100.00; HIT
### Current Image = 00111; Traffic signs searched =    2; Traffic signs found =    2; Best confidence = 0.916366; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00112.ppm
scale_factor = 1.00; image = 00119; x =   95; y = 105; confidence = 0.16; MISS
scale_factor = 1.00; image = 00119; x =  224; y =  18; confidence = 0.64; MISS
scale_factor = 1.00; image = 00119; x =  316; y =  89; confidence = 0.57; MISS
scale_factor = 1.00; image = 00119; x =  371; y =  56; confidence = 0.50; MISS
scale_factor = 1.00; image = 00119; x =  488; y =  79; confidence = 0.37; MISS
scale_factor = 1.00; image = 00119; x =  588; y = 105; confidence = 0.44; MISS
scale_factor = 1.00; image = 00119; x =  694; y = 102; confidence = 0.40; MISS
scale_factor = 1.00; image = 00119; x =  800; y = 100; confidence = 0.18; MISS
scale_factor = 1.00; image = 00119; x =  892; y = 100; confidence = 0.17; MISS
scale_factor = 1.00; image = 00119; x = 1035; y = 129; confidence = 0.27; MISS
scale_factor = 1.00; image = 00119; x = 1107; y = 104; confidence = 0.36; MISS
scale_factor = 1.00; image = 00119; x = 1200; y = 100; confidence = 0.06; MISS
scale_factor = 1.00; image = 00119; x = 1309; y = 123; confidence = 0.56; MISS
scale_factor = 1.00; image = 00119; x =  122; y = 134; confidence = 0.35; MISS
scale_factor = 1.00; image = 00119; x =  212; y = 214; confidence = 0.33; MISS
scale_factor = 1.00; image = 00119; x =  339; y = 259; confidence = 0.35; MISS
scale_factor = 1.00; image = 00119; x =  424; y = 167; confidence = 0.46; MISS
scale_factor = 1.00; image = 00119; x =  531; y = 173; confidence = 0.60; MISS
scale_factor = 1.00; image = 00119; x =  558; y = 250; confidence = 0.62; MISS
scale_factor = 1.00; image = 00119; x =  735; y = 253; confidence = 0.73; MISS
scale_factor = 1.00; image = 00119; x =  735; y = 255; confidence = 0.71; MISS
scale_factor = 1.00; image = 00119; x =  876; y = 251; confidence = 0.70; MISS
scale_factor = 1.00; image = 00119; x =  992; y = 224; confidence = 0.59; MISS
scale_factor = 1.00; image = 00119; x = 1088; y = 195; confidence = 0.35; MISS
scale_factor = 1.00; image = 00119; x = 1174; y = 212; confidence = 0.56; MISS
scale_factor = 1.00; image = 00119; x = 1310; y = 226; confidence = 0.59; MISS
scale_factor = 1.00; image = 00119; x =  128; y = 304; confidence = 0.55; MISS
scale_factor = 1.00; image = 00119; x =  245; y = 260; confidence = 0.38; MISS
scale_factor = 1.00; image = 00112; x =  383; y = 304; confidence = 0.91; HIT ***
scale_factor = 1.00; image = 00112; x =  385; y = 306; confidence = 0.88; HIT ***
scale_factor = 1.00; image = 00119; x =  521; y = 272; confidence = 0.53; MISS
scale_factor = 1.00; image = 00119; x =  628; y = 276; confidence = 0.57; MISS
scale_factor = 1.00; image = 00119; x =  732; y = 252; confidence = 0.73; MISS
scale_factor = 1.00; image = 00119; x =  736; y = 252; confidence = 0.71; MISS
scale_factor = 1.00; image = 00119; x =  875; y = 253; confidence = 0.71; MISS
scale_factor = 1.00; image = 00119; x =  991; y = 234; confidence = 0.57; MISS
scale_factor = 1.00; image = 00119; x = 1188; y = 308; confidence = 0.84; MISS
scale_factor = 1.00; image = 00112; x = 1198; y = 300; confidence = 0.93; HIT ***
scale_factor = 1.00; image = 00112; x = 1215; y = 304; confidence = 0.92; HIT ***
scale_factor = 1.00; image = 00119; x =   15; y = 394; confidence = 0.69; MISS
scale_factor = 1.00; image = 00119; x =  194; y = 340; confidence = 0.31; MISS
scale_factor = 1.00; image = 00119; x =  304; y = 333; confidence = 0.48; MISS
scale_factor = 1.00; image = 00112; x =  383; y = 308; confidence = 0.92; HIT ***
scale_factor = 1.00; image = 00119; x =  466; y = 310; confidence = 0.29; MISS
scale_factor = 1.00; image = 00119; x =  645; y = 318; confidence = 0.01; MISS
scale_factor = 1.00; image = 00119; x =  715; y = 339; confidence = 0.12; MISS
scale_factor = 1.00; image = 00119; x =  835; y = 310; confidence = 0.12; MISS
scale_factor = 1.00; image = 00119; x =  957; y = 432; confidence = 0.49; MISS
scale_factor = 1.00; image = 00119; x =  967; y = 423; confidence = 0.61; MISS
scale_factor = 1.00; image = 00119; x = 1104; y = 437; confidence = 0.42; MISS
scale_factor = 1.00; image = 00112; x = 1213; y = 313; confidence = 0.87; HIT ***
scale_factor = 1.00; image = 00119; x = 1264; y = 371; confidence = 0.20; MISS
scale_factor = 1.00; image = 00119; x =   99; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  199; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  299; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  399; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  499; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  599; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  699; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  799; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  991; y = 493; confidence = 0.35; MISS
scale_factor = 1.00; image = 00119; x = 1005; y = 504; confidence = 0.49; MISS
scale_factor = 1.00; image = 00119; x = 1120; y = 504; confidence = 0.47; MISS
scale_factor = 1.00; image = 00119; x = 1161; y = 471; confidence = 0.48; MISS
scale_factor = 1.00; image = 00119; x = 1301; y = 498; confidence = 0.25; MISS
scale_factor = 1.00; image = 00119; x =   99; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  199; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  299; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  399; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  499; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  599; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  699; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  799; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  986; y = 562; confidence = 0.16; MISS
scale_factor = 1.00; image = 00119; x = 1021; y = 565; confidence = 0.63; MISS
scale_factor = 1.00; image = 00119; x = 1120; y = 613; confidence = 0.54; MISS
scale_factor = 1.00; image = 00119; x = 1121; y = 614; confidence = 0.50; MISS
scale_factor = 1.00; image = 00119; x = 1312; y = 600; confidence = 0.26; MISS
scale_factor = 1.00; image = 00119; x =   99; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  199; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  299; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  399; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  499; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  599; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  699; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  799; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x =  899; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00119; x = 1063; y = 639; confidence = 0.33; MISS
scale_factor = 1.00; image = 00119; x = 1101; y = 704; confidence = 0.26; MISS
scale_factor = 1.00; image = 00119; x = 1207; y = 685; confidence = 0.44; MISS
scale_factor = 1.00; image = 00119; x = 1283; y = 730; confidence = 0.71; MISS
### Current Image = 00112; Traffic signs searched =    3; Traffic signs found =    3; Best confidence = 0.918529; Percentage found = 100.00; HIT
### Current Image = 00112; Traffic signs searched =    4; Traffic signs found =    4; Best confidence = 0.934391; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00123.ppm
scale_factor = 1.00; image = 00129; x =  100; y = 100; confidence = 0.42; MISS
scale_factor = 1.00; image = 00129; x =  154; y =  69; confidence = 0.54; MISS
scale_factor = 1.00; image = 00129; x =  293; y = 117; confidence = 0.37; MISS
scale_factor = 1.00; image = 00129; x =  424; y = 105; confidence = 0.45; MISS
scale_factor = 1.00; image = 00129; x =  519; y =  98; confidence = 0.52; MISS
scale_factor = 1.00; image = 00129; x =  532; y = 115; confidence = 0.34; MISS
scale_factor = 1.00; image = 00129; x =  707; y = 137; confidence = 0.55; MISS
scale_factor = 1.00; image = 00129; x =  858; y = 144; confidence = 0.73; MISS
scale_factor = 1.00; image = 00129; x =  902; y = 122; confidence = 0.54; MISS
scale_factor = 1.00; image = 00129; x = 1008; y = 107; confidence = 0.36; MISS
scale_factor = 1.00; image = 00129; x = 1103; y = 117; confidence = 0.66; MISS
scale_factor = 1.00; image = 00129; x = 1205; y = 135; confidence = 0.56; MISS
scale_factor = 1.00; image = 00129; x = 1289; y = 148; confidence = 0.45; MISS
scale_factor = 1.00; image = 00129; x =  105; y = 247; confidence = 0.52; MISS
scale_factor = 1.00; image = 00129; x =  184; y = 201; confidence = 0.38; MISS
scale_factor = 1.00; image = 00129; x =  294; y = 166; confidence = 0.52; MISS
scale_factor = 1.00; image = 00129; x =  396; y = 198; confidence = 0.36; MISS
scale_factor = 1.00; image = 00123; x =  533; y = 285; confidence = 0.97; HIT ***
scale_factor = 1.00; image = 00129; x =  609; y = 213; confidence = 0.38; MISS
scale_factor = 1.00; image = 00129; x =  697; y = 235; confidence = 0.52; MISS
scale_factor = 1.00; image = 00129; x =  860; y = 143; confidence = 0.72; MISS
scale_factor = 1.00; image = 00129; x =  917; y = 200; confidence = 0.54; MISS
scale_factor = 1.00; image = 00129; x = 1004; y = 191; confidence = 0.35; MISS
scale_factor = 1.00; image = 00129; x = 1162; y = 162; confidence = 0.67; MISS
scale_factor = 1.00; image = 00129; x = 1200; y = 200; confidence = 0.37; MISS
scale_factor = 1.00; image = 00129; x = 1330; y = 235; confidence = 0.56; MISS
scale_factor = 1.00; image = 00129; x =   29; y = 337; confidence = 0.65; MISS
scale_factor = 1.00; image = 00129; x =  201; y = 279; confidence = 0.38; MISS
scale_factor = 1.00; image = 00129; x =  279; y = 298; confidence = 0.53; MISS
scale_factor = 1.00; image = 00129; x =  424; y = 356; confidence = 0.52; MISS
scale_factor = 1.00; image = 00123; x =  530; y = 298; confidence = 0.90; HIT ***
scale_factor = 1.00; image = 00123; x =  533; y = 295; confidence = 0.99; HIT ***
scale_factor = 1.00; image = 00129; x =  675; y = 290; confidence = 0.41; MISS
scale_factor = 1.00; image = 00129; x =  800; y = 300; confidence = 0.33; MISS
scale_factor = 1.00; image = 00129; x =  924; y = 275; confidence = 0.69; MISS
scale_factor = 1.00; image = 00129; x = 1030; y = 322; confidence = 0.60; MISS
scale_factor = 1.00; image = 00123; x = 1117; y = 304; confidence = 0.87; HIT ***
scale_factor = 1.00; image = 00123; x = 1123; y = 300; confidence = 0.85; HIT ***
scale_factor = 1.00; image = 00129; x = 1304; y = 293; confidence = 0.38; MISS
scale_factor = 1.00; image = 00129; x =   75; y = 380; confidence = 0.36; MISS
scale_factor = 1.00; image = 00129; x =  180; y = 473; confidence = 0.55; MISS
scale_factor = 1.00; image = 00129; x =  315; y = 419; confidence = 0.47; MISS
scale_factor = 1.00; image = 00129; x =  425; y = 355; confidence = 0.53; MISS
scale_factor = 1.00; image = 00129; x =  426; y = 354; confidence = 0.54; MISS
scale_factor = 1.00; image = 00129; x =  630; y = 356; confidence = 0.49; MISS
scale_factor = 1.00; image = 00129; x =  672; y = 358; confidence = 0.42; MISS
scale_factor = 1.00; image = 00129; x =  832; y = 360; confidence = 0.50; MISS
scale_factor = 1.00; image = 00129; x =  872; y = 361; confidence = 0.41; MISS
scale_factor = 1.00; image = 00129; x =  987; y = 401; confidence = 0.46; MISS
scale_factor = 1.00; image = 00129; x = 1128; y = 419; confidence = 0.59; MISS
scale_factor = 1.00; image = 00129; x = 1171; y = 400; confidence = 0.42; MISS
scale_factor = 1.00; image = 00129; x = 1284; y = 404; confidence = 0.53; MISS
scale_factor = 1.00; image = 00129; x =  141; y = 497; confidence = 0.40; MISS
scale_factor = 1.00; image = 00129; x =  181; y = 474; confidence = 0.56; MISS
scale_factor = 1.00; image = 00129; x =  320; y = 420; confidence = 0.44; MISS
scale_factor = 1.00; image = 00129; x =  434; y = 439; confidence = 0.23; MISS
scale_factor = 1.00; image = 00129; x =  417; y = 458; confidence = 0.23; MISS
scale_factor = 1.00; image = 00129; x =  665; y = 474; confidence = 0.31; MISS
scale_factor = 1.00; image = 00129; x =  667; y = 473; confidence = 0.26; MISS
scale_factor = 1.00; image = 00129; x =  726; y = 439; confidence = 0.02; MISS
scale_factor = 1.00; image = 00129; x =  986; y = 539; confidence = 0.35; MISS
scale_factor = 1.00; image = 00129; x = 1000; y = 500; confidence = 0.25; MISS
scale_factor = 1.00; image = 00129; x = 1138; y = 453; confidence = 0.71; MISS
scale_factor = 1.00; image = 00129; x = 1134; y = 550; confidence = 0.68; MISS
scale_factor = 1.00; image = 00129; x = 1277; y = 490; confidence = 0.47; MISS
scale_factor = 1.00; image = 00129; x =    5; y = 584; confidence = 0.52; MISS
scale_factor = 1.00; image = 00129; x =  202; y = 512; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  300; y = 600; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  366; y = 510; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  499; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  599; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  699; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  799; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  978; y = 543; confidence = 0.08; MISS
scale_factor = 1.00; image = 00129; x = 1000; y = 600; confidence = 0.01; MISS
scale_factor = 1.00; image = 00129; x = 1106; y = 602; confidence = 0.27; MISS
scale_factor = 1.00; image = 00129; x = 1198; y = 613; confidence = 0.49; MISS
scale_factor = 1.00; image = 00129; x = 1280; y = 593; confidence = 0.47; MISS
scale_factor = 1.00; image = 00129; x =   99; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  199; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  299; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  399; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  499; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  599; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  699; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  799; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x =  899; y = 601; confidence = 0.00; MISS
scale_factor = 1.00; image = 00129; x = 1006; y = 610; confidence = 0.02; MISS
scale_factor = 1.00; image = 00129; x = 1146; y = 616; confidence = 0.39; MISS
scale_factor = 1.00; image = 00129; x = 1184; y = 632; confidence = 0.50; MISS
scale_factor = 1.00; image = 00129; x = 1316; y = 645; confidence = 0.60; MISS
### Current Image = 00123; Traffic signs searched =    5; Traffic signs found =    5; Best confidence = 0.987743; Percentage found = 100.00; HIT
### Current Image = 00123; Traffic signs searched =    6; Traffic signs found =    6; Best confidence = 0.873107; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00126.ppm
scale_factor = 1.00; image = 00131; x =  138; y = 121; confidence = 0.62; MISS
scale_factor = 1.00; image = 00131; x =  186; y =  99; confidence = 0.78; MISS
scale_factor = 1.00; image = 00131; x =  307; y = 129; confidence = 0.65; MISS
scale_factor = 1.00; image = 00131; x =  404; y =  81; confidence = 0.33; MISS
scale_factor = 1.00; image = 00131; x =  517; y = 109; confidence = 0.40; MISS
scale_factor = 1.00; image = 00131; x =  631; y =  71; confidence = 0.40; MISS
scale_factor = 1.00; image = 00131; x =  673; y =  97; confidence = 0.24; MISS
scale_factor = 1.00; image = 00131; x =  828; y = 173; confidence = 0.67; MISS
scale_factor = 1.00; image = 00131; x =  902; y =  94; confidence = 0.48; MISS
scale_factor = 1.00; image = 00131; x = 1011; y = 122; confidence = 0.53; MISS
scale_factor = 1.00; image = 00131; x = 1112; y = 100; confidence = 0.57; MISS
scale_factor = 1.00; image = 00131; x = 1241; y =  99; confidence = 0.52; MISS
scale_factor = 1.00; image = 00131; x = 1287; y =  93; confidence = 0.50; MISS
scale_factor = 1.00; image = 00131; x =  101; y = 214; confidence = 0.58; MISS
scale_factor = 1.00; image = 00131; x =  202; y = 190; confidence = 0.43; MISS
scale_factor = 1.00; image = 00131; x =  287; y = 153; confidence = 0.64; MISS
scale_factor = 1.00; image = 00131; x =  392; y = 180; confidence = 0.55; MISS
scale_factor = 1.00; image = 00131; x =  424; y = 213; confidence = 0.45; MISS
scale_factor = 1.00; image = 00131; x =  626; y = 291; confidence = 0.34; MISS
scale_factor = 1.00; image = 00131; x =  697; y = 213; confidence = 0.20; MISS
scale_factor = 1.00; image = 00131; x =  831; y = 173; confidence = 0.65; MISS
