# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 56
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00004.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00004.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00019.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00057.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00065.ppm
delta = 134
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00075.ppm
scale_factor = 0.75; image = 00082; x =  154; y = 180; confidence = 0.55; MISS
scale_factor = 0.75; image = 00082; x =  264; y = 351; confidence = 0.54; MISS
scale_factor = 0.75; image = 00082; x =  429; y = 420; confidence = 0.00; MISS
scale_factor = 0.75; image = 00082; x =  574; y = 390; confidence = 0.53; MISS
scale_factor = 0.75; image = 00082; x =  702; y = 362; confidence = 0.48; MISS
scale_factor = 0.75; image = 00082; x =  800; y = 426; confidence = 0.41; MISS
scale_factor = 0.75; image = 00082; x =  953; y = 395; confidence = 0.28; MISS
scale_factor = 0.75; image = 00075; x = 1154; y = 370; confidence = 1.00; HIT ***
scale_factor = 0.75; image = 00075; x = 1159; y = 367; confidence = 0.99; HIT ***
scale_factor = 0.75; image = 00082; x = 1326; y = 476; confidence = 0.31; MISS
scale_factor = 0.75; image = 00082; x =  116; y = 568; confidence = 0.40; MISS
scale_factor = 0.75; image = 00082; x =  284; y = 542; confidence = 0.28; MISS
scale_factor = 0.75; image = 00082; x =  396; y = 533; confidence = 0.34; MISS
scale_factor = 0.75; image = 00082; x =  610; y = 510; confidence = 0.48; MISS
scale_factor = 0.75; image = 00082; x =  670; y = 536; confidence = 0.25; MISS
scale_factor = 0.75; image = 00082; x =  876; y = 453; confidence = 0.62; MISS
scale_factor = 0.75; image = 00082; x =  924; y = 478; confidence = 0.28; MISS
scale_factor = 0.75; image = 00082; x = 1029; y = 583; confidence = 0.52; MISS
scale_factor = 0.75; image = 00082; x = 1278; y = 591; confidence = 0.41; MISS
scale_factor = 0.75; image = 00082; x = 1328; y = 472; confidence = 0.46; MISS
scale_factor = 0.75; image = 00082; x =  134; y = 670; confidence = 0.45; MISS
scale_factor = 0.75; image = 00082; x =  324; y = 630; confidence = 0.58; MISS
scale_factor = 0.75; image = 00082; x =  356; y = 660; confidence = 0.23; MISS
scale_factor = 0.75; image = 00082; x =  564; y = 556; confidence = 0.00; MISS
scale_factor = 0.75; image = 00082; x =  626; y = 554; confidence = 0.20; MISS
scale_factor = 0.75; image = 00082; x =  863; y = 647; confidence = 0.19; MISS
scale_factor = 0.75; image = 00082; x =  915; y = 656; confidence = 0.18; MISS
scale_factor = 0.75; image = 00082; x = 1072; y = 672; confidence = 0.52; MISS
scale_factor = 0.75; image = 00082; x = 1187; y = 681; confidence = 0.40; MISS
scale_factor = 0.75; image = 00082; x = 1334; y = 659; confidence = 0.44; MISS
### Current Image = 00075; Traffic signs searched =    1; Traffic signs found =    1; Best confidence = 1.000000; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00077.ppm
scale_factor = 0.75; image = 00085; x =  115; y = 194; confidence = 0.43; MISS
scale_factor = 0.75; image = 00085; x =  246; y = 158; confidence = 0.51; MISS
scale_factor = 0.75; image = 00085; x =  417; y = 107; confidence = 0.79; MISS
scale_factor = 0.75; image = 00085; x =  529; y = 134; confidence = 0.50; MISS
scale_factor = 0.75; image = 00085; x =  701; y = 118; confidence = 0.53; MISS
scale_factor = 0.75; image = 00085; x =  793; y =  92; confidence = 0.52; MISS
scale_factor = 0.75; image = 00085; x =  952; y = 144; confidence = 0.56; MISS
scale_factor = 0.75; image = 00085; x = 1030; y = 149; confidence = 0.44; MISS
scale_factor = 0.75; image = 00085; x = 1209; y = 140; confidence = 0.49; MISS
scale_factor = 0.75; image = 00085; x = 1334; y = 164; confidence = 0.68; MISS
scale_factor = 0.75; image = 00085; x =  119; y = 268; confidence = 0.31; MISS
scale_factor = 0.75; image = 00085; x =  368; y = 200; confidence = 0.74; MISS
scale_factor = 0.75; image = 00085; x =  438; y = 220; confidence = 0.57; MISS
scale_factor = 0.75; image = 00085; x =  571; y = 339; confidence = 0.29; MISS
scale_factor = 0.75; image = 00085; x =  674; y = 265; confidence = 0.12; MISS
scale_factor = 0.75; image = 00085; x =  811; y = 274; confidence = 0.31; MISS
scale_factor = 0.75; image = 00077; x =  974; y = 378; confidence = 0.91; HIT ***
scale_factor = 0.75; image = 00085; x = 1065; y = 262; confidence = 0.17; MISS
scale_factor = 0.75; image = 00085; x = 1238; y = 287; confidence = 0.14; MISS
scale_factor = 0.75; image = 00085; x = 1330; y = 165; confidence = 0.70; MISS
scale_factor = 0.75; image = 00085; x =   64; y = 442; confidence = 0.50; MISS
scale_factor = 0.75; image = 00085; x =  261; y = 408; confidence = 0.48; MISS
scale_factor = 0.75; image = 00085; x =  402; y = 402; confidence = 0.43; MISS
scale_factor = 0.75; image = 00085; x =  542; y = 392; confidence = 0.49; MISS
scale_factor = 0.75; image = 00085; x =  702; y = 328; confidence = 0.29; MISS
scale_factor = 0.75; image = 00085; x =  782; y = 362; confidence = 0.48; MISS
scale_factor = 0.75; image = 00077; x =  976; y = 375; confidence = 0.92; HIT ***
scale_factor = 0.75; image = 00077; x =  977; y = 374; confidence = 0.94; HIT ***
scale_factor = 0.75; image = 00085; x = 1198; y = 343; confidence = 0.38; MISS
scale_factor = 0.75; image = 00085; x = 1337; y = 413; confidence = 0.37; MISS
scale_factor = 0.75; image = 00085; x =  170; y = 543; confidence = 0.52; MISS
scale_factor = 0.75; image = 00085; x =  274; y = 513; confidence = 0.79; MISS
scale_factor = 0.75; image = 00085; x =  404; y = 552; confidence = 0.33; MISS
scale_factor = 0.75; image = 00085; x =  470; y = 536; confidence = 0.27; MISS
scale_factor = 0.75; image = 00085; x =  766; y = 520; confidence = 0.34; MISS
scale_factor = 0.75; image = 00085; x =  772; y = 520; confidence = 0.44; MISS
scale_factor = 0.75; image = 00085; x =  936; y = 529; confidence = 0.53; MISS
scale_factor = 0.75; image = 00085; x = 1038; y = 532; confidence = 0.35; MISS
scale_factor = 0.75; image = 00085; x = 1222; y = 544; confidence = 0.61; MISS
scale_factor = 0.75; image = 00085; x = 1224; y = 547; confidence = 0.58; MISS
scale_factor = 0.75; image = 00085; x =  102; y = 624; confidence = 0.44; MISS
scale_factor = 0.75; image = 00085; x =  237; y = 672; confidence = 0.49; MISS
scale_factor = 0.75; image = 00085; x =  413; y = 571; confidence = 0.20; MISS
scale_factor = 0.75; image = 00085; x =  424; y = 600; confidence = 0.37; MISS
scale_factor = 0.75; image = 00085; x =  668; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00085; x =  911; y = 730; confidence = 0.38; MISS
scale_factor = 0.75; image = 00085; x =  990; y = 620; confidence = 0.28; MISS
scale_factor = 0.75; image = 00085; x = 1049; y = 662; confidence = 0.53; MISS
scale_factor = 0.75; image = 00085; x = 1297; y = 722; confidence = 0.61; MISS
scale_factor = 0.75; image = 00085; x = 1300; y = 718; confidence = 0.61; MISS
### Current Image = 00077; Traffic signs searched =    2; Traffic signs found =    2; Best confidence = 0.943764; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00080.ppm
scale_factor = 0.75; image = 00088; x =  102; y = 160; confidence = 0.44; MISS
scale_factor = 0.75; image = 00088; x =  182; y = 170; confidence = 0.52; MISS
scale_factor = 0.75; image = 00088; x =  370; y = 185; confidence = 0.65; MISS
scale_factor = 0.75; image = 00088; x =  522; y = 164; confidence = 0.59; MISS
scale_factor = 0.75; image = 00088; x =  694; y = 128; confidence = 0.69; MISS
scale_factor = 0.75; image = 00088; x =  840; y = 156; confidence = 0.55; MISS
scale_factor = 0.75; image = 00088; x =  938; y = 142; confidence = 0.53; MISS
scale_factor = 0.75; image = 00088; x = 1057; y = 131; confidence = 0.35; MISS
scale_factor = 0.75; image = 00088; x = 1166; y = 131; confidence = 0.49; MISS
scale_factor = 0.75; image = 00088; x = 1340; y = 134; confidence = 0.18; MISS
scale_factor = 0.75; image = 00088; x =  209; y = 355; confidence = 0.64; MISS
scale_factor = 0.75; image = 00088; x =  212; y = 335; confidence = 0.77; MISS
scale_factor = 0.75; image = 00088; x =  356; y = 184; confidence = 0.65; MISS
scale_factor = 0.75; image = 00088; x =  508; y = 318; confidence = 0.38; MISS
scale_factor = 0.75; image = 00088; x =  670; y = 268; confidence = 0.18; MISS
scale_factor = 0.75; image = 00088; x =  802; y = 262; confidence = 0.46; MISS
scale_factor = 0.75; image = 00088; x =  949; y = 194; confidence = 0.45; MISS
scale_factor = 0.75; image = 00088; x = 1068; y = 276; confidence = 0.21; MISS
scale_factor = 0.75; image = 00088; x = 1164; y = 282; confidence = 0.17; MISS
scale_factor = 0.75; image = 00088; x = 1334; y = 165; confidence = 0.46; MISS
scale_factor = 0.75; image = 00088; x =  134; y = 402; confidence = 0.26; MISS
scale_factor = 0.75; image = 00088; x =  220; y = 350; confidence = 0.75; MISS
scale_factor = 0.75; image = 00088; x =  336; y = 398; confidence = 0.39; MISS
scale_factor = 0.75; image = 00088; x =  508; y = 316; confidence = 0.37; MISS
scale_factor = 0.75; image = 00088; x =  712; y = 406; confidence = 0.26; MISS
scale_factor = 0.75; image = 00080; x =  846; y = 398; confidence = 0.97; HIT ***
scale_factor = 0.75; image = 00080; x =  864; y = 396; confidence = 1.00; HIT ***
scale_factor = 0.75; image = 00088; x = 1046; y = 291; confidence = 0.57; MISS
scale_factor = 0.75; image = 00088; x = 1238; y = 513; confidence = 0.24; MISS
scale_factor = 0.75; image = 00088; x = 1321; y = 351; confidence = 0.36; MISS
scale_factor = 0.75; image = 00088; x =  137; y = 546; confidence = 0.55; MISS
scale_factor = 0.75; image = 00088; x =  294; y = 546; confidence = 0.11; MISS
scale_factor = 0.75; image = 00088; x =  295; y = 540; confidence = 0.34; MISS
scale_factor = 0.75; image = 00088; x =  534; y = 404; confidence = 0.00; MISS
scale_factor = 0.75; image = 00088; x =  737; y = 534; confidence = 0.27; MISS
scale_factor = 0.75; image = 00088; x =  804; y = 542; confidence = 0.34; MISS
scale_factor = 0.75; image = 00088; x =  912; y = 607; confidence = 0.40; MISS
scale_factor = 0.75; image = 00088; x = 1064; y = 533; confidence = 0.48; MISS
scale_factor = 0.75; image = 00088; x = 1242; y = 543; confidence = 0.47; MISS
scale_factor = 0.75; image = 00088; x = 1340; y = 533; confidence = 0.08; MISS
scale_factor = 0.75; image = 00088; x =  156; y = 688; confidence = 0.51; MISS
scale_factor = 0.75; image = 00088; x =  153; y = 690; confidence = 0.56; MISS
scale_factor = 0.75; image = 00088; x =  400; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00088; x =  534; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00088; x =  668; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00088; x =  842; y = 682; confidence = 0.52; MISS
scale_factor = 0.75; image = 00088; x =  842; y = 678; confidence = 0.54; MISS
scale_factor = 0.75; image = 00088; x = 1159; y = 586; confidence = 0.20; MISS
scale_factor = 0.75; image = 00088; x = 1292; y = 640; confidence = 0.57; MISS
scale_factor = 0.75; image = 00088; x = 1332; y = 678; confidence = 0.48; MISS
### Current Image = 00080; Traffic signs searched =    3; Traffic signs found =    3; Best confidence = 0.995674; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00093.ppm
scale_factor = 0.75; image = 00098; x =  124; y = 154; confidence = 0.69; MISS
scale_factor = 0.75; image = 00098; x =  308; y =  68; confidence = 0.28; MISS
scale_factor = 0.75; image = 00098; x =  395; y = 134; confidence = 0.29; MISS
scale_factor = 0.75; image = 00098; x =  556; y = 149; confidence = 0.35; MISS
scale_factor = 0.75; image = 00098; x =  713; y = 185; confidence = 0.31; MISS
scale_factor = 0.75; image = 00098; x =  851; y = 138; confidence = 0.61; MISS
scale_factor = 0.75; image = 00098; x =  976; y = 111; confidence = 0.65; MISS
scale_factor = 0.75; image = 00098; x = 1079; y = 111; confidence = 0.71; MISS
scale_factor = 0.75; image = 00098; x = 1218; y =  92; confidence = 0.68; MISS
scale_factor = 0.75; image = 00098; x = 1316; y = 132; confidence = 0.43; MISS
scale_factor = 0.75; image = 00098; x =  144; y = 275; confidence = 0.04; MISS
scale_factor = 0.75; image = 00098; x =  294; y = 280; confidence = 0.35; MISS
scale_factor = 0.75; image = 00093; x =  356; y = 376; confidence = 0.91; HIT ***
scale_factor = 0.75; image = 00098; x =  536; y = 268; confidence = 0.48; MISS
scale_factor = 0.75; image = 00098; x =  642; y = 275; confidence = 0.46; MISS
scale_factor = 0.75; image = 00098; x =  802; y = 244; confidence = 0.61; MISS
scale_factor = 0.75; image = 00098; x =  938; y = 268; confidence = 0.17; MISS
scale_factor = 0.75; image = 00098; x = 1138; y = 283; confidence = 0.34; MISS
scale_factor = 0.75; image = 00098; x = 1202; y = 266; confidence = 0.32; MISS
scale_factor = 0.75; image = 00098; x = 1306; y = 268; confidence = 0.31; MISS
scale_factor = 0.75; image = 00098; x =  115; y = 414; confidence = 0.33; MISS
scale_factor = 0.75; image = 00093; x =  358; y = 375; confidence = 0.90; HIT ***
scale_factor = 0.75; image = 00093; x =  355; y = 390; confidence = 0.87; HIT ***
scale_factor = 0.75; image = 00098; x =  532; y = 402; confidence = 0.28; MISS
scale_factor = 0.75; image = 00098; x =  647; y = 446; confidence = 0.36; MISS
scale_factor = 0.75; image = 00098; x =  786; y = 324; confidence = 0.53; MISS
scale_factor = 0.75; image = 00098; x =  911; y = 346; confidence = 0.47; MISS
scale_factor = 0.75; image = 00093; x = 1090; y = 438; confidence = 0.98; HIT ***
scale_factor = 0.75; image = 00093; x = 1100; y = 436; confidence = 1.00; HIT ***
scale_factor = 0.75; image = 00098; x = 1297; y = 360; confidence = 0.21; MISS
scale_factor = 0.75; image = 00098; x =   90; y = 500; confidence = 0.48; MISS
scale_factor = 0.75; image = 00098; x =  274; y = 542; confidence = 0.62; MISS
scale_factor = 0.75; image = 00098; x =  477; y = 450; confidence = 0.33; MISS
scale_factor = 0.75; image = 00098; x =  547; y = 469; confidence = 0.56; MISS
scale_factor = 0.75; image = 00098; x =  624; y = 498; confidence = 0.67; MISS
scale_factor = 0.75; image = 00098; x =  710; y = 460; confidence = 0.00; MISS
scale_factor = 0.75; image = 00098; x = 1054; y = 489; confidence = 0.27; MISS
scale_factor = 0.75; image = 00093; x = 1102; y = 437; confidence = 1.00; HIT ***
scale_factor = 0.75; image = 00098; x = 1147; y = 509; confidence = 0.48; MISS
scale_factor = 0.75; image = 00098; x = 1252; y = 470; confidence = 0.02; MISS
scale_factor = 0.75; image = 00098; x =   90; y = 566; confidence = 0.42; MISS
scale_factor = 0.75; image = 00098; x =  261; y = 550; confidence = 0.55; MISS
scale_factor = 0.75; image = 00098; x =  290; y = 600; confidence = 0.15; MISS
scale_factor = 0.75; image = 00098; x =  588; y = 604; confidence = 0.33; MISS
scale_factor = 0.75; image = 00098; x =  586; y = 600; confidence = 0.28; MISS
scale_factor = 0.75; image = 00098; x =  802; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00098; x =  927; y = 748; confidence = 0.16; MISS
scale_factor = 0.75; image = 00098; x = 1050; y = 559; confidence = 0.22; MISS
scale_factor = 0.75; image = 00098; x = 1204; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00098; x = 1293; y = 547; confidence = 0.06; MISS
### Current Image = 00093; Traffic signs searched =    4; Traffic signs found =    4; Best confidence = 1.000000; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00094.ppm
scale_factor = 0.75; image = 00098; x =  126; y = 134; confidence = 0.45; MISS
scale_factor = 0.75; image = 00098; x =  264; y = 186; confidence = 0.52; MISS
scale_factor = 0.75; image = 00098; x =  392; y = 138; confidence = 0.47; MISS
scale_factor = 0.75; image = 00098; x =  552; y = 112; confidence = 0.23; MISS
scale_factor = 0.75; image = 00098; x =  678; y = 166; confidence = 0.34; MISS
scale_factor = 0.75; image = 00098; x =  778; y = 110; confidence = 0.41; MISS
scale_factor = 0.75; image = 00098; x = 1005; y = 169; confidence = 0.57; MISS
scale_factor = 0.75; image = 00098; x = 1076; y = 122; confidence = 0.51; MISS
scale_factor = 0.75; image = 00098; x = 1221; y =  42; confidence = 0.83; MISS
scale_factor = 0.75; image = 00098; x = 1340; y = 134; confidence = 0.42; MISS
scale_factor = 0.75; image = 00098; x =  130; y = 256; confidence = 0.40; MISS
scale_factor = 0.75; image = 00098; x =  271; y = 278; confidence = 0.64; MISS
scale_factor = 0.75; image = 00098; x =  391; y = 280; confidence = 0.60; MISS
scale_factor = 0.75; image = 00098; x =  498; y = 274; confidence = 0.46; MISS
scale_factor = 0.75; image = 00098; x =  654; y = 230; confidence = 0.32; MISS
scale_factor = 0.75; image = 00098; x =  878; y = 250; confidence = 0.47; MISS
scale_factor = 0.75; image = 00098; x =  878; y = 250; confidence = 0.47; MISS
scale_factor = 0.75; image = 00098; x = 1058; y = 230; confidence = 0.07; MISS
scale_factor = 0.75; image = 00098; x = 1210; y = 252; confidence = 0.63; MISS
scale_factor = 0.75; image = 00098; x = 1337; y = 200; confidence = 0.19; MISS
scale_factor = 0.75; image = 00094; x =  131; y = 425; confidence = 0.69; HIT ***
scale_factor = 0.75; image = 00098; x =  268; y = 398; confidence = 0.36; MISS
scale_factor = 0.75; image = 00098; x =  476; y = 418; confidence = 0.53; MISS
scale_factor = 0.75; image = 00098; x =  476; y = 421; confidence = 0.47; MISS
scale_factor = 0.75; image = 00098; x =  576; y = 406; confidence = 0.37; MISS
scale_factor = 0.75; image = 00098; x =  785; y = 363; confidence = 0.31; MISS
scale_factor = 0.75; image = 00094; x =  956; y = 414; confidence = 0.69; HIT ***
scale_factor = 0.75; image = 00094; x =  958; y = 394; confidence = 0.73; HIT ***
scale_factor = 0.75; image = 00098; x = 1245; y = 410; confidence = 0.37; MISS
scale_factor = 0.75; image = 00098; x = 1340; y = 410; confidence = 0.49; MISS
scale_factor = 0.75; image = 00098; x =  115; y = 555; confidence = 0.61; MISS
scale_factor = 0.75; image = 00098; x =  315; y = 571; confidence = 0.53; MISS
scale_factor = 0.75; image = 00098; x =  498; y = 497; confidence = 0.64; MISS
scale_factor = 0.75; image = 00098; x =  502; y = 501; confidence = 0.56; MISS
scale_factor = 0.75; image = 00098; x =  591; y = 436; confidence = 0.37; MISS
scale_factor = 0.75; image = 00098; x =  756; y = 421; confidence = 0.02; MISS
scale_factor = 0.75; image = 00094; x =  957; y = 417; confidence = 0.64; HIT ***
scale_factor = 0.75; image = 00098; x = 1123; y = 559; confidence = 0.36; MISS
scale_factor = 0.75; image = 00098; x = 1276; y = 558; confidence = 0.62; MISS
scale_factor = 0.75; image = 00098; x = 1342; y = 532; confidence = 0.22; MISS
scale_factor = 0.75; image = 00098; x =  132; y = 686; confidence = 0.51; MISS
scale_factor = 0.75; image = 00098; x =  241; y = 650; confidence = 0.45; MISS
scale_factor = 0.75; image = 00098; x =  315; y = 576; confidence = 0.53; MISS
scale_factor = 0.75; image = 00098; x =  497; y = 552; confidence = 0.00; MISS
scale_factor = 0.75; image = 00098; x =  668; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00098; x =  802; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00098; x =  936; y = 538; confidence = 0.00; MISS
scale_factor = 0.75; image = 00098; x = 1127; y = 558; confidence = 0.26; MISS
scale_factor = 0.75; image = 00098; x = 1290; y = 677; confidence = 0.54; MISS
scale_factor = 0.75; image = 00098; x = 1292; y = 677; confidence = 0.51; MISS
### Current Image = 00094; Traffic signs searched =    5; Traffic signs found =    5; Best confidence = 0.725306; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00129.ppm
scale_factor = 0.75; image = 00133; x =  144; y = 131; confidence = 0.24; MISS
scale_factor = 0.75; image = 00133; x =  278; y = 132; confidence = 0.52; MISS
scale_factor = 0.75; image = 00133; x =  384; y = 132; confidence = 0.69; MISS
scale_factor = 0.75; image = 00133; x =  517; y =  92; confidence = 0.54; MISS
scale_factor = 0.75; image = 00133; x =  594; y =  66; confidence = 0.60; MISS
scale_factor = 0.75; image = 00133; x =  847; y =  96; confidence = 0.62; MISS
scale_factor = 0.75; image = 00133; x =  880; y =  78; confidence = 0.62; MISS
scale_factor = 0.75; image = 00133; x = 1078; y = 111; confidence = 0.45; MISS
scale_factor = 0.75; image = 00133; x = 1240; y = 212; confidence = 0.49; MISS
scale_factor = 0.75; image = 00133; x = 1241; y = 217; confidence = 0.48; MISS
scale_factor = 0.75; image = 00133; x =   78; y = 260; confidence = 0.59; MISS
scale_factor = 0.75; image = 00133; x =  265; y = 310; confidence = 0.34; MISS
scale_factor = 0.75; image = 00133; x =  434; y = 214; confidence = 0.51; MISS
scale_factor = 0.75; image = 00133; x =  610; y = 328; confidence = 0.59; MISS
scale_factor = 0.75; image = 00133; x =  662; y = 276; confidence = 0.50; MISS
scale_factor = 0.75; image = 00133; x =  801; y = 278; confidence = 0.18; MISS
scale_factor = 0.75; image = 00133; x =  904; y = 265; confidence = 0.40; MISS
scale_factor = 0.75; image = 00133; x = 1086; y = 276; confidence = 0.40; MISS
scale_factor = 0.75; image = 00133; x = 1206; y = 268; confidence = 0.36; MISS
scale_factor = 0.75; image = 00133; x = 1241; y = 228; confidence = 0.63; MISS
scale_factor = 0.75; image = 00133; x =  126; y = 436; confidence = 0.60; MISS
scale_factor = 0.75; image = 00133; x =  347; y = 402; confidence = 0.58; MISS
scale_factor = 0.75; image = 00133; x =  348; y = 408; confidence = 0.55; MISS
scale_factor = 0.75; image = 00133; x =  571; y = 398; confidence = 0.19; MISS
scale_factor = 0.75; image = 00133; x =  639; y = 379; confidence = 0.34; MISS
scale_factor = 0.75; image = 00133; x =  758; y = 386; confidence = 0.45; MISS
scale_factor = 0.75; image = 00129; x =  980; y = 394; confidence = 1.00; HIT ***
scale_factor = 0.75; image = 00129; x =  994; y = 399; confidence = 0.95; HIT ***
scale_factor = 0.75; image = 00133; x = 1154; y = 391; confidence = 0.52; MISS
scale_factor = 0.75; image = 00133; x = 1321; y = 392; confidence = 0.48; MISS
scale_factor = 0.75; image = 00133; x =  111; y = 438; confidence = 0.64; MISS
scale_factor = 0.75; image = 00133; x =  287; y = 520; confidence = 0.40; MISS
scale_factor = 0.75; image = 00133; x =  371; y = 571; confidence = 0.58; MISS
scale_factor = 0.75; image = 00133; x =  512; y = 526; confidence = 0.59; MISS
scale_factor = 0.75; image = 00133; x =  770; y = 578; confidence = 0.31; MISS
scale_factor = 0.75; image = 00133; x =  818; y = 539; confidence = 0.11; MISS
scale_factor = 0.75; image = 00133; x =  860; y = 497; confidence = 0.44; MISS
scale_factor = 0.75; image = 00133; x = 1142; y = 642; confidence = 0.51; MISS
scale_factor = 0.75; image = 00133; x = 1216; y = 547; confidence = 0.40; MISS
scale_factor = 0.75; image = 00133; x = 1306; y = 513; confidence = 0.54; MISS
scale_factor = 0.75; image = 00133; x =  170; y = 662; confidence = 0.22; MISS
scale_factor = 0.75; image = 00133; x =  303; y = 614; confidence = 0.51; MISS
scale_factor = 0.75; image = 00133; x =  370; y = 572; confidence = 0.62; MISS
