# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 53
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00004.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00004.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00012.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00027.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00057.ppm
delta = 143
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00065.ppm
scale_factor = 0.70; image = 00073; x =  166; y = 127; confidence = 0.00; MISS
scale_factor = 0.70; image = 00082; x = 1144; y = 715; confidence = 0.36; MISS
scale_factor = 0.70; image = 00082; x = 1296; y = 731; confidence = 0.27; MISS
### Current Image = 00075; Traffic signs searched =    2; Traffic signs found =    2; Best confidence = 1.000000; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00077.ppm
scale_factor = 0.70; image = 00085; x =  155; y = 117; confidence = 0.61; MISS
scale_factor = 0.70; image = 00085; x =  270; y = 232; confidence = 0.59; MISS
scale_factor = 0.70; image = 00085; x =  478; y =  31; confidence = 0.54; MISS
scale_factor = 0.70; image = 00085; x =  545; y = 113; confidence = 0.41; MISS
scale_factor = 0.70; image = 00085; x =  727; y = 243; confidence = 0.62; MISS
scale_factor = 0.70; image = 00085; x =  846; y = 150; confidence = 0.51; MISS
scale_factor = 0.70; image = 00085; x =  982; y = 145; confidence = 0.43; MISS
scale_factor = 0.70; image = 00085; x = 1151; y = 148; confidence = 0.09; MISS
scale_factor = 0.70; image = 00085; x = 1260; y = 152; confidence = 0.50; MISS
scale_factor = 0.70; image = 00085; x =  149; y = 315; confidence = 0.24; MISS
scale_factor = 0.70; image = 00085; x =  269; y = 231; confidence = 0.60; MISS
scale_factor = 0.70; image = 00085; x =  485; y = 401; confidence = 0.49; MISS
scale_factor = 0.70; image = 00085; x =  621; y = 214; confidence = 0.28; MISS
scale_factor = 0.70; image = 00085; x =  740; y = 246; confidence = 0.58; MISS
scale_factor = 0.70; image = 00085; x =  897; y = 323; confidence = 0.43; MISS
scale_factor = 0.70; image = 00085; x =  982; y = 389; confidence = 0.63; MISS
scale_factor = 0.70; image = 00085; x = 1150; y = 283; confidence = 0.01; MISS
scale_factor = 0.70; image = 00085; x = 1317; y = 233; confidence = 0.42; MISS
scale_factor = 0.70; image = 00085; x =  145; y = 431; confidence = 0.33; MISS
scale_factor = 0.70; image = 00085; x =  302; y = 431; confidence = 0.33; MISS
scale_factor = 0.70; image = 00085; x =  438; y = 412; confidence = 0.47; MISS
scale_factor = 0.70; image = 00085; x =  539; y = 397; confidence = 0.38; MISS
scale_factor = 0.70; image = 00085; x =  731; y = 422; confidence = 0.09; MISS
scale_factor = 0.70; image = 00085; x =  880; y = 449; confidence = 0.53; MISS
scale_factor = 0.70; image = 00077; x =  992; y = 386; confidence = 0.65; HIT ***
scale_factor = 0.70; image = 00085; x = 1141; y = 412; confidence = 0.41; MISS
scale_factor = 0.70; image = 00085; x = 1260; y = 545; confidence = 0.48; MISS
scale_factor = 0.70; image = 00085; x =  175; y = 509; confidence = 0.44; MISS
scale_factor = 0.70; image = 00085; x =  216; y = 601; confidence = 0.17; MISS
scale_factor = 0.70; image = 00085; x =  429; y = 563; confidence = 0.18; MISS
scale_factor = 0.70; image = 00085; x =  453; y = 512; confidence = 0.32; MISS
scale_factor = 0.70; image = 00085; x =  751; y = 452; confidence = 0.08; MISS
scale_factor = 0.70; image = 00085; x =  870; y = 577; confidence = 0.34; MISS
scale_factor = 0.70; image = 00085; x =  996; y = 581; confidence = 0.26; MISS
scale_factor = 0.70; image = 00085; x = 1144; y = 574; confidence = 0.24; MISS
scale_factor = 0.70; image = 00085; x = 1272; y = 557; confidence = 0.50; MISS
scale_factor = 0.70; image = 00085; x =  145; y = 708; confidence = 0.15; MISS
scale_factor = 0.70; image = 00085; x =  227; y = 652; confidence = 0.38; MISS
scale_factor = 0.70; image = 00085; x =  410; y = 588; confidence = 0.42; MISS
scale_factor = 0.70; image = 00085; x =  592; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00085; x =  696; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00085; x =  875; y = 718; confidence = 0.20; MISS
scale_factor = 0.70; image = 00085; x =  995; y = 703; confidence = 0.31; MISS
scale_factor = 0.70; image = 00085; x = 1138; y = 724; confidence = 0.16; MISS
scale_factor = 0.70; image = 00085; x = 1300; y = 713; confidence = 0.47; MISS
### Current Image = 00077; Traffic signs searched =    3; Traffic signs found =    3; Best confidence = 0.650324; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00080.ppm
scale_factor = 0.70; image = 00088; x =  126; y = 188; confidence = 0.43; MISS
scale_factor = 0.70; image = 00088; x =  292; y = 145; confidence = 0.28; MISS
scale_factor = 0.70; image = 00088; x =  461; y = 152; confidence = 0.38; MISS
scale_factor = 0.70; image = 00088; x =  698; y = 133; confidence = 0.56; MISS
scale_factor = 0.70; image = 00088; x =  699; y = 141; confidence = 0.62; MISS
scale_factor = 0.70; image = 00088; x =  901; y = 103; confidence = 0.66; MISS
scale_factor = 0.70; image = 00088; x = 1001; y = 143; confidence = 0.61; MISS
scale_factor = 0.70; image = 00088; x = 1135; y = 145; confidence = 0.35; MISS
scale_factor = 0.70; image = 00088; x = 1250; y = 176; confidence = 0.35; MISS
scale_factor = 0.70; image = 00088; x =  159; y = 250; confidence = 0.44; MISS
scale_factor = 0.70; image = 00088; x =  365; y = 223; confidence = 0.53; MISS
scale_factor = 0.70; image = 00088; x =  429; y = 286; confidence = 0.23; MISS
scale_factor = 0.70; image = 00088; x =  575; y = 281; confidence = 0.19; MISS
scale_factor = 0.70; image = 00088; x =  715; y = 281; confidence = 0.29; MISS
scale_factor = 0.70; image = 00088; x =  860; y = 306; confidence = 0.23; MISS
scale_factor = 0.70; image = 00088; x = 1067; y = 166; confidence = 0.66; MISS
scale_factor = 0.70; image = 00088; x = 1142; y = 292; confidence = 0.05; MISS
scale_factor = 0.70; image = 00088; x = 1268; y = 288; confidence = 0.01; MISS
scale_factor = 0.70; image = 00088; x =  140; y = 366; confidence = 0.45; MISS
scale_factor = 0.70; image = 00088; x =  311; y = 531; confidence = 0.60; MISS
scale_factor = 0.70; image = 00088; x =  438; y = 353; confidence = 0.30; MISS
scale_factor = 0.70; image = 00088; x =  695; y = 435; confidence = 0.29; MISS
scale_factor = 0.70; image = 00088; x =  710; y = 429; confidence = 0.55; MISS
scale_factor = 0.70; image = 00080; x =  870; y = 406; confidence = 0.63; HIT ***
scale_factor = 0.70; image = 00080; x =  871; y = 402; confidence = 0.67; HIT ***
scale_factor = 0.70; image = 00088; x = 1169; y = 417; confidence = 0.20; MISS
scale_factor = 0.70; image = 00088; x = 1250; y = 508; confidence = 0.28; MISS
scale_factor = 0.70; image = 00088; x =  158; y = 522; confidence = 0.58; MISS
scale_factor = 0.70; image = 00088; x =  299; y = 546; confidence = 0.66; MISS
scale_factor = 0.70; image = 00088; x =  304; y = 540; confidence = 0.64; MISS
scale_factor = 0.70; image = 00088; x =  472; y = 642; confidence = 0.12; MISS
scale_factor = 0.70; image = 00088; x =  827; y = 648; confidence = 0.59; MISS
scale_factor = 0.70; image = 00088; x =  829; y = 651; confidence = 0.61; MISS
scale_factor = 0.70; image = 00088; x = 1030; y = 542; confidence = 0.29; MISS
scale_factor = 0.70; image = 00088; x = 1153; y = 566; confidence = 0.03; MISS
scale_factor = 0.70; image = 00088; x = 1248; y = 506; confidence = 0.43; MISS
scale_factor = 0.70; image = 00088; x =  136; y = 737; confidence = 0.49; MISS
scale_factor = 0.70; image = 00088; x =  157; y = 727; confidence = 0.15; MISS
scale_factor = 0.70; image = 00088; x =  449; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00088; x =  553; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00088; x =  830; y = 652; confidence = 0.61; MISS
scale_factor = 0.70; image = 00088; x =  856; y = 710; confidence = 0.51; MISS
scale_factor = 0.70; image = 00088; x = 1001; y = 712; confidence = 0.19; MISS
scale_factor = 0.70; image = 00088; x = 1173; y = 742; confidence = 0.38; MISS
scale_factor = 0.70; image = 00088; x = 1272; y = 700; confidence = 0.32; MISS
### Current Image = 00080; Traffic signs searched =    4; Traffic signs found =    4; Best confidence = 0.668349; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00093.ppm
scale_factor = 0.70; image = 00098; x =  113; y = 152; confidence = 0.14; MISS
scale_factor = 0.70; image = 00098; x =  298; y = 156; confidence = 0.29; MISS
scale_factor = 0.70; image = 00098; x =  390; y = 145; confidence = 0.13; MISS
scale_factor = 0.70; image = 00098; x =  535; y =  54; confidence = 0.73; MISS
scale_factor = 0.70; image = 00098; x =  700; y = 126; confidence = 0.31; MISS
scale_factor = 0.70; image = 00098; x =  853; y = 138; confidence = 0.57; MISS
scale_factor = 0.70; image = 00098; x = 1017; y = 145; confidence = 0.40; MISS
scale_factor = 0.70; image = 00098; x = 1081; y = 107; confidence = 0.77; MISS
scale_factor = 0.70; image = 00098; x = 1310; y = 205; confidence = 0.42; MISS
scale_factor = 0.70; image = 00098; x =  145; y = 271; confidence = 0.06; MISS
scale_factor = 0.70; image = 00093; x =  362; y = 383; confidence = 0.95; HIT ***
scale_factor = 0.70; image = 00093; x =  359; y = 376; confidence = 0.88; HIT ***
scale_factor = 0.70; image = 00098; x =  556; y = 267; confidence = 0.40; MISS
scale_factor = 0.70; image = 00098; x =  818; y = 305; confidence = 0.41; MISS
scale_factor = 0.70; image = 00098; x =  852; y = 237; confidence = 0.43; MISS
scale_factor = 0.70; image = 00098; x =  939; y = 247; confidence = 0.55; MISS
scale_factor = 0.70; image = 00098; x = 1137; y = 286; confidence = 0.35; MISS
scale_factor = 0.70; image = 00098; x = 1285; y = 277; confidence = 0.25; MISS
scale_factor = 0.70; image = 00098; x =  116; y = 416; confidence = 0.26; MISS
scale_factor = 0.70; image = 00093; x =  363; y = 390; confidence = 0.83; HIT ***
scale_factor = 0.70; image = 00093; x =  357; y = 376; confidence = 0.85; HIT ***
scale_factor = 0.70; image = 00098; x =  578; y = 419; confidence = 0.39; MISS
scale_factor = 0.70; image = 00098; x =  706; y = 426; confidence = 0.25; MISS
scale_factor = 0.70; image = 00098; x =  903; y = 347; confidence = 0.17; MISS
scale_factor = 0.70; image = 00093; x = 1091; y = 436; confidence = 0.99; HIT ***
scale_factor = 0.70; image = 00093; x = 1089; y = 434; confidence = 0.98; HIT ***
scale_factor = 0.70; image = 00098; x = 1296; y = 429; confidence = 0.13; MISS
scale_factor = 0.70; image = 00098; x =  162; y = 589; confidence = 0.10; MISS
scale_factor = 0.70; image = 00098; x =  276; y = 549; confidence = 0.39; MISS
scale_factor = 0.70; image = 00098; x =  492; y = 467; confidence = 0.38; MISS
scale_factor = 0.70; image = 00098; x =  629; y = 507; confidence = 0.48; MISS
scale_factor = 0.70; image = 00098; x =  636; y = 513; confidence = 0.20; MISS
scale_factor = 0.70; image = 00098; x =  887; y = 457; confidence = 0.06; MISS
scale_factor = 0.70; image = 00098; x = 1048; y = 572; confidence = 0.50; MISS
scale_factor = 0.70; image = 00093; x = 1097; y = 447; confidence = 0.93; HIT ***
scale_factor = 0.70; image = 00098; x = 1317; y = 485; confidence = 0.11; MISS
scale_factor = 0.70; image = 00098; x =   96; y = 655; confidence = 0.11; MISS
scale_factor = 0.70; image = 00098; x =  289; y = 600; confidence = 0.25; MISS
scale_factor = 0.70; image = 00098; x =  449; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x =  520; y = 592; confidence = 0.04; MISS
scale_factor = 0.70; image = 00098; x =  696; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x =  878; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x = 1021; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x = 1164; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x = 1268; y = 800; confidence = 0.00; MISS
### Current Image = 00093; Traffic signs searched =    5; Traffic signs found =    5; Best confidence = 0.989906; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00094.ppm
scale_factor = 0.70; image = 00098; x =  158; y = 110; confidence = 0.41; MISS
scale_factor = 0.70; image = 00098; x =  276; y =  96; confidence = 0.53; MISS
scale_factor = 0.70; image = 00098; x =  409; y = 143; confidence = 0.31; MISS
scale_factor = 0.70; image = 00098; x =  555; y = 239; confidence = 0.38; MISS
scale_factor = 0.70; image = 00098; x =  794; y = 108; confidence = 0.39; MISS
scale_factor = 0.70; image = 00098; x =  836; y = 143; confidence = 0.12; MISS
scale_factor = 0.70; image = 00098; x = 1028; y = 165; confidence = 0.78; MISS
scale_factor = 0.70; image = 00098; x = 1028; y = 163; confidence = 0.77; MISS
scale_factor = 0.70; image = 00098; x = 1217; y =  34; confidence = 0.67; MISS
scale_factor = 0.70; image = 00098; x =  134; y = 234; confidence = 0.16; MISS
scale_factor = 0.70; image = 00098; x =  325; y = 234; confidence = 0.14; MISS
scale_factor = 0.70; image = 00098; x =  464; y = 273; confidence = 0.40; MISS
scale_factor = 0.70; image = 00098; x =  577; y = 274; confidence = 0.43; MISS
scale_factor = 0.70; image = 00098; x =  732; y = 270; confidence = 0.40; MISS
scale_factor = 0.70; image = 00098; x =  888; y = 253; confidence = 0.63; MISS
scale_factor = 0.70; image = 00098; x = 1016; y = 281; confidence = 0.19; MISS
scale_factor = 0.70; image = 00098; x = 1157; y = 253; confidence = 0.41; MISS
scale_factor = 0.70; image = 00098; x = 1289; y = 291; confidence = 0.03; MISS
scale_factor = 0.70; image = 00094; x =  130; y = 420; confidence = 0.59; HIT ***
scale_factor = 0.70; image = 00094; x =  181; y = 466; confidence = 0.68; HIT ***
scale_factor = 0.70; image = 00098; x =  429; y = 414; confidence = 0.32; MISS
scale_factor = 0.70; image = 00098; x =  560; y = 496; confidence = 0.46; MISS
scale_factor = 0.70; image = 00098; x =  698; y = 334; confidence = 0.01; MISS
scale_factor = 0.70; image = 00094; x =  964; y = 393; confidence = 0.46; HIT ***
scale_factor = 0.70; image = 00094; x =  979; y = 420; confidence = 0.53; HIT ***
scale_factor = 0.70; image = 00098; x = 1209; y = 459; confidence = 0.14; MISS
scale_factor = 0.70; image = 00098; x = 1297; y = 403; confidence = 0.35; MISS
scale_factor = 0.70; image = 00098; x =  159; y = 572; confidence = 0.41; MISS
scale_factor = 0.70; image = 00098; x =  309; y = 574; confidence = 0.52; MISS
scale_factor = 0.70; image = 00098; x =  436; y = 562; confidence = 0.32; MISS
scale_factor = 0.70; image = 00098; x =  559; y = 497; confidence = 0.43; MISS
scale_factor = 0.70; image = 00098; x =  695; y = 714; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x =  838; y = 714; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x = 1131; y = 562; confidence = 0.17; MISS
scale_factor = 0.70; image = 00098; x = 1122; y = 559; confidence = 0.21; MISS
scale_factor = 0.70; image = 00098; x = 1312; y = 578; confidence = 0.34; MISS
scale_factor = 0.70; image = 00098; x =  127; y = 683; confidence = 0.34; MISS
scale_factor = 0.70; image = 00098; x =  263; y = 717; confidence = 0.49; MISS
scale_factor = 0.70; image = 00098; x =  327; y = 623; confidence = 0.42; MISS
scale_factor = 0.70; image = 00098; x =  592; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x =  735; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x =  878; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x = 1021; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00098; x = 1234; y = 709; confidence = 0.54; MISS
scale_factor = 0.70; image = 00098; x = 1235; y = 709; confidence = 0.60; MISS
### Current Image = 00094; Traffic signs searched =    6; Traffic signs found =    6; Best confidence = 0.525595; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00101.ppm
scale_factor = 0.70; image = 00107; x =  127; y = 216; confidence = 0.37; MISS
scale_factor = 0.70; image = 00107; x =  219; y = 222; confidence = 0.58; MISS
scale_factor = 0.70; image = 00107; x =  515; y = 215; confidence = 0.51; MISS
scale_factor = 0.70; image = 00107; x =  624; y = 215; confidence = 0.63; MISS
scale_factor = 0.70; image = 00107; x =  791; y = 230; confidence = 0.59; MISS
scale_factor = 0.70; image = 00107; x =  870; y = 138; confidence = 0.55; MISS
scale_factor = 0.70; image = 00107; x = 1044; y = 131; confidence = 0.57; MISS
scale_factor = 0.70; image = 00107; x = 1097; y = 104; confidence = 0.53; MISS
scale_factor = 0.70; image = 00107; x = 1240; y =  83; confidence = 0.33; MISS
scale_factor = 0.70; image = 00107; x =  172; y = 299; confidence = 0.26; MISS
scale_factor = 0.70; image = 00107; x =  333; y = 261; confidence = 0.21; MISS
scale_factor = 0.70; image = 00107; x =  333; y = 261; confidence = 0.22; MISS
scale_factor = 0.70; image = 00107; x =  622; y = 211; confidence = 0.51; MISS
scale_factor = 0.70; image = 00107; x =  795; y = 231; confidence = 0.56; MISS
scale_factor = 0.70; image = 00101; x =  871; y = 353; confidence = 0.79; HIT ***
scale_factor = 0.70; image = 00107; x = 1024; y = 288; confidence = 0.11; MISS
scale_factor = 0.70; image = 00107; x = 1129; y = 221; confidence = 0.42; MISS
scale_factor = 0.70; image = 00107; x = 1230; y = 280; confidence = 0.02; MISS
scale_factor = 0.70; image = 00107; x =  170; y = 509; confidence = 0.40; MISS
scale_factor = 0.70; image = 00107; x =  303; y = 459; confidence = 0.57; MISS
scale_factor = 0.70; image = 00107; x =  458; y = 406; confidence = 0.47; MISS
