p = 0.650800; confidence = 0.440000; image = 2; scale_factor = 0.816480; x = 457; y = 243
p = 0.666200; confidence = 0.420000; image = 34; scale_factor = 0.816480; x = 952; y = 297
p = 0.757400; confidence = 0.720000; image = 34; scale_factor = 0.816480; x = 550; y = 403
p = 0.757400; confidence = 0.730000; image = 34; scale_factor = 0.816480; x = 546; y = 401
p = 0.383300; confidence = 0.440000; image = 34; scale_factor = 0.979780; x = 543; y = 394
p = 0.565700; confidence = 0.500000; image = 34; scale_factor = 1.175730; x = 554; y = 394
p = 0.551100; confidence = 0.430000; image = 35; scale_factor = 0.680400; x = 1070; y = 267
p = 0.399300; confidence = 0.430000; image = 35; scale_factor = 0.816480; x = 504; y = 174
p = 0.847800; confidence = 0.500000; image = 35; scale_factor = 0.816480; x = 847; y = 350
p = 0.847800; confidence = 0.600000; image = 35; scale_factor = 0.816480; x = 851; y = 353
p = 0.847800; confidence = 0.560000; image = 35; scale_factor = 0.816480; x = 843; y = 354
p = 0.710700; confidence = 0.640000; image = 38; scale_factor = 0.816480; x = 930; y = 410
p = 0.580500; confidence = 0.560000; image = 38; scale_factor = 0.816480; x = 936; y = 404
p = 0.580500; confidence = 0.600000; image = 38; scale_factor = 0.816480; x = 934; y = 403
p = 0.659900; confidence = 0.650000; image = 38; scale_factor = 0.979780; x = 928; y = 410
p = 0.659900; confidence = 0.630000; image = 38; scale_factor = 0.979780; x = 936; y = 406
p = 0.535800; confidence = 0.430000; image = 38; scale_factor = 1.175730; x = 991; y = 279
p = 0.356900; confidence = 0.700000; image = 40; scale_factor = 0.393750; x = 1137; y = 406
p = 0.635600; confidence = 0.720000; image = 40; scale_factor = 0.393750; x = 1135; y = 416
p = 1.000000; confidence = 0.840000; image = 40; scale_factor = 0.472500; x = 1145; y = 415
p = 0.752300; confidence = 0.770000; image = 40; scale_factor = 0.472500; x = 1143; y = 404
p = 1.000000; confidence = 0.810000; image = 40; scale_factor = 0.472500; x = 1140; y = 411
p = 1.000000; confidence = 0.850000; image = 40; scale_factor = 0.472500; x = 1137; y = 413
p = 0.734400; confidence = 0.560000; image = 40; scale_factor = 0.567000; x = 1129; y = 396
p = 0.407200; confidence = 0.550000; image = 40; scale_factor = 0.567000; x = 1146; y = 403
p = 0.534100; confidence = 0.410000; image = 41; scale_factor = 0.680400; x = 534; y = 251
p = 0.590100; confidence = 0.630000; image = 45; scale_factor = 0.472500; x = 1071; y = 457
p = 0.590100; confidence = 0.670000; image = 45; scale_factor = 0.472500; x = 1066; y = 459
p = 0.851000; confidence = 0.790000; image = 45; scale_factor = 0.567000; x = 1060; y = 464
p = 0.645000; confidence = 0.660000; image = 45; scale_factor = 0.567000; x = 1075; y = 451
p = 0.589200; confidence = 0.560000; image = 45; scale_factor = 0.680400; x = 1057; y = 473
p = 0.659600; confidence = 0.510000; image = 51; scale_factor = 0.472500; x = 831; y = 372
p = 0.812800; confidence = 0.700000; image = 51; scale_factor = 0.567000; x = 828; y = 375
p = 0.931700; confidence = 0.740000; image = 51; scale_factor = 0.567000; x = 830; y = 375
p = 0.931700; confidence = 0.750000; image = 51; scale_factor = 0.567000; x = 828; y = 372
p = 0.709800; confidence = 0.600000; image = 51; scale_factor = 0.567000; x = 822; y = 370
p = 0.950300; confidence = 0.740000; image = 51; scale_factor = 0.680400; x = 832; y = 363
p = 0.950300; confidence = 0.790000; image = 51; scale_factor = 0.680400; x = 828; y = 364
p = 0.950300; confidence = 0.720000; image = 51; scale_factor = 0.680400; x = 829; y = 361
p = 0.457400; confidence = 0.410000; image = 52; scale_factor = 0.816480; x = 979; y = 376
p = 0.458600; confidence = 0.410000; image = 54; scale_factor = 0.816480; x = 1234; y = 245
p = 0.394500; confidence = 0.600000; image = 55; scale_factor = 2.031660; x = 882; y = 390
p = 0.341400; confidence = 0.430000; image = 57; scale_factor = 0.680400; x = 1005; y = 383
p = 0.903700; confidence = 0.600000; image = 57; scale_factor = 0.816480; x = 1004; y = 377
p = 0.903700; confidence = 0.590000; image = 57; scale_factor = 0.816480; x = 1010; y = 383
p = 0.943400; confidence = 0.680000; image = 57; scale_factor = 0.816480; x = 1008; y = 385
p = 0.929400; confidence = 0.650000; image = 57; scale_factor = 0.979780; x = 1009; y = 379
p = 0.881200; confidence = 0.580000; image = 57; scale_factor = 0.979780; x = 1009; y = 376
p = 0.976400; confidence = 0.790000; image = 57; scale_factor = 0.979780; x = 1007; y = 380
p = 0.844500; confidence = 0.510000; image = 57; scale_factor = 1.175730; x = 1000; y = 385
p = 0.844500; confidence = 0.570000; image = 57; scale_factor = 1.175730; x = 1003; y = 380
p = 0.844500; confidence = 0.580000; image = 57; scale_factor = 1.175730; x = 1010; y = 379
p = 0.347100; confidence = 0.430000; image = 58; scale_factor = 0.816480; x = 280; y = 238
p = 0.399300; confidence = 0.420000; image = 58; scale_factor = 0.816480; x = 513; y = 230
p = 0.457400; confidence = 0.480000; image = 59; scale_factor = 0.816480; x = 1010; y = 343
p = 0.881200; confidence = 0.560000; image = 59; scale_factor = 0.979780; x = 1012; y = 354
p = 0.341400; confidence = 0.430000; image = 60; scale_factor = 0.680400; x = 961; y = 357
p = 0.341400; confidence = 0.440000; image = 60; scale_factor = 0.680400; x = 961; y = 357
p = 0.903700; confidence = 0.600000; image = 60; scale_factor = 0.816480; x = 954; y = 361
p = 0.903700; confidence = 0.590000; image = 60; scale_factor = 0.816480; x = 963; y = 364
p = 0.929400; confidence = 0.670000; image = 60; scale_factor = 0.979780; x = 958; y = 364
p = 0.929400; confidence = 0.640000; image = 60; scale_factor = 0.979780; x = 959; y = 361
p = 0.308800; confidence = 0.430000; image = 61; scale_factor = 0.979780; x = 1156; y = 381
p = 0.898300; confidence = 0.610000; image = 61; scale_factor = 0.979780; x = 1158; y = 386
p = 0.308800; confidence = 0.490000; image = 61; scale_factor = 0.979780; x = 1156; y = 384
p = 0.866100; confidence = 0.670000; image = 61; scale_factor = 1.175730; x = 1158; y = 386
p = 0.953100; confidence = 0.710000; image = 61; scale_factor = 1.175730; x = 1153; y = 384
p = 0.866100; confidence = 0.690000; image = 61; scale_factor = 1.175730; x = 1157; y = 379
p = 0.636800; confidence = 0.560000; image = 61; scale_factor = 1.410880; x = 1151; y = 378
p = 0.359900; confidence = 0.400000; image = 62; scale_factor = 0.979780; x = 1007; y = 183
p = 0.479100; confidence = 0.540000; image = 63; scale_factor = 0.680400; x = 709; y = 169
p = 0.479100; confidence = 0.530000; image = 63; scale_factor = 0.680400; x = 714; y = 172
p = 0.479100; confidence = 0.530000; image = 63; scale_factor = 0.680400; x = 711; y = 169
p = 0.333400; confidence = 0.470000; image = 64; scale_factor = 0.816480; x = 865; y = 338
p = 0.886500; confidence = 0.700000; image = 64; scale_factor = 0.979780; x = 860; y = 346
p = 0.814800; confidence = 0.550000; image = 64; scale_factor = 0.979780; x = 866; y = 348
p = 0.886500; confidence = 0.670000; image = 64; scale_factor = 0.979780; x = 872; y = 345
p = 0.886500; confidence = 0.700000; image = 64; scale_factor = 0.979780; x = 862; y = 345
p = 0.308800; confidence = 0.400000; image = 64; scale_factor = 0.979780; x = 1129; y = 371
p = 0.947300; confidence = 0.710000; image = 64; scale_factor = 1.175730; x = 867; y = 350
p = 0.947300; confidence = 0.760000; image = 64; scale_factor = 1.175730; x = 864; y = 345
p = 0.607900; confidence = 0.510000; image = 64; scale_factor = 1.410880; x = 861; y = 340
p = 0.436500; confidence = 0.420000; image = 65; scale_factor = 1.175730; x = 1161; y = 277
p = 0.480700; confidence = 0.550000; image = 65; scale_factor = 1.693050; x = 569; y = 314
p = 0.393500; confidence = 0.540000; image = 66; scale_factor = 1.410880; x = 985; y = 400
p = 0.645100; confidence = 0.640000; image = 67; scale_factor = 1.175730; x = 747; y = 342
p = 0.645100; confidence = 0.620000; image = 67; scale_factor = 1.175730; x = 748; y = 345
p = 0.330000; confidence = 0.580000; image = 67; scale_factor = 1.410880; x = 749; y = 341
p = 0.466500; confidence = 0.620000; image = 67; scale_factor = 1.410880; x = 751; y = 338
p = 0.709800; confidence = 0.580000; image = 69; scale_factor = 0.567000; x = 922; y = 377
p = 0.774100; confidence = 0.570000; image = 69; scale_factor = 0.680400; x = 911; y = 382
p = 0.774100; confidence = 0.550000; image = 69; scale_factor = 0.680400; x = 917; y = 373
p = 0.847800; confidence = 0.600000; image = 69; scale_factor = 0.816480; x = 916; y = 384
p = 0.847800; confidence = 0.530000; image = 69; scale_factor = 0.816480; x = 915; y = 389
p = 0.317800; confidence = 0.550000; image = 70; scale_factor = 0.393750; x = 1025; y = 449
p = 0.590100; confidence = 0.690000; image = 70; scale_factor = 0.472500; x = 1024; y = 453
p = 0.819000; confidence = 0.720000; image = 70; scale_factor = 0.472500; x = 1024; y = 459
p = 0.645000; confidence = 0.700000; image = 70; scale_factor = 0.567000; x = 1025; y = 464
p = 0.572500; confidence = 0.420000; image = 70; scale_factor = 0.816480; x = 1158; y = 296
p = 0.611800; confidence = 0.400000; image = 70; scale_factor = 0.979780; x = 1065; y = 274
p = 0.814800; confidence = 0.500000; image = 71; scale_factor = 0.979780; x = 865; y = 383
p = 0.886500; confidence = 0.630000; image = 71; scale_factor = 0.979780; x = 871; y = 388
p = 0.438400; confidence = 0.670000; image = 74; scale_factor = 0.816480; x = 733; y = 407
p = 0.381400; confidence = 0.680000; image = 74; scale_factor = 0.979780; x = 732; y = 416
p = 0.659600; confidence = 0.760000; image = 74; scale_factor = 0.979780; x = 733; y = 411
p = 0.659600; confidence = 0.710000; image = 74; scale_factor = 0.979780; x = 734; y = 419
p = 0.341500; confidence = 0.430000; image = 74; scale_factor = 1.410880; x = 442; y = 310
p = 0.377900; confidence = 0.510000; image = 79; scale_factor = 0.567000; x = 933; y = 409
p = 0.659600; confidence = 0.570000; image = 80; scale_factor = 0.472500; x = 931; y = 372
p = 0.659600; confidence = 0.590000; image = 80; scale_factor = 0.472500; x = 927; y = 376
p = 0.812800; confidence = 0.700000; image = 80; scale_factor = 0.567000; x = 927; y = 382
p = 0.931700; confidence = 0.770000; image = 80; scale_factor = 0.567000; x = 930; y = 384
p = 0.931700; confidence = 0.780000; image = 80; scale_factor = 0.567000; x = 927; y = 379
p = 0.931700; confidence = 0.770000; image = 80; scale_factor = 0.567000; x = 930; y = 376
p = 0.950300; confidence = 0.740000; image = 80; scale_factor = 0.680400; x = 928; y = 371
p = 1.000000; confidence = 0.800000; image = 80; scale_factor = 0.680400; x = 923; y = 385
p = 0.950300; confidence = 0.770000; image = 80; scale_factor = 0.680400; x = 922; y = 374
p = 0.399300; confidence = 0.410000; image = 80; scale_factor = 0.816480; x = 438; y = 162
p = 0.333400; confidence = 0.450000; image = 80; scale_factor = 0.816480; x = 916; y = 384
p = 0.763200; confidence = 0.520000; image = 83; scale_factor = 1.175730; x = 902; y = 339
p = 0.802200; confidence = 0.570000; image = 83; scale_factor = 1.175730; x = 401; y = 334
p = 0.763200; confidence = 0.510000; image = 83; scale_factor = 1.175730; x = 904; y = 335
p = 0.607900; confidence = 0.540000; image = 83; scale_factor = 1.410880; x = 904; y = 336
p = 0.607900; confidence = 0.590000; image = 83; scale_factor = 1.410880; x = 905; y = 335
p = 0.925600; confidence = 0.640000; image = 86; scale_factor = 0.816480; x = 393; y = 338
p = 0.925600; confidence = 0.610000; image = 86; scale_factor = 0.816480; x = 396; y = 338
p = 0.925600; confidence = 0.640000; image = 86; scale_factor = 0.816480; x = 387; y = 348
p = 0.847000; confidence = 0.600000; image = 86; scale_factor = 0.979780; x = 395; y = 340
p = 0.847000; confidence = 0.590000; image = 86; scale_factor = 0.979780; x = 399; y = 338
p = 0.968600; confidence = 0.720000; image = 86; scale_factor = 0.979780; x = 394; y = 340
p = 0.708000; confidence = 0.550000; image = 90; scale_factor = 1.175730; x = 786; y = 279
p = 0.674300; confidence = 0.640000; image = 90; scale_factor = 1.410880; x = 786; y = 279
p = 0.674300; confidence = 0.670000; image = 90; scale_factor = 1.410880; x = 785; y = 281
p = 0.421200; confidence = 0.570000; image = 90; scale_factor = 1.693050; x = 789; y = 277
p = 0.421200; confidence = 0.530000; image = 90; scale_factor = 1.693050; x = 791; y = 278
p = 0.421200; confidence = 0.570000; image = 90; scale_factor = 1.693050; x = 789; y = 277
p = 0.782800; confidence = 0.520000; image = 91; scale_factor = 1.693050; x = 480; y = 295
p = 0.802600; confidence = 0.690000; image = 91; scale_factor = 1.693050; x = 897; y = 296
p = 0.864800; confidence = 0.640000; image = 91; scale_factor = 1.693050; x = 477; y = 296
p = 0.782800; confidence = 0.500000; image = 91; scale_factor = 1.693050; x = 481; y = 298
p = 0.696100; confidence = 0.510000; image = 91; scale_factor = 1.693050; x = 895; y = 295
p = 0.802600; confidence = 0.620000; image = 91; scale_factor = 1.693050; x = 894; y = 295
p = 0.606700; confidence = 0.570000; image = 91; scale_factor = 2.031660; x = 898; y = 292
p = 0.911100; confidence = 0.630000; image = 93; scale_factor = 0.680400; x = 1008; y = 395
p = 0.852400; confidence = 0.570000; image = 93; scale_factor = 0.680400; x = 1007; y = 388
p = 0.981300; confidence = 0.780000; image = 93; scale_factor = 0.816480; x = 1005; y = 393
p = 0.981300; confidence = 0.770000; image = 93; scale_factor = 0.816480; x = 1004; y = 393
p = 0.981300; confidence = 0.780000; image = 93; scale_factor = 0.816480; x = 1005; y = 397
p = 0.976400; confidence = 0.710000; image = 93; scale_factor = 0.979780; x = 1007; y = 390
p = 0.765800; confidence = 0.680000; image = 93; scale_factor = 0.979780; x = 1009; y = 401
p = 0.765800; confidence = 0.690000; image = 93; scale_factor = 0.979780; x = 1006; y = 400
p = 0.327700; confidence = 0.480000; image = 93; scale_factor = 1.175730; x = 1002; y = 386
p = 0.844500; confidence = 0.570000; image = 93; scale_factor = 1.175730; x = 1004; y = 386
p = 0.583000; confidence = 0.510000; image = 98; scale_factor = 0.979780; x = 754; y = 371
p = 0.851000; confidence = 0.730000; image = 98; scale_factor = 1.175730; x = 752; y = 368
p = 0.645100; confidence = 0.630000; image = 98; scale_factor = 1.175730; x = 751; y = 366
p = 0.645100; confidence = 0.630000; image = 98; scale_factor = 1.175730; x = 750; y = 376
p = 0.330000; confidence = 0.500000; image = 98; scale_factor = 1.410880; x = 755; y = 370
p = 0.466500; confidence = 0.690000; image = 98; scale_factor = 1.410880; x = 755; y = 369
p = 0.330000; confidence = 0.590000; image = 98; scale_factor = 1.410880; x = 752; y = 366
p = 0.466500; confidence = 0.700000; image = 98; scale_factor = 1.410880; x = 754; y = 374
p = 0.583000; confidence = 0.600000; image = 99; scale_factor = 0.979780; x = 745; y = 373
p = 0.583000; confidence = 0.580000; image = 99; scale_factor = 0.979780; x = 746; y = 371
p = 0.645100; confidence = 0.660000; image = 99; scale_factor = 1.175730; x = 745; y = 371
p = 0.645100; confidence = 0.620000; image = 99; scale_factor = 1.175730; x = 745; y = 373
p = 0.330000; confidence = 0.510000; image = 99; scale_factor = 1.410880; x = 737; y = 374
p = 0.804700; confidence = 0.510000; image = 101; scale_factor = 0.567000; x = 1067; y = 391
p = 0.911100; confidence = 0.660000; image = 101; scale_factor = 0.680400; x = 1066; y = 374
p = 0.911100; confidence = 0.700000; image = 101; scale_factor = 0.680400; x = 1066; y = 383
p = 0.969900; confidence = 0.720000; image = 101; scale_factor = 0.680400; x = 1069; y = 382
p = 0.903700; confidence = 0.570000; image = 101; scale_factor = 0.816480; x = 1073; y = 373
